,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,8640485857,890146,2004,Male,Alabama,9706.82
1,1,1,1,1,1,Less Than High School,00,687779815,100883,2004,Male,Alabama,6817.6
2,2,2,2,2,2,High School Graduate,00,2145611594,250288,2004,Male,Alabama,8572.57
3,3,3,3,3,3,Some College,00,2397259082,233821,2004,Male,Alabama,10252.54
4,4,4,4,4,4,Advanced Degree,00,2919778061,181622,2004,Male,Alabama,16076.13
5,5,5,5,5,5,Unavailable,00,490057306,123532,2004,Male,Alabama,3967.05
6,6,6,6,6,6,All Education Categories,00,5313653560,870993,2004,Female,Alabama,6100.68
7,7,7,7,7,7,Less Than High School,00,319159969,76468,2004,Female,Alabama,4173.77
8,8,8,8,8,8,High School Graduate,00,1218317659,231581,2004,Female,Alabama,5260.87
9,9,9,9,9,9,Some College,00,1651426974,254832,2004,Female,Alabama,6480.45
10,10,10,10,10,10,Advanced Degree,00,1724445166,177506,2004,Female,Alabama,9714.86
11,11,11,11,11,11,Unavailable,00,400303791,130606,2004,Female,Alabama,3064.97
12,12,60,60,60,60,All Education Categories,Manufacturing,2110271353,200444,2004,Male,Alabama,10527.98
13,13,61,61,61,61,Less Than High School,Manufacturing,204546881,25832,2004,Male,Alabama,7918.35
14,14,62,62,62,62,High School Graduate,Manufacturing,679551536,69880,2004,Male,Alabama,9724.55
15,15,63,63,63,63,Some College,Manufacturing,658830406,58034,2004,Male,Alabama,11352.49
16,16,64,64,64,64,Advanced Degree,Manufacturing,472487767,29778,2004,Male,Alabama,15867.01
17,17,65,65,65,65,Unavailable,Manufacturing,94854764,16919,2004,Male,Alabama,5606.4
18,18,66,66,66,66,All Education Categories,Manufacturing,589646452,87562,2004,Female,Alabama,6734.05
19,19,67,67,67,67,Less Than High School,Manufacturing,61145230,11736,2004,Female,Alabama,5210.06
20,20,68,68,68,68,High School Graduate,Manufacturing,202448936,32877,2004,Female,Alabama,6157.77
21,21,69,69,69,69,Some College,Manufacturing,185733930,25645,2004,Female,Alabama,7242.5
22,22,70,70,70,70,Advanced Degree,Manufacturing,110325232,10562,2004,Female,Alabama,10445.49
23,23,71,71,71,71,Unavailable,Manufacturing,29993124,6743,2004,Female,Alabama,4448.04
24,24,84,84,84,84,All Education Categories,Retail Trade,735444318,107352,2004,Male,Alabama,6850.77
25,25,85,85,85,85,Less Than High School,Retail Trade,73539490,12302,2004,Male,Alabama,5977.85
26,26,86,86,86,86,High School Graduate,Retail Trade,226000535,30778,2004,Male,Alabama,7342.92
