,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,1549288019,134152,2004,Male,Alaska,11548.75
1,1,1,1,1,1,Less Than High School,00,104146999,12267,2004,Male,Alaska,8490.01
2,2,2,2,2,2,High School Graduate,00,358973612,33441,2004,Male,Alaska,10734.54
3,3,3,3,3,3,Some College,00,476998201,38465,2004,Male,Alaska,12400.84
4,4,4,4,4,4,Advanced Degree,00,522806088,32419,2004,Male,Alaska,16126.53
5,5,5,5,5,5,Unavailable,00,86363118,17559,2004,Male,Alaska,4918.45
6,6,6,6,6,6,All Education Categories,00,947092806,129451,2004,Female,Alaska,7316.23
7,7,7,7,7,7,Less Than High School,00,50058378,9524,2004,Female,Alaska,5256.02
8,8,8,8,8,8,High School Graduate,00,175219095,27325,2004,Female,Alaska,6412.41
9,9,9,9,9,9,Some College,00,304325430,39304,2004,Female,Alaska,7742.86
10,10,10,10,10,10,Advanced Degree,00,342458860,33750,2004,Female,Alaska,10146.93
11,11,11,11,11,11,Unavailable,00,75031042,19548,2004,Female,Alaska,3838.3
12,12,60,60,60,60,All Education Categories,Manufacturing,78546520,6877,2004,Male,Alaska,11421.63
13,13,61,61,61,61,Less Than High School,Manufacturing,14342215,1304,2004,Male,Alaska,10998.63
14,14,62,62,62,62,High School Graduate,Manufacturing,18036863,1676,2004,Male,Alaska,10761.85
15,15,63,63,63,63,Some College,Manufacturing,22297162,1868,2004,Male,Alaska,11936.38
16,16,64,64,64,64,Advanced Degree,Manufacturing,18082342,1346,2004,Male,Alaska,13434.13
17,17,65,65,65,65,Unavailable,Manufacturing,5787937,684,2004,Male,Alaska,8461.9
18,18,66,66,66,66,All Education Categories,Manufacturing,18590447,2416,2004,Female,Alaska,7694.72
19,19,67,67,67,67,Less Than High School,Manufacturing,3728328,461,2004,Female,Alaska,8087.48
20,20,68,68,68,68,High School Graduate,Manufacturing,3998807,549,2004,Female,Alaska,7283.8
21,21,69,69,69,69,Some College,Manufacturing,4946743,618,2004,Female,Alaska,8004.44
22,22,70,70,70,70,Advanced Degree,Manufacturing,4011566,442,2004,Female,Alaska,9075.94
23,23,71,71,71,71,Unavailable,Manufacturing,1905003,345,2004,Female,Alaska,5521.75
24,24,84,84,84,84,All Education Categories,Retail Trade,130433346,17096,2004,Male,Alaska,7629.47
25,25,85,85,85,85,Less Than High School,Retail Trade,10949450,1654,2004,Male,Alaska,6619.98
26,26,86,86,86,86,High School Graduate,Retail Trade,36653082,4584,2004,Male,Alaska,7995.87
27,27,87,87,87,87,Some College,Retail Trade,40554175,4440,2004,Male,Alaska,9133.82
28,28,88,88,88,88,Advanced Degree,Retail Trade,25280578,2233,2004,Male,Alaska,11321.35
29,29,89,89,89,89,Unavailable,Retail Trade,16996061,4185,2004,Male,Alaska,4061.19
30,30,90,90,90,90,All Education Categories,Retail Trade,79775257,16028,2004,Female,Alaska,4977.24
31,31,91,91,91,91,Less Than High School,Retail Trade,7492901,1618,2004,Female,Alaska,4630.96
32,32,92,92,92,92,High School Graduate,Retail Trade,21259952,4008,2004,Female,Alaska,5304.38
33,33,93,93,93,93,Some College,Retail Trade,23997498,4116,2004,Female,Alaska,5830.3
34,34,94,94,94,94,Advanced Degree,Retail Trade,13788193,2057,2004,Female,Alaska,6703.06
35,35,95,95,95,95,Unavailable,Retail Trade,13236712,4229,2004,Female,Alaska,3129.99
36,36,120,120,120,120,All Education Categories,Finance and Insurance,40263812,2275,2004,Male,Alaska,17698.38
37,37,121,121,121,121,Less Than High School,Finance and Insurance,908712,127,2004,Male,Alaska,7155.21
38,38,122,122,122,122,High School Graduate,Finance and Insurance,4585962,417,2004,Male,Alaska,10997.51
39,39,123,123,123,123,Some College,Finance and Insurance,8991450,575,2004,Male,Alaska,15637.3
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,24394311,920,2004,Male,Alaska,26515.56
41,41,125,125,125,125,Unavailable,Finance and Insurance,1383377,237,2004,Male,Alaska,5837.03
42,42,126,126,126,126,All Education Categories,Finance and Insurance,59885643,6187,2004,Female,Alaska,9679.27
43,43,127,127,127,127,Less Than High School,Finance and Insurance,1619487,229,2004,Female,Alaska,7072.0
44,44,128,128,128,128,High School Graduate,Finance and Insurance,9028521,1067,2004,Female,Alaska,8461.59
45,45,129,129,129,129,Some College,Finance and Insurance,17919214,1854,2004,Female,Alaska,9665.16
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,25728306,2079,2004,Female,Alaska,12375.33
47,47,131,131,131,131,Unavailable,Finance and Insurance,5590115,958,2004,Female,Alaska,5835.19
48,48,180,180,180,180,All Education Categories,Educational Services,100123191,10112,2004,Male,Alaska,9901.42
49,49,181,181,181,181,Less Than High School,Educational Services,3936746,559,2004,Male,Alaska,7042.48
50,50,182,182,182,182,High School Graduate,Educational Services,16892350,1967,2004,Male,Alaska,8587.87
51,51,183,183,183,183,Some College,Educational Services,25994937,2673,2004,Male,Alaska,9725.0
52,52,184,184,184,184,Advanced Degree,Educational Services,51068436,4173,2004,Male,Alaska,12237.82
53,53,185,185,185,185,Unavailable,Educational Services,2230723,740,2004,Male,Alaska,3014.49
54,54,186,186,186,186,All Education Categories,Educational Services,158328773,20252,2004,Female,Alaska,7817.93
55,55,187,187,187,187,Less Than High School,Educational Services,4176215,905,2004,Female,Alaska,4614.6
56,56,188,188,188,188,High School Graduate,Educational Services,23814141,3851,2004,Female,Alaska,6183.88
57,57,189,189,189,189,Some College,Educational Services,43031186,5827,2004,Female,Alaska,7384.79
58,58,190,190,190,190,Advanced Degree,Educational Services,83040272,8415,2004,Female,Alaska,9868.13
59,59,191,191,191,191,Unavailable,Educational Services,4266958,1254,2004,Female,Alaska,3402.68
60,60,192,192,192,192,All Education Categories,Health Care and Social Assistance,86440014,7727,2004,Male,Alaska,11186.75
61,61,193,193,193,193,Less Than High School,Health Care and Social Assistance,4328623,636,2004,Male,Alaska,6806.01
62,62,194,194,194,194,High School Graduate,Health Care and Social Assistance,14565404,1673,2004,Male,Alaska,8706.16
63,63,195,195,195,195,Some College,Health Care and Social Assistance,25238650,2348,2004,Male,Alaska,10749.0
64,64,196,196,196,196,Advanced Degree,Health Care and Social Assistance,38429275,2322,2004,Male,Alaska,16550.08
65,65,197,197,197,197,Unavailable,Health Care and Social Assistance,3878062,749,2004,Male,Alaska,5177.65
66,66,198,198,198,198,All Education Categories,Health Care and Social Assistance,208786213,25747,2004,Female,Alaska,8109.15
67,67,199,199,199,199,Less Than High School,Health Care and Social Assistance,9833842,1692,2004,Female,Alaska,5811.96
68,68,200,200,200,200,High School Graduate,Health Care and Social Assistance,35807414,5120,2004,Female,Alaska,6993.64
69,69,201,201,201,201,Some College,Health Care and Social Assistance,75401144,9004,2004,Female,Alaska,8374.18
70,70,202,202,202,202,Advanced Degree,Health Care and Social Assistance,73008729,6913,2004,Female,Alaska,10561.08
71,71,203,203,203,203,Unavailable,Health Care and Social Assistance,14735084,3018,2004,Female,Alaska,4882.4
