,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,6648,6648,6648,6648,All Education Categories,"Colleges, Universities, and Professional Schools",208117993,17252,2005,Male,Arizona,12063.41
1,1,6649,6649,6649,6649,Less Than High School,"Colleges, Universities, and Professional Schools",6486631,888,2005,Male,Arizona,7304.76
2,2,6650,6650,6650,6650,High School Graduate,"Colleges, Universities, and Professional Schools",21565123,2471,2005,Male,Arizona,8727.29
3,3,6651,6651,6651,6651,Some College,"Colleges, Universities, and Professional Schools",44280674,4306,2005,Male,Arizona,10283.48
4,4,6652,6652,6652,6652,Advanced Degree,"Colleges, Universities, and Professional Schools",128413957,8295,2005,Male,Arizona,15480.89
5,5,6653,6653,6653,6653,Unavailable,"Colleges, Universities, and Professional Schools",7371607,1291,2005,Male,Arizona,5710.0
6,6,6654,6654,6654,6654,All Education Categories,"Colleges, Universities, and Professional Schools",159765392,18281,2005,Female,Arizona,8739.42
7,7,6655,6655,6655,6655,Less Than High School,"Colleges, Universities, and Professional Schools",4895248,810,2005,Female,Arizona,6043.52
8,8,6656,6656,6656,6656,High School Graduate,"Colleges, Universities, and Professional Schools",20809292,2879,2005,Female,Arizona,7227.96
9,9,6657,6657,6657,6657,Some College,"Colleges, Universities, and Professional Schools",43251018,5366,2005,Female,Arizona,8060.2
10,10,6658,6658,6658,6658,Advanced Degree,"Colleges, Universities, and Professional Schools",83229740,7793,2005,Female,Arizona,10680.06
11,11,6659,6659,6659,6659,Unavailable,"Colleges, Universities, and Professional Schools",7580094,1432,2005,Female,Arizona,5293.36
12,12,10344,10344,10344,10344,All Education Categories,"Colleges, Universities, and Professional Schools",241479691,18714,2006,Male,Arizona,12903.69
13,13,10345,10345,10345,10345,Less Than High School,"Colleges, Universities, and Professional Schools",8282129,991,2006,Male,Arizona,8357.35
14,14,10346,10346,10346,10346,High School Graduate,"Colleges, Universities, and Professional Schools",26414654,2745,2006,Male,Arizona,9622.82
15,15,10347,10347,10347,10347,Some College,"Colleges, Universities, and Professional Schools",52780717,4722,2006,Male,Arizona,11177.62
16,16,10348,10348,10348,10348,Advanced Degree,"Colleges, Universities, and Professional Schools",145012807,8848,2006,Male,Arizona,16389.33
17,17,10349,10349,10349,10349,Unavailable,"Colleges, Universities, and Professional Schools",8989385,1408,2006,Male,Arizona,6384.51
18,18,10350,10350,10350,10350,All Education Categories,"Colleges, Universities, and Professional Schools",195515461,19939,2006,Female,Arizona,9805.68
19,19,10351,10351,10351,10351,Less Than High School,"Colleges, Universities, and Professional Schools",6161288,891,2006,Female,Arizona,6915.03
20,20,10352,10352,10352,10352,High School Graduate,"Colleges, Universities, and Professional Schools",25634328,3128,2006,Female,Arizona,8195.12
21,21,10353,10353,10353,10353,Some College,"Colleges, Universities, and Professional Schools",53338571,5860,2006,Female,Arizona,9102.15
22,22,10354,10354,10354,10354,Advanced Degree,"Colleges, Universities, and Professional Schools",100895748,8528,2006,Female,Arizona,11831.11
23,23,10355,10355,10355,10355,Unavailable,"Colleges, Universities, and Professional Schools",9485526,1532,2006,Female,Arizona,6191.6
24,24,14028,14028,14028,14028,All Education Categories,"Colleges, Universities, and Professional Schools",250865550,18372,2007,Male,Arizona,13654.78
25,25,14029,14029,14029,14029,Less Than High School,"Colleges, Universities, and Professional Schools",9000084,1018,2007,Male,Arizona,8840.95
26,26,14030,14030,14030,14030,High School Graduate,"Colleges, Universities, and Professional Schools",27496237,2709,2007,Male,Arizona,10149.96
27,27,14031,14031,14031,14031,Some College,"Colleges, Universities, and Professional Schools",54904329,4672,2007,Male,Arizona,11751.78
28,28,14032,14032,14032,14032,Advanced Degree,"Colleges, Universities, and Professional Schools",151124693,8632,2007,Male,Arizona,17507.49
29,29,14033,14033,14033,14033,Unavailable,"Colleges, Universities, and Professional Schools",8340208,1341,2007,Male,Arizona,6219.39
30,30,14034,14034,14034,14034,All Education Categories,"Colleges, Universities, and Professional Schools",209033369,20249,2007,Female,Arizona,10323.15
31,31,14035,14035,14035,14035,Less Than High School,"Colleges, Universities, and Professional Schools",7072264,950,2007,Female,Arizona,7444.49
32,32,14036,14036,14036,14036,High School Graduate,"Colleges, Universities, and Professional Schools",28199917,3251,2007,Female,Arizona,8674.23
33,33,14037,14037,14037,14037,Some College,"Colleges, Universities, and Professional Schools",57632253,5994,2007,Female,Arizona,9614.99
34,34,14038,14038,14038,14038,Advanced Degree,"Colleges, Universities, and Professional Schools",106042490,8480,2007,Female,Arizona,12505.01
35,35,14039,14039,14039,14039,Unavailable,"Colleges, Universities, and Professional Schools",10086445,1573,2007,Female,Arizona,6412.23
36,36,17724,17724,17724,17724,All Education Categories,"Colleges, Universities, and Professional Schools",292381750,18661,2008,Male,Arizona,15668.06
