,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,4931178149,543414,2004,Male,Arkansas,9074.44
1,1,1,1,1,1,Less Than High School,00,443632525,68826,2004,Male,Arkansas,6445.71
2,2,2,2,2,2,High School Graduate,00,1259751348,157662,2004,Male,Arkansas,7990.2
3,3,3,3,3,3,Some College,00,1331006913,138571,2004,Male,Arkansas,9605.23
4,4,4,4,4,4,Advanced Degree,00,1583341328,98618,2004,Male,Arkansas,16055.3
5,5,5,5,5,5,Unavailable,00,313446036,79737,2004,Male,Arkansas,3931.0
6,6,6,6,6,6,All Education Categories,00,3116276209,544312,2004,Female,Arkansas,5725.17
7,7,7,7,7,7,Less Than High School,00,200383128,48326,2004,Female,Arkansas,4146.49
8,8,8,8,8,8,High School Graduate,00,720788338,144170,2004,Female,Arkansas,4999.57
9,9,9,9,9,9,Some College,00,950006886,157143,2004,Female,Arkansas,6045.49
10,10,10,10,10,10,Advanced Degree,00,990393427,110828,2004,Female,Arkansas,8936.31
11,11,11,11,11,11,Unavailable,00,254704429,83846,2004,Female,Arkansas,3037.76
12,12,60,60,60,60,All Education Categories,Manufacturing,1224008667,136390,2004,Male,Arkansas,8974.33
13,13,61,61,61,61,Less Than High School,Manufacturing,152780132,21688,2004,Male,Arkansas,7044.45
14,14,62,62,62,62,High School Graduate,Manufacturing,411917262,47884,2004,Male,Arkansas,8602.4
15,15,63,63,63,63,Some College,Manufacturing,361852898,37173,2004,Male,Arkansas,9734.29
16,16,64,64,64,64,Advanced Degree,Manufacturing,223393410,16306,2004,Male,Arkansas,13700.07
17,17,65,65,65,65,Unavailable,Manufacturing,74064964,13339,2004,Male,Arkansas,5552.51
18,18,66,66,66,66,All Education Categories,Manufacturing,412546757,68162,2004,Female,Arkansas,6052.45
19,19,67,67,67,67,Less Than High School,Manufacturing,55483770,10901,2004,Female,Arkansas,5089.79
20,20,68,68,68,68,High School Graduate,Manufacturing,146811427,25157,2004,Female,Arkansas,5835.81
21,21,69,69,69,69,Some College,Manufacturing,123772954,19161,2004,Female,Arkansas,6459.63
22,22,70,70,70,70,Advanced Degree,Manufacturing,59461259,7046,2004,Female,Arkansas,8439.01
23,23,71,71,71,71,Unavailable,Manufacturing,27017347,5896,2004,Female,Arkansas,4582.32
24,24,84,84,84,84,All Education Categories,Retail Trade,409788535,57560,2004,Male,Arkansas,7119.33
25,25,85,85,85,85,Less Than High School,Retail Trade,38439690,6589,2004,Male,Arkansas,5833.92
26,26,86,86,86,86,High School Graduate,Retail Trade,119008487,16410,2004,Male,Arkansas,7252.19
27,27,87,87,87,87,Some College,Retail Trade,114200872,12907,2004,Male,Arkansas,8847.98
28,28,88,88,88,88,Advanced Degree,Retail Trade,89967053,6365,2004,Male,Arkansas,14134.65
29,29,89,89,89,89,Unavailable,Retail Trade,48172434,15289,2004,Male,Arkansas,3150.79
30,30,90,90,90,90,All Education Categories,Retail Trade,257576556,65834,2004,Female,Arkansas,3912.52
31,31,91,91,91,91,Less Than High School,Retail Trade,25002822,7053,2004,Female,Arkansas,3544.99
32,32,92,92,92,92,High School Graduate,Retail Trade,82758692,20356,2004,Female,Arkansas,4065.57
33,33,93,93,93,93,Some College,Retail Trade,67870079,14938,2004,Female,Arkansas,4543.45
34,34,94,94,94,94,Advanced Degree,Retail Trade,41247633,5977,2004,Female,Arkansas,6901.06
35,35,95,95,95,95,Unavailable,Retail Trade,40697330,17510,2004,Female,Arkansas,2324.23
36,36,120,120,120,120,All Education Categories,Finance and Insurance,199312822,10135,2004,Male,Arkansas,19665.79
37,37,121,121,121,121,Less Than High School,Finance and Insurance,3228452,375,2004,Male,Arkansas,8609.21
38,38,122,122,122,122,High School Graduate,Finance and Insurance,16779625,1390,2004,Male,Arkansas,12071.67
39,39,123,123,123,123,Some College,Finance and Insurance,37914509,2263,2004,Male,Arkansas,16754.09
