,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,100043978587,7447032,2004,Male,California,13434.07
1,1,1,1,1,1,Less Than High School,00,8667145357,1196456,2004,Male,California,7244.02
2,2,2,2,2,2,High School Graduate,00,12640667071,1268892,2004,Male,California,9961.97
3,3,3,3,3,3,Some College,00,24740800249,1883788,2004,Male,California,13133.54
4,4,4,4,4,4,Advanced Degree,00,49492441320,2097756,2004,Male,California,23593.04
5,5,5,5,5,5,Unavailable,00,4502924591,1000140,2004,Male,California,4502.29
6,6,6,6,6,6,All Education Categories,00,60189334180,6842130,2004,Female,California,8796.87
7,7,7,7,7,7,Less Than High School,00,4308475899,846195,2004,Female,California,5091.59
8,8,8,8,8,8,High School Graduate,00,7897947632,1154498,2004,Female,California,6841.02
9,9,9,9,9,9,Some College,00,17035291979,1902659,2004,Female,California,8953.41
10,10,10,10,10,10,Advanced Degree,00,26963394617,1915077,2004,Female,California,14079.54
11,11,11,11,11,11,Unavailable,00,3984224053,1023702,2004,Female,California,3891.98
12,12,60,60,60,60,All Education Categories,Manufacturing,16218468403,996856,2004,Male,California,16269.62
13,13,61,61,61,61,Less Than High School,Manufacturing,1739317491,207121,2004,Male,California,8397.59
14,14,62,62,62,62,High School Graduate,Manufacturing,2310998734,184313,2004,Male,California,12538.45
15,15,63,63,63,63,Some College,Manufacturing,4462303571,270185,2004,Male,California,16515.73
16,16,64,64,64,64,Advanced Degree,Manufacturing,7283277722,264921,2004,Male,California,27492.26
17,17,65,65,65,65,Unavailable,Manufacturing,422570885,70316,2004,Male,California,6009.6
18,18,66,66,66,66,All Education Categories,Manufacturing,5234487828,493853,2004,Female,California,10599.28
19,19,67,67,67,67,Less Than High School,Manufacturing,660693586,114717,2004,Female,California,5759.33
20,20,68,68,68,68,High School Graduate,Manufacturing,821604471,95787,2004,Female,California,8577.41
21,21,69,69,69,69,Some College,Manufacturing,1473834505,129666,2004,Female,California,11366.39
22,22,70,70,70,70,Advanced Degree,Manufacturing,2076969902,115171,2004,Female,California,18033.79
23,23,71,71,71,71,Unavailable,Manufacturing,201385364,38513,2004,Female,California,5229.02
24,24,84,84,84,84,All Education Categories,Retail Trade,7192189212,839448,2004,Male,California,8567.76
25,25,85,85,85,85,Less Than High School,Retail Trade,843565362,123854,2004,Male,California,6810.97
26,26,86,86,86,86,High School Graduate,Retail Trade,1320543942,156910,2004,Male,California,8415.93
27,27,87,87,87,87,Some College,Retail Trade,2114799264,205626,2004,Male,California,10284.69
28,28,88,88,88,88,Advanced Degree,Retail Trade,2080238982,132998,2004,Male,California,15641.13
29,29,89,89,89,89,Unavailable,Retail Trade,833041662,220060,2004,Male,California,3785.52
30,30,90,90,90,90,All Education Categories,Retail Trade,4027728507,752629,2004,Female,California,5351.55
31,31,91,91,91,91,Less Than High School,Retail Trade,460502103,100189,2004,Female,California,4596.33
32,32,92,92,92,92,High School Graduate,Retail Trade,790345104,146254,2004,Female,California,5403.92
33,33,93,93,93,93,Some College,Retail Trade,1131284097,176658,2004,Female,California,6403.81
34,34,94,94,94,94,Advanced Degree,Retail Trade,968998167,101195,2004,Female,California,9575.55
35,35,95,95,95,95,Unavailable,Retail Trade,676599036,228332,2004,Female,California,2963.22
36,36,120,120,120,120,All Education Categories,Finance and Insurance,8626311483,226783,2004,Male,California,38037.73
37,37,121,121,121,121,Less Than High School,Finance and Insurance,121295702,9956,2004,Male,California,12183.18
38,38,122,122,122,122,High School Graduate,Finance and Insurance,362553299,20634,2004,Male,California,17570.67
39,39,123,123,123,123,Some College,Finance and Insurance,1310031024,50902,2004,Male,California,25736.34
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,6646969200,120223,2004,Male,California,55288.67
41,41,125,125,125,125,Unavailable,Finance and Insurance,185462258,25067,2004,Male,California,7398.66
42,42,126,126,126,126,All Education Categories,Finance and Insurance,5481540346,377075,2004,Female,California,14537.0
43,43,127,127,127,127,Less Than High School,Finance and Insurance,148188245,17806,2004,Female,California,8322.38
44,44,128,128,128,128,High School Graduate,Finance and Insurance,491943543,48056,2004,Female,California,10236.88
45,45,129,129,129,129,Some College,Finance and Insurance,1383607280,107980,2004,Female,California,12813.55
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,3133434673,152314,2004,Female,California,20572.2
47,47,131,131,131,131,Unavailable,Finance and Insurance,324366606,50918,2004,Female,California,6370.37
48,48,180,180,180,180,All Education Categories,Educational Services,5252135973,428817,2004,Male,California,12247.97
49,49,181,181,181,181,Less Than High School,Educational Services,230622604,29015,2004,Male,California,7948.39
50,50,182,182,182,182,High School Graduate,Educational Services,547773584,57424,2004,Male,California,9539.11
51,51,183,183,183,183,Some College,Educational Services,1269262854,112957,2004,Male,California,11236.69
52,52,184,184,184,184,Advanced Degree,Educational Services,3107411585,202836,2004,Male,California,15319.82
53,53,185,185,185,185,Unavailable,Educational Services,97065346,26584,2004,Male,California,3651.27
54,54,186,186,186,186,All Education Categories,Educational Services,8710937988,871202,2004,Female,California,9998.76
55,55,187,187,187,187,Less Than High School,Educational Services,292534570,56739,2004,Female,California,5155.79
56,56,188,188,188,188,High School Graduate,Educational Services,957994904,135704,2004,Female,California,7059.44
57,57,189,189,189,189,Some College,Educational Services,2316242417,254297,2004,Female,California,9108.41
58,58,190,190,190,190,Advanced Degree,Educational Services,4931249720,370129,2004,Female,California,13323.06
59,59,191,191,191,191,Unavailable,Educational Services,212916376,54332,2004,Female,California,3918.8
60,60,192,192,192,192,All Education Categories,Health Care and Social Assistance,5016747124,360313,2004,Male,California,13923.3
61,61,193,193,193,193,Less Than High School,Health Care and Social Assistance,258572536,36701,2004,Male,California,7045.38
62,62,194,194,194,194,High School Graduate,Health Care and Social Assistance,471624643,51049,2004,Male,California,9238.67
63,63,195,195,195,195,Some College,Health Care and Social Assistance,1249381918,101588,2004,Male,California,12298.52
64,64,196,196,196,196,Advanced Degree,Health Care and Social Assistance,2875519004,136793,2004,Male,California,21020.95
65,65,197,197,197,197,Unavailable,Health Care and Social Assistance,161649024,34182,2004,Male,California,4729.07
66,66,198,198,198,198,All Education Categories,Health Care and Social Assistance,9400486223,1043000,2004,Female,California,9012.93
67,67,199,199,199,199,Less Than High School,Health Care and Social Assistance,554965308,96317,2004,Female,California,5761.86
68,68,200,200,200,200,High School Graduate,Health Care and Social Assistance,1137360757,161732,2004,Female,California,7032.38
69,69,201,201,201,201,Some College,Health Care and Social Assistance,3149803034,353807,2004,Female,California,8902.6
70,70,202,202,202,202,Advanced Degree,Health Care and Social Assistance,4068933621,327060,2004,Female,California,12440.94
71,71,203,203,203,203,Unavailable,Health Care and Social Assistance,489423503,104084,2004,Female,California,4702.2
72,72,216,216,216,216,All Education Categories,Accommodation and Food Services,2772514680,576245,2004,Male,California,4811.35
73,73,217,217,217,217,Less Than High School,Accommodation and Food Services,629266719,133350,2004,Male,California,4718.91
74,74,218,218,218,218,High School Graduate,Accommodation and Food Services,511585092,98768,2004,Male,California,5179.66
75,75,219,219,219,219,Some College,Accommodation and Food Services,634262362,106556,2004,Male,California,5952.39
76,76,220,220,220,220,Advanced Degree,Accommodation and Food Services,499081119,66459,2004,Male,California,7509.61
77,77,221,221,221,221,Unavailable,Accommodation and Food Services,498319386,171111,2004,Male,California,2912.26
78,78,222,222,222,222,All Education Categories,Accommodation and Food Services,2251178507,580401,2004,Female,California,3878.66
79,79,223,223,223,223,Less Than High School,Accommodation and Food Services,406430972,107074,2004,Female,California,3795.8
80,80,224,224,224,224,High School Graduate,Accommodation and Food Services,401930162,96416,2004,Female,California,4168.71
81,81,225,225,225,225,Some College,Accommodation and Food Services,499495001,106056,2004,Female,California,4709.73
82,82,226,226,226,226,Advanced Degree,Accommodation and Food Services,361009027,62106,2004,Female,California,5812.79
83,83,227,227,227,227,Unavailable,Accommodation and Food Services,582313345,208748,2004,Female,California,2789.55
84,84,252,252,252,252,All Education Categories,00,104161758199,7513876,2005,Male,California,13862.59
85,85,253,253,253,253,Less Than High School,00,8876647690,1205523,2005,Male,California,7363.32
86,86,254,254,254,254,High School Graduate,00,13175785954,1284981,2005,Male,California,10253.68
87,87,255,255,255,255,Some College,00,25540950082,1905187,2005,Male,California,13406.01
88,88,256,256,256,256,Advanced Degree,00,51787156292,2115988,2005,Male,California,24474.22
89,89,257,257,257,257,Unavailable,00,4781218181,1002198,2005,Male,California,4770.73
90,90,258,258,258,258,All Education Categories,00,62268438707,6925611,2005,Female,California,8991.04
91,91,259,259,259,259,Less Than High School,00,4476257713,865117,2005,Female,California,5174.16
