,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2976,2976,2976,2976,All Education Categories,"Colleges, Universities, and Professional Schools",242024569,13690,2004,Male,Colorado,17678.93
1,1,2977,2977,2977,2977,Less Than High School,"Colleges, Universities, and Professional Schools",4889060,512,2004,Male,Colorado,9548.95
2,2,2978,2978,2978,2978,High School Graduate,"Colleges, Universities, and Professional Schools",20584046,1644,2004,Male,Colorado,12520.71
3,3,2979,2979,2979,2979,Some College,"Colleges, Universities, and Professional Schools",44544541,2937,2004,Male,Colorado,15166.68
4,4,2980,2980,2980,2980,Advanced Degree,"Colleges, Universities, and Professional Schools",168878207,7866,2004,Male,Colorado,21469.39
5,5,2981,2981,2981,2981,Unavailable,"Colleges, Universities, and Professional Schools",3128716,731,2004,Male,Colorado,4280.05
6,6,2982,2982,2982,2982,All Education Categories,"Colleges, Universities, and Professional Schools",186611979,15230,2004,Female,Colorado,12252.92
7,7,2983,2983,2983,2983,Less Than High School,"Colleges, Universities, and Professional Schools",3495743,477,2004,Female,Colorado,7328.6
8,8,2984,2984,2984,2984,High School Graduate,"Colleges, Universities, and Professional Schools",20056613,1999,2004,Female,Colorado,10033.32
9,9,2985,2985,2985,2985,Some College,"Colleges, Universities, and Professional Schools",45277352,3917,2004,Female,Colorado,11559.19
10,10,2986,2986,2986,2986,Advanced Degree,"Colleges, Universities, and Professional Schools",113792827,7792,2004,Female,Colorado,14603.8
11,11,2987,2987,2987,2987,Unavailable,"Colleges, Universities, and Professional Schools",3989443,1045,2004,Female,Colorado,3817.65
12,12,6672,6672,6672,6672,All Education Categories,"Colleges, Universities, and Professional Schools",239154389,17206,2005,Male,Colorado,13899.48
13,13,6673,6673,6673,6673,Less Than High School,"Colleges, Universities, and Professional Schools",5162795,638,2005,Male,Colorado,8092.16
14,14,6674,6674,6674,6674,High School Graduate,"Colleges, Universities, and Professional Schools",21359132,2127,2005,Male,Colorado,10041.91
15,15,6675,6675,6675,6675,Some College,"Colleges, Universities, and Professional Schools",44962690,3778,2005,Male,Colorado,11901.19
16,16,6676,6676,6676,6676,Advanced Degree,"Colleges, Universities, and Professional Schools",164363655,9790,2005,Male,Colorado,16788.93
17,17,6677,6677,6677,6677,Unavailable,"Colleges, Universities, and Professional Schools",3306117,873,2005,Male,Colorado,3787.08
18,18,6678,6678,6678,6678,All Education Categories,"Colleges, Universities, and Professional Schools",191497359,19062,2005,Female,Colorado,10046.03
19,19,6679,6679,6679,6679,Less Than High School,"Colleges, Universities, and Professional Schools",3718620,582,2005,Female,Colorado,6389.38
20,20,6680,6680,6680,6680,High School Graduate,"Colleges, Universities, and Professional Schools",20907138,2600,2005,Female,Colorado,8041.21
21,21,6681,6681,6681,6681,Some College,"Colleges, Universities, and Professional Schools",46736047,5090,2005,Female,Colorado,9181.93
22,22,6682,6682,6682,6682,Advanced Degree,"Colleges, Universities, and Professional Schools",115876250,9617,2005,Female,Colorado,12049.11
23,23,6683,6683,6683,6683,Unavailable,"Colleges, Universities, and Professional Schools",4259303,1172,2005,Female,Colorado,3634.22
24,24,10380,10380,10380,10380,All Education Categories,"Colleges, Universities, and Professional Schools",239962183,17020,2006,Male,Colorado,14098.84
25,25,10381,10381,10381,10381,Less Than High School,"Colleges, Universities, and Professional Schools",5215359,655,2006,Male,Colorado,7962.38
26,26,10382,10382,10382,10382,High School Graduate,"Colleges, Universities, and Professional Schools",21282385,2164,2006,Male,Colorado,9834.74
27,27,10383,10383,10383,10383,Some College,"Colleges, Universities, and Professional Schools",44810424,3795,2006,Male,Colorado,11807.75
28,28,10384,10384,10384,10384,Advanced Degree,"Colleges, Universities, and Professional Schools",165824817,9658,2006,Male,Colorado,17169.68
29,29,10385,10385,10385,10385,Unavailable,"Colleges, Universities, and Professional Schools",2829197,748,2006,Male,Colorado,3782.35
30,30,10386,10386,10386,10386,All Education Categories,"Colleges, Universities, and Professional Schools",190388274,18882,2006,Female,Colorado,10083.06
31,31,10387,10387,10387,10387,Less Than High School,"Colleges, Universities, and Professional Schools",3934279,622,2006,Female,Colorado,6325.21
32,32,10388,10388,10388,10388,High School Graduate,"Colleges, Universities, and Professional Schools",20547001,2596,2006,Female,Colorado,7914.87
33,33,10389,10389,10389,10389,Some College,"Colleges, Universities, and Professional Schools",46178956,5065,2006,Female,Colorado,9117.27
34,34,10390,10390,10390,10390,Advanced Degree,"Colleges, Universities, and Professional Schools",115502162,9593,2006,Female,Colorado,12040.25
35,35,10391,10391,10391,10391,Unavailable,"Colleges, Universities, and Professional Schools",4225876,1006,2006,Female,Colorado,4200.67
36,36,14076,14076,14076,14076,All Education Categories,"Colleges, Universities, and Professional Schools",263408463,17593,2007,Male,Colorado,14972.34
37,37,14077,14077,14077,14077,Less Than High School,"Colleges, Universities, and Professional Schools",6356152,712,2007,Male,Colorado,8927.18
38,38,14078,14078,14078,14078,High School Graduate,"Colleges, Universities, and Professional Schools",24697137,2260,2007,Male,Colorado,10927.94
39,39,14079,14079,14079,14079,Some College,"Colleges, Universities, and Professional Schools",50716620,3936,2007,Male,Colorado,12885.32
40,40,14080,14080,14080,14080,Advanced Degree,"Colleges, Universities, and Professional Schools",178421169,9766,2007,Male,Colorado,18269.63
