,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,936,936,936,936,All Education Categories,Educational Services,637408182,52887,2004,Male,Connecticut,12052.27
1,1,937,937,937,937,Less Than High School,Educational Services,27235684,3073,2004,Male,Connecticut,8862.9
2,2,938,938,938,938,High School Graduate,Educational Services,83204340,8326,2004,Male,Connecticut,9993.31
3,3,939,939,939,939,Some College,Educational Services,138288070,12071,2004,Male,Connecticut,11456.22
4,4,940,940,940,940,Advanced Degree,Educational Services,376176761,25630,2004,Male,Connecticut,14677.2
5,5,941,941,941,941,Unavailable,Educational Services,12503327,3787,2004,Male,Connecticut,3301.64
6,6,942,942,942,942,All Education Categories,Educational Services,1004132629,105739,2004,Female,Connecticut,9496.33
7,7,943,943,943,943,Less Than High School,Educational Services,29781601,4692,2004,Female,Connecticut,6347.31
8,8,944,944,944,944,High School Graduate,Educational Services,129078518,18781,2004,Female,Connecticut,6872.82
9,9,945,945,945,945,Some College,Educational Services,226791109,26750,2004,Female,Connecticut,8478.17
10,10,946,946,946,946,Advanced Degree,Educational Services,593807584,48885,2004,Female,Connecticut,12147.03
11,11,947,947,947,947,Unavailable,Educational Services,24673818,6632,2004,Female,Connecticut,3720.42
12,12,1032,1032,1032,1032,All Education Categories,Accommodation,28704531,4411,2004,Male,Connecticut,6507.49
13,13,1033,1033,1033,1033,Less Than High School,Accommodation,4413324,822,2004,Male,Connecticut,5369.01
14,14,1034,1034,1034,1034,High School Graduate,Accommodation,6718244,1082,2004,Male,Connecticut,6209.1
15,15,1035,1035,1035,1035,Some College,Accommodation,6941974,993,2004,Male,Connecticut,6990.91
16,16,1036,1036,1036,1036,Advanced Degree,Accommodation,7957037,720,2004,Male,Connecticut,11051.44
17,17,1037,1037,1037,1037,Unavailable,Accommodation,2673952,794,2004,Male,Connecticut,3367.7
18,18,1038,1038,1038,1038,All Education Categories,Accommodation,27591187,5924,2004,Female,Connecticut,4657.53
19,19,1039,1039,1039,1039,Less Than High School,Accommodation,4078947,1023,2004,Female,Connecticut,3987.24
20,20,1040,1040,1040,1040,High School Graduate,Accommodation,6902592,1509,2004,Female,Connecticut,4574.28
21,21,1041,1041,1041,1041,Some College,Accommodation,7349338,1428,2004,Female,Connecticut,5146.6
22,22,1042,1042,1042,1042,Advanced Degree,Accommodation,5763553,893,2004,Female,Connecticut,6454.15
23,23,1043,1043,1043,1043,Unavailable,Accommodation,3496757,1071,2004,Female,Connecticut,3264.95
24,24,2124,2124,2124,2124,All Education Categories,Educational Services,708744930,54256,2005,Male,Connecticut,13062.98
25,25,2125,2125,2125,2125,Less Than High School,Educational Services,30646775,3219,2005,Male,Connecticut,9520.59
26,26,2126,2126,2126,2126,High School Graduate,Educational Services,92512236,8775,2005,Male,Connecticut,10542.7
27,27,2127,2127,2127,2127,Some College,Educational Services,153550606,12681,2005,Male,Connecticut,12108.71
28,28,2128,2128,2128,2128,Advanced Degree,Educational Services,420031675,26809,2005,Male,Connecticut,15667.56
29,29,2129,2129,2129,2129,Unavailable,Educational Services,12003639,2771,2005,Male,Connecticut,4331.88
30,30,2130,2130,2130,2130,All Education Categories,Educational Services,1069104686,108712,2005,Female,Connecticut,9834.28
31,31,2131,2131,2131,2131,Less Than High School,Educational Services,32811698,4900,2005,Female,Connecticut,6696.26
32,32,2132,2132,2132,2132,High School Graduate,Educational Services,140000922,19585,2005,Female,Connecticut,7148.37
33,33,2133,2133,2133,2133,Some College,Educational Services,246087114,28047,2005,Female,Connecticut,8774.1
34,34,2134,2134,2134,2134,Advanced Degree,Educational Services,625918774,50743,2005,Female,Connecticut,12335.08
35,35,2135,2135,2135,2135,Unavailable,Educational Services,24286178,5438,2005,Female,Connecticut,4466.01
36,36,2220,2220,2220,2220,All Education Categories,Accommodation,30324111,4429,2005,Male,Connecticut,6846.72
37,37,2221,2221,2221,2221,Less Than High School,Accommodation,4452838,811,2005,Male,Connecticut,5490.55
38,38,2222,2222,2222,2222,High School Graduate,Accommodation,7261639,1091,2005,Male,Connecticut,6655.95
39,39,2223,2223,2223,2223,Some College,Accommodation,7687172,1008,2005,Male,Connecticut,7626.16
40,40,2224,2224,2224,2224,Advanced Degree,Accommodation,8274154,731,2005,Male,Connecticut,11318.95
41,41,2225,2225,2225,2225,Unavailable,Accommodation,2648308,788,2005,Male,Connecticut,3360.8
42,42,2226,2226,2226,2226,All Education Categories,Accommodation,29239086,5851,2005,Female,Connecticut,4997.28
43,43,2227,2227,2227,2227,Less Than High School,Accommodation,4303332,1018,2005,Female,Connecticut,4227.24
44,44,2228,2228,2228,2228,High School Graduate,Accommodation,7114914,1468,2005,Female,Connecticut,4846.67
45,45,2229,2229,2229,2229,Some College,Accommodation,7757064,1412,2005,Female,Connecticut,5493.67
46,46,2230,2230,2230,2230,Advanced Degree,Accommodation,6433397,891,2005,Female,Connecticut,7220.42
47,47,2231,2231,2231,2231,Unavailable,Accommodation,3630379,1062,2005,Female,Connecticut,3418.44
48,48,3312,3312,3312,3312,All Education Categories,Educational Services,743582128,53981,2006,Male,Connecticut,13774.89
49,49,3313,3313,3313,3313,Less Than High School,Educational Services,33081633,3280,2006,Male,Connecticut,10085.86
50,50,3314,3314,3314,3314,High School Graduate,Educational Services,99654517,8850,2006,Male,Connecticut,11260.4
51,51,3315,3315,3315,3315,Some College,Educational Services,163080864,12685,2006,Male,Connecticut,12856.2
52,52,3316,3316,3316,3316,Advanced Degree,Educational Services,435460432,26166,2006,Male,Connecticut,16642.22
53,53,3317,3317,3317,3317,Unavailable,Educational Services,12304683,3001,2006,Male,Connecticut,4100.19
