,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,936,936,936,All Education Categories,Educational Services,1651507325,140289,2004,Male,Florida,11772.18
1,1,937,937,937,Less Than High School,Educational Services,91472243,10659,2004,Male,Florida,8581.69
2,2,938,938,938,High School Graduate,Educational Services,253229933,26319,2004,Male,Florida,9621.56
3,3,939,939,939,Some College,Educational Services,415311119,36607,2004,Male,Florida,11345.13
4,4,940,940,940,Advanced Degree,Educational Services,853966489,58082,2004,Male,Florida,14702.77
5,5,941,941,941,Unavailable,Educational Services,37527541,8623,2004,Male,Florida,4352.03
6,6,942,942,942,All Education Categories,Educational Services,3059501861,306159,2004,Female,Florida,9993.18
7,7,943,943,943,Less Than High School,Educational Services,118823969,17259,2004,Female,Florida,6884.75
8,8,944,944,944,High School Graduate,Educational Services,504691428,64802,2004,Female,Florida,7788.21
9,9,945,945,945,Some College,Educational Services,860982031,89538,2004,Female,Florida,9615.83
10,10,946,946,946,Advanced Degree,Educational Services,1481492133,116325,2004,Female,Florida,12735.8
11,11,947,947,947,Unavailable,Educational Services,93512301,18236,2004,Female,Florida,5127.9
12,12,1032,1032,1032,All Education Categories,Accommodation,504169910,72108,2004,Male,Florida,6991.87
13,13,1033,1033,1033,Less Than High School,Accommodation,99380648,16651,2004,Male,Florida,5968.45
14,14,1034,1034,1034,High School Graduate,Accommodation,133199432,19667,2004,Male,Florida,6772.74
15,15,1035,1035,1035,Some College,Accommodation,137530846,17568,2004,Male,Florida,7828.49
16,16,1036,1036,1036,Advanced Degree,Accommodation,93755103,8992,2004,Male,Florida,10426.5
17,17,1037,1037,1037,Unavailable,Accommodation,40303882,9230,2004,Male,Florida,4366.62
18,18,1038,1038,1038,All Education Categories,Accommodation,419571313,77207,2004,Female,Florida,5434.37
19,19,1039,1039,1039,Less Than High School,Accommodation,77436423,16862,2004,Female,Florida,4592.36
20,20,1040,1040,1040,High School Graduate,Accommodation,105527989,20617,2004,Female,Florida,5118.49
21,21,1041,1041,1041,Some College,Accommodation,115330175,19263,2004,Female,Florida,5987.13
22,22,1042,1042,1042,Advanced Degree,Accommodation,76289694,9480,2004,Female,Florida,8047.44
23,23,1043,1043,1043,Unavailable,Accommodation,44987031,10986,2004,Female,Florida,4094.94
24,24,2124,2124,2124,All Education Categories,Educational Services,1579234611,167466,2005,Male,Florida,9430.18
25,25,2125,2125,2125,Less Than High School,Educational Services,91139354,13996,2005,Male,Florida,6511.81
26,26,2126,2126,2126,High School Graduate,Educational Services,243803779,30954,2005,Male,Florida,7876.33
27,27,2127,2127,2127,Some College,Educational Services,399387253,44087,2005,Male,Florida,9059.07
28,28,2128,2128,2128,Advanced Degree,Educational Services,805028288,66546,2005,Male,Florida,12097.32
29,29,2129,2129,2129,Unavailable,Educational Services,39875936,11883,2005,Male,Florida,3355.71
30,30,2130,2130,2130,All Education Categories,Educational Services,2966004270,377406,2005,Female,Florida,7858.92
31,31,2131,2131,2131,Less Than High School,Educational Services,121007600,24454,2005,Female,Florida,4948.38
32,32,2132,2132,2132,High School Graduate,Educational Services,488789644,77333,2005,Female,Florida,6320.58
33,33,2133,2133,2133,Some College,Educational Services,837632579,110274,2005,Female,Florida,7595.92
34,34,2134,2134,2134,Advanced Degree,Educational Services,1423347245,140475,2005,Female,Florida,10132.39
35,35,2135,2135,2135,Unavailable,Educational Services,95227203,24871,2005,Female,Florida,3828.84
36,36,2220,2220,2220,All Education Categories,Accommodation,540375911,76083,2005,Male,Florida,7102.45
37,37,2221,2221,2221,Less Than High School,Accommodation,103151629,17376,2005,Male,Florida,5936.44
38,38,2222,2222,2222,High School Graduate,Accommodation,140994423,20668,2005,Male,Florida,6821.87
39,39,2223,2223,2223,Some College,Accommodation,147237276,18475,2005,Male,Florida,7969.54
40,40,2224,2224,2224,Advanced Degree,Accommodation,105163722,9716,2005,Male,Florida,10823.77
41,41,2225,2225,2225,Unavailable,Accommodation,43828861,9848,2005,Male,Florida,4450.53
42,42,2226,2226,2226,All Education Categories,Accommodation,451905495,82368,2005,Female,Florida,5486.42
43,43,2227,2227,2227,Less Than High School,Accommodation,82256490,18139,2005,Female,Florida,4534.79
44,44,2228,2228,2228,High School Graduate,Accommodation,111686626,21669,2005,Female,Florida,5154.21
45,45,2229,2229,2229,Some College,Accommodation,124138888,20467,2005,Female,Florida,6065.32
46,46,2230,2230,2230,Advanced Degree,Accommodation,84837110,10149,2005,Female,Florida,8359.16
47,47,2231,2231,2231,Unavailable,Accommodation,48986381,11943,2005,Female,Florida,4101.68
48,48,3312,3312,3312,All Education Categories,Educational Services,1889898006,171001,2006,Male,Florida,11051.97
49,49,3313,3313,3313,Less Than High School,Educational Services,109039184,14454,2006,Male,Florida,7543.88
50,50,3314,3314,3314,High School Graduate,Educational Services,288071201,31913,2006,Male,Florida,9026.77
51,51,3315,3315,3315,Some College,Educational Services,473382092,45166,2006,Male,Florida,10480.94
52,52,3316,3316,3316,Advanced Degree,Educational Services,971837252,67130,2006,Male,Florida,14476.94
53,53,3317,3317,3317,Unavailable,Educational Services,47568276,12338,2006,Male,Florida,3855.43
54,54,3318,3318,3318,All Education Categories,Educational Services,3449652530,393906,2006,Female,Florida,8757.55
55,55,3319,3319,3319,Less Than High School,Educational Services,147596671,25674,2006,Female,Florida,5748.88
56,56,3320,3320,3320,High School Graduate,Educational Services,568094319,80891,2006,Female,Florida,7022.96
57,57,3321,3321,3321,Some College,Educational Services,980454408,115479,2006,Female,Florida,8490.33
58,58,3322,3322,3322,Advanced Degree,Educational Services,1638765502,145510,2006,Female,Florida,11262.22
59,59,3323,3323,3323,Unavailable,Educational Services,114741630,26352,2006,Female,Florida,4354.19
60,60,3408,3408,3408,All Education Categories,Accommodation,663110109,73541,2006,Male,Florida,9016.88
61,61,3409,3409,3409,Less Than High School,Accommodation,115400949,16753,2006,Male,Florida,6888.38
62,62,3410,3410,3410,High School Graduate,Accommodation,163748325,19813,2006,Male,Florida,8264.69
63,63,3411,3411,3411,Some College,Accommodation,178410512,17908,2006,Male,Florida,9962.62
64,64,3412,3412,3412,Advanced Degree,Accommodation,157182914,9427,2006,Male,Florida,16673.69
65,65,3413,3413,3413,Unavailable,Accommodation,48367409,9639,2006,Male,Florida,5017.89
66,66,3414,3414,3414,All Education Categories,Accommodation,494103955,80026,2006,Female,Florida,6174.29
67,67,3415,3415,3415,Less Than High School,Accommodation,88682150,17616,2006,Female,Florida,5034.18
68,68,3416,3416,3416,High School Graduate,Accommodation,120391503,20936,2006,Female,Florida,5750.45
69,69,3417,3417,3417,Some College,Accommodation,135406750,19898,2006,Female,Florida,6805.04
70,70,3418,3418,3418,Advanced Degree,Accommodation,95759359,9863,2006,Female,Florida,9708.95
71,71,3419,3419,3419,Unavailable,Accommodation,53864192,11713,2006,Female,Florida,4598.67
72,72,4500,4500,4500,All Education Categories,Educational Services,2129307073,175315,2007,Male,Florida,12145.61
73,73,4501,4501,4501,Less Than High School,Educational Services,122155206,15330,2007,Male,Florida,7968.38
74,74,4502,4502,4502,High School Graduate,Educational Services,320765653,33164,2007,Male,Florida,9672.1
75,75,4503,4503,4503,Some College,Educational Services,526026472,46494,2007,Male,Florida,11313.86
76,76,4504,4504,4504,Advanced Degree,Educational Services,1108365650,67454,2007,Male,Florida,16431.43
77,77,4505,4505,4505,Unavailable,Educational Services,51994092,12874,2007,Male,Florida,4038.69
78,78,4506,4506,4506,All Education Categories,Educational Services,3759181847,408212,2007,Female,Florida,9208.9
79,79,4507,4507,4507,Less Than High School,Educational Services,166504737,27742,2007,Female,Florida,6001.9
80,80,4508,4508,4508,High School Graduate,Educational Services,621600306,84043,2007,Female,Florida,7396.22
81,81,4509,4509,4509,Some College,Educational Services,1074112052,120353,2007,Female,Florida,8924.68
82,82,4510,4510,4510,Advanced Degree,Educational Services,1774187262,148977,2007,Female,Florida,11909.14
83,83,4511,4511,4511,Unavailable,Educational Services,122777490,27097,2007,Female,Florida,4531.04
84,84,4596,4596,4596,All Education Categories,Accommodation,692141496,76165,2007,Male,Florida,9087.4
85,85,4597,4597,4597,Less Than High School,Accommodation,119670385,17034,2007,Male,Florida,7025.38
86,86,4598,4598,4598,High School Graduate,Accommodation,168120731,20365,2007,Male,Florida,8255.38
87,87,4599,4599,4599,Some College,Accommodation,185310563,18334,2007,Male,Florida,10107.48
88,88,4600,4600,4600,Advanced Degree,Accommodation,165029363,9897,2007,Male,Florida,16674.69
89,89,4601,4601,4601,Unavailable,Accommodation,54010454,10534,2007,Male,Florida,5127.25
90,90,4602,4602,4602,All Education Categories,Accommodation,526428996,82015,2007,Female,Florida,6418.69
91,91,4603,4603,4603,Less Than High School,Accommodation,93359164,17808,2007,Female,Florida,5242.54
92,92,4604,4604,4604,High School Graduate,Accommodation,127471415,21351,2007,Female,Florida,5970.28
93,93,4605,4605,4605,Some College,Accommodation,143230808,20383,2007,Female,Florida,7026.97
94,94,4606,4606,4606,Advanced Degree,Accommodation,102699983,10239,2007,Female,Florida,10030.27
95,95,4607,4607,4607,Unavailable,Accommodation,59667626,12234,2007,Female,Florida,4877.2
96,96,5700,5700,5700,All Education Categories,Educational Services,1803109509,156534,2008,Male,Florida,11518.96
97,97,5701,5701,5701,Less Than High School,Educational Services,111445370,13969,2008,Male,Florida,7978.05
98,98,5702,5702,5702,High School Graduate,Educational Services,293757113,30881,2008,Male,Florida,9512.55
99,99,5703,5703,5703,Some College,Educational Services,458321669,42164,2008,Male,Florida,10869.98
100,100,5704,5704,5704,Advanced Degree,Educational Services,899812970,60403,2008,Male,Florida,14896.83
101,101,5705,5705,5705,Unavailable,Educational Services,39772388,9117,2008,Male,Florida,4362.44
102,102,5706,5706,5706,All Education Categories,Educational Services,3402066949,367761,2008,Female,Florida,9250.76
103,103,5707,5707,5707,Less Than High School,Educational Services,153732236,24853,2008,Female,Florida,6185.66
104,104,5708,5708,5708,High School Graduate,Educational Services,586781216,77405,2008,Female,Florida,7580.66
105,105,5709,5709,5709,Some College,Educational Services,984293353,110130,2008,Female,Florida,8937.56
106,106,5710,5710,5710,Advanced Degree,Educational Services,1578170837,135444,2008,Female,Florida,11651.83
107,107,5711,5711,5711,Unavailable,Educational Services,99089307,19929,2008,Female,Florida,4972.12
108,108,5796,5796,5796,All Education Categories,Accommodation,749770072,80478,2008,Male,Florida,9316.46
109,109,5797,5797,5797,Less Than High School,Accommodation,126602984,17833,2008,Male,Florida,7099.37
