,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,All Education Categories,00,22251001897,1824649,2004,Male,Georgia,12194.68
1,1,1,1,1,Less Than High School,00,1585626312,212203,2004,Male,Georgia,7472.21
2,2,2,2,2,High School Graduate,00,4571098999,472580,2004,Male,Georgia,9672.65
3,3,3,3,3,Some College,00,5826594314,473858,2004,Male,Georgia,12296.08
4,4,4,4,4,Advanced Degree,00,9234064822,428420,2004,Male,Georgia,21553.77
5,5,5,5,5,Unavailable,00,1033617450,237586,2004,Male,Georgia,4350.5
6,6,6,6,6,All Education Categories,00,13632163176,1833698,2004,Female,Georgia,7434.25
7,7,7,7,7,Less Than High School,00,800779869,165394,2004,Female,Georgia,4841.65
8,8,8,8,8,High School Graduate,00,2767441734,454603,2004,Female,Georgia,6087.6
9,9,9,9,9,Some College,00,4038185313,528188,2004,Female,Georgia,7645.36
10,10,10,10,10,Advanced Degree,00,5110932207,425578,2004,Female,Georgia,12009.39
11,11,11,11,11,Unavailable,00,914824053,259936,2004,Female,Georgia,3519.42
12,12,60,60,60,All Education Categories,Manufacturing,3664830698,301055,2004,Male,Georgia,12173.29
13,13,61,61,61,Less Than High School,Manufacturing,375942326,45331,2004,Male,Georgia,8293.27
14,14,62,62,62,High School Graduate,Manufacturing,1040590430,98104,2004,Male,Georgia,10607.01
15,15,63,63,63,Some College,Manufacturing,1076481449,83549,2004,Male,Georgia,12884.43
16,16,64,64,64,Advanced Degree,Manufacturing,1019316665,48918,2004,Male,Georgia,20837.25
17,17,65,65,65,Unavailable,Manufacturing,152499829,25153,2004,Male,Georgia,6062.89
18,18,66,66,66,All Education Categories,Manufacturing,1206497005,153053,2004,Female,Georgia,7882.87
19,19,67,67,67,Less Than High School,Manufacturing,133998120,23321,2004,Female,Georgia,5745.81
20,20,68,68,68,High School Graduate,Manufacturing,374655060,54150,2004,Female,Georgia,6918.84
21,21,69,69,69,Some College,Manufacturing,360116014,43257,2004,Female,Georgia,8325.03
22,22,70,70,70,Advanced Degree,Manufacturing,277373965,20601,2004,Female,Georgia,13464.1
23,23,71,71,71,Unavailable,Manufacturing,60353847,11724,2004,Female,Georgia,5147.89
24,24,84,84,84,All Education Categories,Retail Trade,1695933034,211319,2004,Male,Georgia,8025.46
25,25,85,85,85,Less Than High School,Retail Trade,161228026,24648,2004,Male,Georgia,6541.22
26,26,86,86,86,High School Graduate,Retail Trade,469990492,57602,2004,Male,Georgia,8159.27
27,27,87,87,87,Some College,Retail Trade,488162465,50039,2004,Male,Georgia,9755.64
28,28,88,88,88,Advanced Degree,Retail Trade,402970426,28345,2004,Male,Georgia,14216.63
29,29,89,89,89,Unavailable,Retail Trade,173581625,50686,2004,Male,Georgia,3424.65
30,30,90,90,90,All Education Categories,Retail Trade,1018465393,223958,2004,Female,Georgia,4547.57
31,31,91,91,91,Less Than High School,Retail Trade,106033016,25870,2004,Female,Georgia,4098.69
32,32,92,92,92,High School Graduate,Retail Trade,308363837,64547,2004,Female,Georgia,4777.35
33,33,93,93,93,Some College,Retail Trade,275064608,50713,2004,Female,Georgia,5423.95
34,34,94,94,94,Advanced Degree,Retail Trade,174562330,22957,2004,Female,Georgia,7603.88
35,35,95,95,95,Unavailable,Retail Trade,154441602,59871,2004,Female,Georgia,2579.57
36,36,120,120,120,All Education Categories,Finance and Insurance,1619883909,52845,2004,Male,Georgia,30653.49
37,37,121,121,121,Less Than High School,Finance and Insurance,22772858,1853,2004,Male,Georgia,12289.72
38,38,122,122,122,High School Graduate,Finance and Insurance,116085872,6828,2004,Male,Georgia,17001.45
39,39,123,123,123,Some College,Finance and Insurance,283926190,12160,2004,Male,Georgia,23349.19
40,40,124,124,124,Advanced Degree,Finance and Insurance,1169769864,28343,2004,Male,Georgia,41271.91
41,41,125,125,125,Unavailable,Finance and Insurance,27329125,3662,2004,Male,Georgia,7462.9
42,42,126,126,126,All Education Categories,Finance and Insurance,1124209632,101197,2004,Female,Georgia,11109.12
43,43,127,127,127,Less Than High School,Finance and Insurance,26094223,3633,2004,Female,Georgia,7182.56
