,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,All Education Categories,00,2392718020,243679,2004,Male,Hawaii,9819.14
1,1,1,1,1,Less Than High School,00,160316669,24775,2004,Male,Hawaii,6470.9
2,2,2,2,2,High School Graduate,00,393206990,48040,2004,Male,Hawaii,8184.99
3,3,3,3,3,Some College,00,667405815,67374,2004,Male,Hawaii,9905.98
4,4,4,4,4,Advanced Degree,00,1038570039,70529,2004,Male,Hawaii,14725.43
5,5,5,5,5,Unavailable,00,133218506,32961,2004,Male,Hawaii,4041.7
6,6,6,6,6,All Education Categories,00,1569230314,230126,2004,Female,Hawaii,6819.0
7,7,7,7,7,Less Than High School,00,114544122,24108,2004,Female,Hawaii,4751.29
8,8,8,8,8,High School Graduate,00,262444529,44566,2004,Female,Hawaii,5888.9
9,9,9,9,9,Some College,00,465417856,64973,2004,Female,Hawaii,7163.25
10,10,10,10,10,Advanced Degree,00,615900186,62401,2004,Female,Hawaii,9870.04
11,11,11,11,11,Unavailable,00,110923621,34078,2004,Female,Hawaii,3254.99
12,12,60,60,60,All Education Categories,Manufacturing,90659474,9522,2004,Male,Hawaii,9521.05
13,13,61,61,61,Less Than High School,Manufacturing,7950384,1192,2004,Male,Hawaii,6669.79
14,14,62,62,62,High School Graduate,Manufacturing,18508537,2150,2004,Male,Hawaii,8608.62
15,15,63,63,63,Some College,Manufacturing,27986871,2810,2004,Male,Hawaii,9959.74
16,16,64,64,64,Advanced Degree,Manufacturing,31693561,2412,2004,Male,Hawaii,13139.95
17,17,65,65,65,Unavailable,Manufacturing,4520122,957,2004,Male,Hawaii,4723.22
18,18,66,66,66,All Education Categories,Manufacturing,33786673,6215,2004,Female,Hawaii,5436.31
19,19,67,67,67,Less Than High School,Manufacturing,5513571,1370,2004,Female,Hawaii,4024.5
20,20,68,68,68,High School Graduate,Manufacturing,7584544,1477,2004,Female,Hawaii,5135.1
21,21,69,69,69,Some College,Manufacturing,9856900,1592,2004,Female,Hawaii,6191.52
22,22,70,70,70,Advanced Degree,Manufacturing,9037078,1202,2004,Female,Hawaii,7518.37
23,23,71,71,71,Unavailable,Manufacturing,1794579,574,2004,Female,Hawaii,3126.44
24,24,84,84,84,All Education Categories,Retail Trade,223523640,29426,2004,Male,Hawaii,7596.13
25,25,85,85,85,Less Than High School,Retail Trade,15698619,2612,2004,Male,Hawaii,6010.19
26,26,86,86,86,High School Graduate,Retail Trade,42562407,5757,2004,Male,Hawaii,7393.16
27,27,87,87,87,Some College,Retail Trade,67420285,7757,2004,Male,Hawaii,8691.54
28,28,88,88,88,Advanced Degree,Retail Trade,73759121,6161,2004,Male,Hawaii,11971.94
29,29,89,89,89,Unavailable,Retail Trade,24083208,7140,2004,Male,Hawaii,3373.0
30,30,90,90,90,All Education Categories,Retail Trade,181446715,36357,2004,Female,Hawaii,4990.7
31,31,91,91,91,Less Than High School,Retail Trade,17503809,4041,2004,Female,Hawaii,4331.55
32,32,92,92,92,High School Graduate,Retail Trade,40224723,7958,2004,Female,Hawaii,5054.63
33,33,93,93,93,Some College,Retail Trade,53948383,9367,2004,Female,Hawaii,5759.41
34,34,94,94,94,Advanced Degree,Retail Trade,46384004,6225,2004,Female,Hawaii,7451.25
35,35,95,95,95,Unavailable,Retail Trade,23385795,8766,2004,Female,Hawaii,2667.78
36,36,120,120,120,All Education Categories,Finance and Insurance,113813735,5144,2004,Male,Hawaii,22125.53
