,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2868,2868,2868,All Education Categories,"Colleges, Universities, and Professional Schools",48130237,5064,2004,Male,Idaho,9504.39
1,1,2869,2869,2869,Less Than High School,"Colleges, Universities, and Professional Schools",1060915,183,2004,Male,Idaho,5797.35
2,2,2870,2870,2870,High School Graduate,"Colleges, Universities, and Professional Schools",5906845,818,2004,Male,Idaho,7221.08
3,3,2871,2871,2871,Some College,"Colleges, Universities, and Professional Schools",10804963,1271,2004,Male,Idaho,8501.15
4,4,2872,2872,2872,Advanced Degree,"Colleges, Universities, and Professional Schools",29615939,2502,2004,Male,Idaho,11836.91
5,5,2873,2873,2873,Unavailable,"Colleges, Universities, and Professional Schools",741576,290,2004,Male,Idaho,2557.16
6,6,2874,2874,2874,All Education Categories,"Colleges, Universities, and Professional Schools",37765783,5549,2004,Female,Idaho,6805.87
7,7,2875,2875,2875,Less Than High School,"Colleges, Universities, and Professional Schools",682130,160,2004,Female,Idaho,4263.31
8,8,2876,2876,2876,High School Graduate,"Colleges, Universities, and Professional Schools",6154002,1119,2004,Female,Idaho,5499.55
9,9,2877,2877,2877,Some College,"Colleges, Universities, and Professional Schools",10951567,1695,2004,Female,Idaho,6461.1
10,10,2878,2878,2878,Advanced Degree,"Colleges, Universities, and Professional Schools",18866583,2151,2004,Female,Idaho,8771.08
11,11,2879,2879,2879,Unavailable,"Colleges, Universities, and Professional Schools",1111502,424,2004,Female,Idaho,2621.47
12,12,6528,6528,6528,All Education Categories,"Colleges, Universities, and Professional Schools",44790386,5125,2005,Male,Idaho,8739.59
13,13,6529,6529,6529,Less Than High School,"Colleges, Universities, and Professional Schools",1033012,196,2005,Male,Idaho,5270.47
14,14,6530,6530,6530,High School Graduate,"Colleges, Universities, and Professional Schools",5531906,830,2005,Male,Idaho,6664.95
15,15,6531,6531,6531,Some College,"Colleges, Universities, and Professional Schools",10299421,1326,2005,Male,Idaho,7767.29
16,16,6532,6532,6532,Advanced Degree,"Colleges, Universities, and Professional Schools",27330469,2533,2005,Male,Idaho,10789.76
17,17,6533,6533,6533,Unavailable,"Colleges, Universities, and Professional Schools",595577,240,2005,Male,Idaho,2481.57
18,18,6534,6534,6534,All Education Categories,"Colleges, Universities, and Professional Schools",36022077,5677,2005,Female,Idaho,6345.27
19,19,6535,6535,6535,Less Than High School,"Colleges, Universities, and Professional Schools",662648,173,2005,Female,Idaho,3830.34
20,20,6536,6536,6536,High School Graduate,"Colleges, Universities, and Professional Schools",5863517,1157,2005,Female,Idaho,5067.86
21,21,6537,6537,6537,Some College,"Colleges, Universities, and Professional Schools",10601857,1772,2005,Female,Idaho,5982.99
22,22,6538,6538,6538,Advanced Degree,"Colleges, Universities, and Professional Schools",17891733,2233,2005,Female,Idaho,8012.42
23,23,6539,6539,6539,Unavailable,"Colleges, Universities, and Professional Schools",1002322,342,2005,Female,Idaho,2930.77
24,24,10200,10200,10200,All Education Categories,"Colleges, Universities, and Professional Schools",58195994,5984,2006,Male,Idaho,9725.27
25,25,10201,10201,10201,Less Than High School,"Colleges, Universities, and Professional Schools",1352053,220,2006,Male,Idaho,6145.7
26,26,10202,10202,10202,High School Graduate,"Colleges, Universities, and Professional Schools",7277001,964,2006,Male,Idaho,7548.76
27,27,10203,10203,10203,Some College,"Colleges, Universities, and Professional Schools",13871787,1595,2006,Male,Idaho,8697.05
28,28,10204,10204,10204,Advanced Degree,"Colleges, Universities, and Professional Schools",35110573,2995,2006,Male,Idaho,11723.06
29,29,10205,10205,10205,Unavailable,"Colleges, Universities, and Professional Schools",584580,209,2006,Male,Idaho,2797.03
30,30,10206,10206,10206,All Education Categories,"Colleges, Universities, and Professional Schools",41210282,6206,2006,Female,Idaho,6640.39
31,31,10207,10207,10207,Less Than High School,"Colleges, Universities, and Professional Schools",824477,196,2006,Female,Idaho,4206.52
32,32,10208,10208,10208,High School Graduate,"Colleges, Universities, and Professional Schools",6780583,1273,2006,Female,Idaho,5326.46
33,33,10209,10209,10209,Some College,"Colleges, Universities, and Professional Schools",12366141,1998,2006,Female,Idaho,6189.26
34,34,10210,10210,10210,Advanced Degree,"Colleges, Universities, and Professional Schools",20224413,2421,2006,Female,Idaho,8353.74
35,35,10211,10211,10211,Unavailable,"Colleges, Universities, and Professional Schools",1014668,318,2006,Female,Idaho,3190.78
36,36,13884,13884,13884,All Education Categories,"Colleges, Universities, and Professional Schools",62664048,6186,2007,Male,Idaho,10129.98
37,37,13885,13885,13885,Less Than High School,"Colleges, Universities, and Professional Schools",1500218,240,2007,Male,Idaho,6250.91
38,38,13886,13886,13886,High School Graduate,"Colleges, Universities, and Professional Schools",7931933,1024,2007,Male,Idaho,7746.03
39,39,13887,13887,13887,Some College,"Colleges, Universities, and Professional Schools",14966165,1657,2007,Male,Idaho,9032.09
40,40,13888,13888,13888,Advanced Degree,"Colleges, Universities, and Professional Schools",37670684,3075,2007,Male,Idaho,12250.63
41,41,13889,13889,13889,Unavailable,"Colleges, Universities, and Professional Schools",595048,190,2007,Male,Idaho,3131.83
42,42,13890,13890,13890,All Education Categories,"Colleges, Universities, and Professional Schools",44311407,6394,2007,Female,Idaho,6930.15
43,43,13891,13891,13891,Less Than High School,"Colleges, Universities, and Professional Schools",943067,209,2007,Female,Idaho,4512.28
44,44,13892,13892,13892,High School Graduate,"Colleges, Universities, and Professional Schools",7385624,1327,2007,Female,Idaho,5565.65
45,45,13893,13893,13893,Some College,"Colleges, Universities, and Professional Schools",13385836,2062,2007,Female,Idaho,6491.68
46,46,13894,13894,13894,Advanced Degree,"Colleges, Universities, and Professional Schools",21530535,2466,2007,Female,Idaho,8730.95
47,47,13895,13895,13895,Unavailable,"Colleges, Universities, and Professional Schools",1066345,330,2007,Female,Idaho,3231.35
48,48,17556,17556,17556,All Education Categories,"Colleges, Universities, and Professional Schools",66989862,6442,2008,Male,Idaho,10398.92
49,49,17557,17557,17557,Less Than High School,"Colleges, Universities, and Professional Schools",1731674,264,2008,Male,Idaho,6559.37
50,50,17558,17558,17558,High School Graduate,"Colleges, Universities, and Professional Schools",8660201,1083,2008,Male,Idaho,7996.49
51,51,17559,17559,17559,Some College,"Colleges, Universities, and Professional Schools",16291112,1763,2008,Male,Idaho,9240.56
52,52,17560,17560,17560,Advanced Degree,"Colleges, Universities, and Professional Schools",39631577,3126,2008,Male,Idaho,12678.05
53,53,17561,17561,17561,Unavailable,"Colleges, Universities, and Professional Schools",675298,206,2008,Male,Idaho,3278.15
54,54,17562,17562,17562,All Education Categories,"Colleges, Universities, and Professional Schools",48356557,6612,2008,Female,Idaho,7313.45
55,55,17563,17563,17563,Less Than High School,"Colleges, Universities, and Professional Schools",1100884,226,2008,Female,Idaho,4871.17
56,56,17564,17564,17564,High School Graduate,"Colleges, Universities, and Professional Schools",7996143,1351,2008,Female,Idaho,5918.68
57,57,17565,17565,17565,Some College,"Colleges, Universities, and Professional Schools",14707491,2134,2008,Female,Idaho,6891.98
58,58,17566,17566,17566,Advanced Degree,"Colleges, Universities, and Professional Schools",23434401,2553,2008,Female,Idaho,9179.16
59,59,17567,17567,17567,Unavailable,"Colleges, Universities, and Professional Schools",1117638,348,2008,Female,Idaho,3211.6
60,60,21228,21228,21228,All Education Categories,"Colleges, Universities, and Professional Schools",68146885,6379,2009,Male,Idaho,10683.0
61,61,21229,21229,21229,Less Than High School,"Colleges, Universities, and Professional Schools",1904849,273,2009,Male,Idaho,6977.47
62,62,21230,21230,21230,High School Graduate,"Colleges, Universities, and Professional Schools",9047169,1104,2009,Male,Idaho,8194.9
63,63,21231,21231,21231,Some College,"Colleges, Universities, and Professional Schools",16741747,1744,2009,Male,Idaho,9599.63
64,64,21232,21232,21232,Advanced Degree,"Colleges, Universities, and Professional Schools",39725080,3038,2009,Male,Idaho,13076.06
65,65,21233,21233,21233,Unavailable,"Colleges, Universities, and Professional Schools",728040,221,2009,Male,Idaho,3294.3
66,66,21234,21234,21234,All Education Categories,"Colleges, Universities, and Professional Schools",49400919,6619,2009,Female,Idaho,7463.5
67,67,21235,21235,21235,Less Than High School,"Colleges, Universities, and Professional Schools",1236712,242,2009,Female,Idaho,5110.38
68,68,21236,21236,21236,High School Graduate,"Colleges, Universities, and Professional Schools",8216848,1341,2009,Female,Idaho,6127.4
69,69,21237,21237,21237,Some College,"Colleges, Universities, and Professional Schools",15280062,2164,2009,Female,Idaho,7061.03
70,70,21238,21238,21238,Advanced Degree,"Colleges, Universities, and Professional Schools",23608766,2550,2009,Female,Idaho,9258.34
71,71,21239,21239,21239,Unavailable,"Colleges, Universities, and Professional Schools",1058532,323,2009,Female,Idaho,3277.19
72,72,24912,24912,24912,All Education Categories,"Colleges, Universities, and Professional Schools",67910707,6144,2010,Male,Idaho,11053.17
73,73,24913,24913,24913,Less Than High School,"Colleges, Universities, and Professional Schools",2040256,281,2010,Male,Idaho,7260.7
74,74,24914,24914,24914,High School Graduate,"Colleges, Universities, and Professional Schools",9217600,1077,2010,Male,Idaho,8558.59
75,75,24915,24915,24915,Some College,"Colleges, Universities, and Professional Schools",16727239,1679,2010,Male,Idaho,9962.62
76,76,24916,24916,24916,Advanced Degree,"Colleges, Universities, and Professional Schools",39134138,2901,2010,Male,Idaho,13489.88
77,77,24917,24917,24917,Unavailable,"Colleges, Universities, and Professional Schools",791474,207,2010,Male,Idaho,3823.55
78,78,24918,24918,24918,All Education Categories,"Colleges, Universities, and Professional Schools",49421193,6407,2010,Female,Idaho,7713.62
79,79,24919,24919,24919,Less Than High School,"Colleges, Universities, and Professional Schools",1374496,257,2010,Female,Idaho,5348.23
80,80,24920,24920,24920,High School Graduate,"Colleges, Universities, and Professional Schools",8389411,1311,2010,Female,Idaho,6399.25
81,81,24921,24921,24921,Some College,"Colleges, Universities, and Professional Schools",15387634,2105,2010,Female,Idaho,7310.04
82,82,24922,24922,24922,Advanced Degree,"Colleges, Universities, and Professional Schools",23366974,2443,2010,Female,Idaho,9564.87
83,83,24923,24923,24923,Unavailable,"Colleges, Universities, and Professional Schools",902678,290,2010,Female,Idaho,3112.68
84,84,28584,28584,28584,All Education Categories,"Colleges, Universities, and Professional Schools",70376042,6293,2011,Male,Idaho,11183.23
85,85,28585,28585,28585,Less Than High School,"Colleges, Universities, and Professional Schools",2323485,316,2011,Male,Idaho,7352.8
86,86,28586,28586,28586,High School Graduate,"Colleges, Universities, and Professional Schools",9843504,1132,2011,Male,Idaho,8695.67
87,87,28587,28587,28587,Some College,"Colleges, Universities, and Professional Schools",17584009,1738,2011,Male,Idaho,10117.38
88,88,28588,28588,28588,Advanced Degree,"Colleges, Universities, and Professional Schools",39967273,2924,2011,Male,Idaho,13668.7
89,89,28589,28589,28589,Unavailable,"Colleges, Universities, and Professional Schools",657771,183,2011,Male,Idaho,3594.38
90,90,28590,28590,28590,All Education Categories,"Colleges, Universities, and Professional Schools",50851721,6406,2011,Female,Idaho,7938.14
91,91,28591,28591,28591,Less Than High School,"Colleges, Universities, and Professional Schools",1553305,267,2011,Female,Idaho,5817.62
92,92,28592,28592,28592,High School Graduate,"Colleges, Universities, and Professional Schools",8901975,1334,2011,Female,Idaho,6673.14
93,93,28593,28593,28593,Some College,"Colleges, Universities, and Professional Schools",15932351,2121,2011,Female,Idaho,7511.72
94,94,28594,28594,28594,Advanced Degree,"Colleges, Universities, and Professional Schools",23651921,2455,2011,Female,Idaho,9634.18
95,95,28595,28595,28595,Unavailable,"Colleges, Universities, and Professional Schools",812170,229,2011,Female,Idaho,3546.59
96,96,32256,32256,32256,All Education Categories,"Colleges, Universities, and Professional Schools",83328800,6620,2012,Male,Idaho,12587.43
97,97,32257,32257,32257,Less Than High School,"Colleges, Universities, and Professional Schools",3105944,370,2012,Male,Idaho,8394.44
98,98,32258,32258,32258,High School Graduate,"Colleges, Universities, and Professional Schools",12034089,1235,2012,Male,Idaho,9744.2
99,99,32259,32259,32259,Some College,"Colleges, Universities, and Professional Schools",20952054,1835,2012,Male,Idaho,11418.01
100,100,32260,32260,32260,Advanced Degree,"Colleges, Universities, and Professional Schools",46387451,2979,2012,Male,Idaho,15571.48
101,101,32261,32261,32261,Unavailable,"Colleges, Universities, and Professional Schools",849262,201,2012,Male,Idaho,4225.18
102,102,32262,32262,32262,All Education Categories,"Colleges, Universities, and Professional Schools",63148972,6993,2012,Female,Idaho,9030.31
103,103,32263,32263,32263,Less Than High School,"Colleges, Universities, and Professional Schools",2113621,323,2012,Female,Idaho,6543.72
104,104,32264,32264,32264,High School Graduate,"Colleges, Universities, and Professional Schools",10985113,1471,2012,Female,Idaho,7467.79
105,105,32265,32265,32265,Some College,"Colleges, Universities, and Professional Schools",19756572,2318,2012,Female,Idaho,8523.11
106,106,32266,32266,32266,Advanced Degree,"Colleges, Universities, and Professional Schools",29212749,2628,2012,Female,Idaho,11115.96
107,107,32267,32267,32267,Unavailable,"Colleges, Universities, and Professional Schools",1080917,252,2012,Female,Idaho,4289.35
108,108,32964,32964,32964,All Education Categories,00,2497647135,280598,2004,Male,Idaho,8901.16
109,109,32965,32965,32965,Less Than High School,00,173686522,28072,2004,Male,Idaho,6187.18
110,110,32966,32966,32966,High School Graduate,00,604224127,76412,2004,Male,Idaho,7907.45
111,111,32967,32967,32967,Some College,00,721399501,75850,2004,Male,Idaho,9510.87
112,112,32968,32968,32968,Advanced Degree,00,844796509,56855,2004,Male,Idaho,14858.79
113,113,32969,32969,32969,Unavailable,00,153540477,43409,2004,Male,Idaho,3537.07
114,114,32970,32970,32970,All Education Categories,00,1449509498,264083,2004,Female,Idaho,5488.84
115,115,32971,32971,32971,Less Than High School,00,73603839,18603,2004,Female,Idaho,3956.56
116,116,32972,32972,32972,High School Graduate,00,332915561,68050,2004,Female,Idaho,4892.22
117,117,32973,32973,32973,Some College,00,474979648,80020,2004,Female,Idaho,5935.76
118,118,32974,32974,32974,Advanced Degree,00,438086762,51290,2004,Female,Idaho,8541.37
119,119,32975,32975,32975,Unavailable,00,129923688,46120,2004,Female,Idaho,2817.08
120,120,33024,33024,33024,All Education Categories,Manufacturing,481393202,44308,2004,Male,Idaho,10864.7
121,121,33025,33025,33025,Less Than High School,Manufacturing,38110691,5189,2004,Male,Idaho,7344.52
122,122,33026,33026,33026,High School Graduate,Manufacturing,131172605,13787,2004,Male,Idaho,9514.22
123,123,33027,33027,33027,Some College,Manufacturing,152238939,13345,2004,Male,Idaho,11407.94
124,124,33028,33028,33028,Advanced Degree,Manufacturing,139570263,8202,2004,Male,Idaho,17016.61
125,125,33029,33029,33029,Unavailable,Manufacturing,20300704,3785,2004,Male,Idaho,5363.46
126,126,33030,33030,33030,All Education Categories,Manufacturing,129622628,17733,2004,Female,Idaho,7309.68
127,127,33031,33031,33031,Less Than High School,Manufacturing,11798958,2352,2004,Female,Idaho,5016.56
128,128,33032,33032,33032,High School Graduate,Manufacturing,36331285,5592,2004,Female,Idaho,6497.01
129,129,33033,33033,33033,Some College,Manufacturing,42070518,5440,2004,Female,Idaho,7733.55
