,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,936,936,936,All Education Categories,Educational Services,1728628470,156502,2004,Male,Illinois,11045.41
1,1,937,937,937,Less Than High School,Educational Services,56409947,8251,2004,Male,Illinois,6836.74
2,2,938,938,938,High School Graduate,Educational Services,212451653,25555,2004,Male,Illinois,8313.51
3,3,939,939,939,Some College,Educational Services,377675588,37948,2004,Male,Illinois,9952.45
4,4,940,940,940,Advanced Degree,Educational Services,1045872069,74064,2004,Male,Illinois,14121.19
5,5,941,941,941,Unavailable,Educational Services,36219215,10684,2004,Male,Illinois,3390.04
6,6,942,942,942,All Education Categories,Educational Services,2938972852,351234,2004,Female,Illinois,8367.56
7,7,943,943,943,Less Than High School,Educational Services,71530197,14527,2004,Female,Illinois,4923.95
8,8,944,944,944,High School Graduate,Educational Services,401329331,67310,2004,Female,Illinois,5962.4
9,9,945,945,945,Some College,Educational Services,730156542,96870,2004,Female,Illinois,7537.49
10,10,946,946,946,Advanced Degree,Educational Services,1643650873,150787,2004,Female,Illinois,10900.48
11,11,947,947,947,Unavailable,Educational Services,92305909,21740,2004,Female,Illinois,4245.9
12,12,1032,1032,1032,All Education Categories,Accommodation,142131232,21863,2004,Male,Illinois,6500.99
13,13,1033,1033,1033,Less Than High School,Accommodation,25997696,5031,2004,Male,Illinois,5167.5
14,14,1034,1034,1034,High School Graduate,Accommodation,32772729,5357,2004,Male,Illinois,6117.74
15,15,1035,1035,1035,Some College,Accommodation,35896545,4841,2004,Male,Illinois,7415.11
16,16,1036,1036,1036,Advanced Degree,Accommodation,35799576,3130,2004,Male,Illinois,11437.56
17,17,1037,1037,1037,Unavailable,Accommodation,11664686,3504,2004,Male,Illinois,3328.96
18,18,1038,1038,1038,All Education Categories,Accommodation,117150049,25631,2004,Female,Illinois,4570.64
19,19,1039,1039,1039,Less Than High School,Accommodation,20357365,5299,2004,Female,Illinois,3841.74
20,20,1040,1040,1040,High School Graduate,Accommodation,27769319,6634,2004,Female,Illinois,4185.91
21,21,1041,1041,1041,Some College,Accommodation,30536041,5950,2004,Female,Illinois,5132.11
22,22,1042,1042,1042,Advanced Degree,Accommodation,24485511,3292,2004,Female,Illinois,7437.88
23,23,1043,1043,1043,Unavailable,Accommodation,14001812,4457,2004,Female,Illinois,3141.53
24,24,2124,2124,2124,All Education Categories,Educational Services,1725554369,154619,2005,Male,Illinois,11160.04
25,25,2125,2125,2125,Less Than High School,Educational Services,57547200,8249,2005,Male,Illinois,6976.26
26,26,2126,2126,2126,High School Graduate,Educational Services,215895696,25721,2005,Male,Illinois,8393.75
27,27,2127,2127,2127,Some College,Educational Services,381668915,37963,2005,Male,Illinois,10053.71
28,28,2128,2128,2128,Advanced Degree,Educational Services,1034270705,72560,2005,Male,Illinois,14254.01
29,29,2129,2129,2129,Unavailable,Educational Services,36171854,10126,2005,Male,Illinois,3572.18
30,30,2130,2130,2130,All Education Categories,Educational Services,2976173151,350840,2005,Female,Illinois,8482.99
31,31,2131,2131,2131,Less Than High School,Educational Services,73929856,14882,2005,Female,Illinois,4967.74
32,32,2132,2132,2132,High School Graduate,Educational Services,406579621,67213,2005,Female,Illinois,6049.12
33,33,2133,2133,2133,Some College,Educational Services,747434581,97853,2005,Female,Illinois,7638.34
34,34,2134,2134,2134,Advanced Degree,Educational Services,1657062410,150246,2005,Female,Illinois,11029.0
35,35,2135,2135,2135,Unavailable,Educational Services,91166684,20645,2005,Female,Illinois,4415.92
36,36,2220,2220,2220,All Education Categories,Accommodation,143472107,21389,2005,Male,Illinois,6707.75
37,37,2221,2221,2221,Less Than High School,Accommodation,26065220,4906,2005,Male,Illinois,5312.93
38,38,2222,2222,2222,High School Graduate,Accommodation,33516006,5293,2005,Male,Illinois,6332.14
39,39,2223,2223,2223,Some College,Accommodation,37216799,4816,2005,Male,Illinois,7727.74
40,40,2224,2224,2224,Advanced Degree,Accommodation,35763315,3081,2005,Male,Illinois,11607.7
41,41,2225,2225,2225,Unavailable,Accommodation,10910767,3292,2005,Male,Illinois,3314.33
42,42,2226,2226,2226,All Education Categories,Accommodation,122321064,25152,2005,Female,Illinois,4863.27
43,43,2227,2227,2227,Less Than High School,Accommodation,21056881,5290,2005,Female,Illinois,3980.51
44,44,2228,2228,2228,High School Graduate,Accommodation,28290687,6524,2005,Female,Illinois,4336.4
45,45,2229,2229,2229,Some College,Accommodation,32134452,5916,2005,Female,Illinois,5431.79
46,46,2230,2230,2230,Advanced Degree,Accommodation,27540367,3273,2005,Female,Illinois,8414.41
47,47,2231,2231,2231,Unavailable,Accommodation,13298676,4150,2005,Female,Illinois,3204.5
48,48,3324,3324,3324,All Education Categories,Educational Services,1823987334,156442,2006,Male,Illinois,11659.19
49,49,3325,3325,3325,Less Than High School,Educational Services,64183946,8634,2006,Male,Illinois,7433.86
50,50,3326,3326,3326,High School Graduate,Educational Services,234662599,26417,2006,Male,Illinois,8883.01
51,51,3327,3327,3327,Some College,Educational Services,410062449,38888,2006,Male,Illinois,10544.7
52,52,3328,3328,3328,Advanced Degree,Educational Services,1075956518,72195,2006,Male,Illinois,14903.48
53,53,3329,3329,3329,Unavailable,Educational Services,39121823,10307,2006,Male,Illinois,3795.66
54,54,3330,3330,3330,All Education Categories,Educational Services,3184288170,357086,2006,Female,Illinois,8917.43
55,55,3331,3331,3331,Less Than High School,Educational Services,84050085,15649,2006,Female,Illinois,5370.96
