,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,All Education Categories,00,15173808788,1399623,2004,Male,Indiana,10841.35
1,1,1,1,1,Less Than High School,00,1020704981,133832,2004,Male,Indiana,7626.76
2,2,2,2,2,High School Graduate,00,4031170194,420948,2004,Male,Indiana,9576.41
3,3,3,3,3,Some College,00,4269318069,370541,2004,Male,Indiana,11521.85
4,4,4,4,4,Advanced Degree,00,5056656093,280580,2004,Male,Indiana,18022.15
5,5,5,5,5,Unavailable,00,795959451,193722,2004,Male,Indiana,4108.77
6,6,6,6,6,All Education Categories,00,8755675815,1349205,2004,Female,Indiana,6489.51
7,7,7,7,7,Less Than High School,00,437241505,94374,2004,Female,Indiana,4633.07
8,8,8,8,8,High School Graduate,00,2190548239,383330,2004,Female,Indiana,5714.52
9,9,9,9,9,Some College,00,2744755896,394221,2004,Female,Indiana,6962.48
10,10,10,10,10,Advanced Degree,00,2745755636,267105,2004,Female,Indiana,10279.69
11,11,11,11,11,Unavailable,00,637374538,210175,2004,Female,Indiana,3032.59
12,12,60,60,60,All Education Categories,Manufacturing,5331554757,399113,2004,Male,Indiana,13358.51
13,13,61,61,61,Less Than High School,Manufacturing,398395572,40743,2004,Male,Indiana,9778.26
14,14,62,62,62,High School Graduate,Manufacturing,1683643373,143298,2004,Male,Indiana,11749.25
15,15,63,63,63,Some College,Manufacturing,1645722498,117313,2004,Male,Indiana,14028.48
16,16,64,64,64,Advanced Degree,Manufacturing,1394639419,67224,2004,Male,Indiana,20746.15
17,17,65,65,65,Unavailable,Manufacturing,209153895,30535,2004,Male,Indiana,6849.64
18,18,66,66,66,All Education Categories,Manufacturing,1570229018,173095,2004,Female,Indiana,9071.49
19,19,67,67,67,Less Than High School,Manufacturing,102148177,15379,2004,Female,Indiana,6642.06
20,20,68,68,68,High School Graduate,Manufacturing,521148574,66224,2004,Female,Indiana,7869.48
21,21,69,69,69,Some College,Manufacturing,499028710,52747,2004,Female,Indiana,9460.8
22,22,70,70,70,Advanced Degree,Manufacturing,377485406,26073,2004,Female,Indiana,14478.02
23,23,71,71,71,Unavailable,Manufacturing,70418151,12672,2004,Female,Indiana,5556.99
24,24,84,84,84,All Education Categories,Retail Trade,1071488636,154283,2004,Male,Indiana,6944.96
25,25,85,85,85,Less Than High School,Retail Trade,91331988,15487,2004,Male,Indiana,5897.33
26,26,86,86,86,High School Graduate,Retail Trade,343967679,46406,2004,Male,Indiana,7412.14
27,27,87,87,87,Some College,Retail Trade,302421428,34734,2004,Male,Indiana,8706.78
28,28,88,88,88,Advanced Degree,Retail Trade,208608856,17170,2004,Male,Indiana,12149.61
29,29,89,89,89,Unavailable,Retail Trade,125158685,40486,2004,Male,Indiana,3091.41
30,30,90,90,90,All Education Categories,Retail Trade,710866229,179996,2004,Female,Indiana,3949.34
31,31,91,91,91,Less Than High School,Retail Trade,60055466,16549,2004,Female,Indiana,3628.95
32,32,92,92,92,High School Graduate,Retail Trade,254416161,59972,2004,Female,Indiana,4242.25
33,33,93,93,93,Some College,Retail Trade,192926863,40775,2004,Female,Indiana,4731.5
34,34,94,94,94,Advanced Degree,Retail Trade,98064472,15526,2004,Female,Indiana,6316.15
35,35,95,95,95,Unavailable,Retail Trade,105403267,47174,2004,Female,Indiana,2234.35
36,36,120,120,120,All Education Categories,Finance and Insurance,710552935,31535,2004,Male,Indiana,22532.2
37,37,121,121,121,Less Than High School,Finance and Insurance,10422000,1039,2004,Male,Indiana,10030.8
38,38,122,122,122,High School Graduate,Finance and Insurance,64930041,4794,2004,Male,Indiana,13544.02
39,39,123,123,123,Some College,Finance and Insurance,138140222,7657,2004,Male,Indiana,18041.04
40,40,124,124,124,Advanced Degree,Finance and Insurance,482685948,15802,2004,Male,Indiana,30545.88
41,41,125,125,125,Unavailable,Finance and Insurance,14374724,2244,2004,Male,Indiana,6405.85
42,42,126,126,126,All Education Categories,Finance and Insurance,649340473,71193,2004,Female,Indiana,9120.85
43,43,127,127,127,Less Than High School,Finance and Insurance,13427518,2137,2004,Female,Indiana,6283.35
44,44,128,128,128,High School Graduate,Finance and Insurance,125161944,17130,2004,Female,Indiana,7306.59
45,45,129,129,129,Some College,Finance and Insurance,189234626,21790,2004,Female,Indiana,8684.47
46,46,130,130,130,Advanced Degree,Finance and Insurance,284155597,22588,2004,Female,Indiana,12579.94
47,47,131,131,131,Unavailable,Finance and Insurance,37360788,7549,2004,Female,Indiana,4949.1
48,48,180,180,180,All Education Categories,Educational Services,856544748,80132,2004,Male,Indiana,10689.17
49,49,181,181,181,Less Than High School,Educational Services,24122912,3700,2004,Male,Indiana,6519.71
50,50,182,182,182,High School Graduate,Educational Services,123631110,15062,2004,Male,Indiana,8208.15
51,51,183,183,183,Some College,Educational Services,190895358,19411,2004,Male,Indiana,9834.39
52,52,184,184,184,Advanced Degree,Educational Services,500928315,35553,2004,Male,Indiana,14089.62
53,53,185,185,185,Unavailable,Educational Services,16967053,6405,2004,Male,Indiana,2649.03
54,54,186,186,186,All Education Categories,Educational Services,1239589978,169159,2004,Female,Indiana,7327.96
55,55,187,187,187,Less Than High School,Educational Services,27750051,6621,2004,Female,Indiana,4191.22
56,56,188,188,188,High School Graduate,Educational Services,219016203,41126,2004,Female,Indiana,5325.49
57,57,189,189,189,Some College,Educational Services,322721163,47197,2004,Female,Indiana,6837.75
58,58,190,190,190,Advanced Degree,Educational Services,635508616,62256,2004,Female,Indiana,10207.99
59,59,191,191,191,Unavailable,Educational Services,34593945,11959,2004,Female,Indiana,2892.71
60,60,192,192,192,All Education Categories,Health Care and Social Assistance,832077573,57553,2004,Male,Indiana,14457.59
61,61,193,193,193,Less Than High School,Health Care and Social Assistance,27235317,4093,2004,Male,Indiana,6654.12
62,62,194,194,194,High School Graduate,Health Care and Social Assistance,106839757,12358,2004,Male,Indiana,8645.39
63,63,195,195,195,Some College,Health Care and Social Assistance,190436111,15731,2004,Male,Indiana,12105.79
64,64,196,196,196,Advanced Degree,Health Care and Social Assistance,485723605,19560,2004,Male,Indiana,24832.5
65,65,197,197,197,Unavailable,Health Care and Social Assistance,21842784,5810,2004,Male,Indiana,3759.52
66,66,198,198,198,All Education Categories,Health Care and Social Assistance,1893243221,273554,2004,Female,Indiana,6920.91
67,67,199,199,199,Less Than High School,Health Care and Social Assistance,77523864,15654,2004,Female,Indiana,4952.34
68,68,200,200,200,High School Graduate,Health Care and Social Assistance,387869164,66704,2004,Female,Indiana,5814.78
69,69,201,201,201,Some College,Health Care and Social Assistance,706406548,99731,2004,Female,Indiana,7083.12
70,70,202,202,202,Advanced Degree,Health Care and Social Assistance,598315626,60608,2004,Female,Indiana,9871.89
71,71,203,203,203,Unavailable,Health Care and Social Assistance,123128019,30858,2004,Female,Indiana,3990.15
72,72,216,216,216,All Education Categories,Accommodation and Food Services,310306529,89229,2004,Male,Indiana,3477.64
73,73,217,217,217,Less Than High School,Accommodation and Food Services,39444348,10130,2004,Male,Indiana,3893.82
74,74,218,218,218,High School Graduate,Accommodation and Food Services,83227985,18677,2004,Male,Indiana,4456.18
75,75,219,219,219,Some College,Accommodation and Food Services,65718407,13339,2004,Male,Indiana,4926.79
76,76,220,220,220,Advanced Degree,Accommodation and Food Services,36601114,6137,2004,Male,Indiana,5964.01
77,77,221,221,221,Unavailable,Accommodation and Food Services,85314674,40946,2004,Male,Indiana,2083.59
78,78,222,222,222,All Education Categories,Accommodation and Food Services,345687440,127456,2004,Female,Indiana,2712.21
79,79,223,223,223,Less Than High School,Accommodation and Food Services,37032969,12817,2004,Female,Indiana,2889.36
80,80,224,224,224,High School Graduate,Accommodation and Food Services,95250848,30026,2004,Female,Indiana,3172.28
81,81,225,225,225,Some College,Accommodation and Food Services,77167290,22229,2004,Female,Indiana,3471.47
82,82,226,226,226,Advanced Degree,Accommodation and Food Services,34018325,8561,2004,Female,Indiana,3973.64
83,83,227,227,227,Unavailable,Accommodation and Food Services,102218008,53823,2004,Female,Indiana,1899.15
84,84,252,252,252,All Education Categories,00,15461842137,1414316,2005,Male,Indiana,10932.38
85,85,253,253,253,Less Than High School,00,1047806462,136432,2005,Male,Indiana,7680.06
86,86,254,254,254,High School Graduate,00,4099671019,424649,2005,Male,Indiana,9654.26
87,87,255,255,255,Some College,00,4377439931,375923,2005,Male,Indiana,11644.51
88,88,256,256,256,Advanced Degree,00,5150553122,283852,2005,Male,Indiana,18145.21
89,89,257,257,257,Unavailable,00,786371604,193460,2005,Male,Indiana,4064.78
90,90,258,258,258,All Education Categories,00,8777900754,1358633,2005,Female,Indiana,6460.83
91,91,259,259,259,Less Than High School,00,443169547,96328,2005,Female,Indiana,4600.63
92,92,260,260,260,High School Graduate,00,2177568354,383966,2005,Female,Indiana,5671.25
93,93,261,261,261,Some College,00,2761219153,398729,2005,Female,Indiana,6925.05
94,94,262,262,262,Advanced Degree,00,2769743245,270438,2005,Female,Indiana,10241.69
95,95,263,263,263,Unavailable,00,626200454,209172,2005,Female,Indiana,2993.71
96,96,312,312,312,All Education Categories,Manufacturing,5457684329,404255,2005,Male,Indiana,13500.6
97,97,313,313,313,Less Than High School,Manufacturing,408954611,41676,2005,Male,Indiana,9812.71
98,98,314,314,314,High School Graduate,Manufacturing,1712031523,144259,2005,Male,Indiana,11867.76
99,99,315,315,315,Some College,Manufacturing,1690473233,118719,2005,Male,Indiana,14239.28
100,100,316,316,316,Advanced Degree,Manufacturing,1430930153,67760,2005,Male,Indiana,21117.62
101,101,317,317,317,Unavailable,Manufacturing,215294809,31840,2005,Male,Indiana,6761.77
102,102,318,318,318,All Education Categories,Manufacturing,1573498710,173070,2005,Female,Indiana,9091.69
103,103,319,319,319,Less Than High School,Manufacturing,102984474,15660,2005,Female,Indiana,6576.28
104,104,320,320,320,High School Graduate,Manufacturing,513436184,65338,2005,Female,Indiana,7858.16
105,105,321,321,321,Some College,Manufacturing,502141875,52830,2005,Female,Indiana,9504.86
106,106,322,322,322,Advanced Degree,Manufacturing,386083388,26356,2005,Female,Indiana,14648.79
107,107,323,323,323,Unavailable,Manufacturing,68852789,12886,2005,Female,Indiana,5343.22
108,108,336,336,336,All Education Categories,Retail Trade,1061932057,151664,2005,Male,Indiana,7001.87
109,109,337,337,337,Less Than High School,Retail Trade,90723826,15329,2005,Male,Indiana,5918.44
110,110,338,338,338,High School Graduate,Retail Trade,339060546,45759,2005,Male,Indiana,7409.7
111,111,339,339,339,Some College,Retail Trade,300712931,34497,2005,Male,Indiana,8717.07
112,112,340,340,340,Advanced Degree,Retail Trade,211022573,16950,2005,Male,Indiana,12449.71
113,113,341,341,341,Unavailable,Retail Trade,120412180,39128,2005,Male,Indiana,3077.39
114,114,342,342,342,All Education Categories,Retail Trade,706211638,176978,2005,Female,Indiana,3990.39
115,115,343,343,343,Less Than High School,Retail Trade,59866048,16261,2005,Female,Indiana,3681.57
116,116,344,344,344,High School Graduate,Retail Trade,251436295,58814,2005,Female,Indiana,4275.11
117,117,345,345,345,Some College,Retail Trade,193397641,40427,2005,Female,Indiana,4783.87
118,118,346,346,346,Advanced Degree,Retail Trade,99431375,15507,2005,Female,Indiana,6412.03
119,119,347,347,347,Unavailable,Retail Trade,102080279,45969,2005,Female,Indiana,2220.63
120,120,372,372,372,All Education Categories,Finance and Insurance,708864855,30869,2005,Male,Indiana,22963.65
121,121,373,373,373,Less Than High School,Finance and Insurance,10806083,1022,2005,Male,Indiana,10573.47
122,122,374,374,374,High School Graduate,Finance and Insurance,65073862,4721,2005,Male,Indiana,13783.91
123,123,375,375,375,Some College,Finance and Insurance,137014062,7569,2005,Male,Indiana,18102.0
