,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,900,900,900,All Education Categories,Educational Services,407024291,43274,2004,Male,Iowa,9405.75
1,1,901,901,901,Less Than High School,Educational Services,9622052,1817,2004,Male,Iowa,5295.57
2,2,902,902,902,High School Graduate,Educational Services,52543673,7766,2004,Male,Iowa,6765.86
3,3,903,903,903,Some College,Educational Services,86313634,10377,2004,Male,Iowa,8317.78
4,4,904,904,904,Advanced Degree,Educational Services,251260656,21181,2004,Male,Iowa,11862.55
5,5,905,905,905,Unavailable,Educational Services,7284276,2132,2004,Male,Iowa,3416.64
6,6,906,906,906,All Education Categories,Educational Services,598354797,92138,2004,Female,Iowa,6494.12
7,7,907,907,907,Less Than High School,Educational Services,8856674,2578,2004,Female,Iowa,3435.48
8,8,908,908,908,High School Graduate,Educational Services,89276858,19701,2004,Female,Iowa,4531.59
9,9,909,909,909,Some College,Educational Services,151595560,25773,2004,Female,Iowa,5881.95
10,10,910,910,910,Advanced Degree,Educational Services,330179724,38930,2004,Female,Iowa,8481.37
11,11,911,911,911,Unavailable,Educational Services,18445981,5158,2004,Female,Iowa,3576.19
12,12,996,996,996,All Education Categories,Accommodation,24428694,4892,2004,Male,Iowa,4993.6
13,13,997,997,997,Less Than High School,Accommodation,3061465,665,2004,Male,Iowa,4603.71
14,14,998,998,998,High School Graduate,Accommodation,7134001,1338,2004,Male,Iowa,5331.84
15,15,999,999,999,Some College,Accommodation,5773539,1002,2004,Male,Iowa,5762.01
16,16,1000,1000,1000,Advanced Degree,Accommodation,4732979,514,2004,Male,Iowa,9208.13
17,17,1001,1001,1001,Unavailable,Accommodation,3726710,1372,2004,Male,Iowa,2716.26
18,18,1002,1002,1002,All Education Categories,Accommodation,29626915,8895,2004,Female,Iowa,3330.74
19,19,1003,1003,1003,Less Than High School,Accommodation,3038808,1011,2004,Female,Iowa,3005.74
20,20,1004,1004,1004,High School Graduate,Accommodation,8699151,2535,2004,Female,Iowa,3431.62
21,21,1005,1005,1005,Some College,Accommodation,7960134,2063,2004,Female,Iowa,3858.52
22,22,1006,1006,1006,Advanced Degree,Accommodation,4232220,881,2004,Female,Iowa,4803.88
23,23,1007,1007,1007,Unavailable,Accommodation,5696604,2405,2004,Female,Iowa,2368.65
24,24,2052,2052,2052,All Education Categories,Educational Services,412560311,42627,2005,Male,Iowa,9678.38
25,25,2053,2053,2053,Less Than High School,Educational Services,9849768,1775,2005,Male,Iowa,5549.17
26,26,2054,2054,2054,High School Graduate,Educational Services,53495979,7705,2005,Male,Iowa,6943.02
27,27,2055,2055,2055,Some College,Educational Services,88322113,10361,2005,Male,Iowa,8524.48
28,28,2056,2056,2056,Advanced Degree,Educational Services,253753153,20861,2005,Male,Iowa,12164.0
29,29,2057,2057,2057,Unavailable,Educational Services,7139298,1925,2005,Male,Iowa,3708.73
30,30,2058,2058,2058,All Education Categories,Educational Services,612926040,91554,2005,Female,Iowa,6694.69
31,31,2059,2059,2059,Less Than High School,Educational Services,9227348,2618,2005,Female,Iowa,3524.58
32,32,2060,2060,2060,High School Graduate,Educational Services,91567590,19545,2005,Female,Iowa,4684.96
33,33,2061,2061,2061,Some College,Educational Services,157376195,25944,2005,Female,Iowa,6066.0
34,34,2062,2062,2062,Advanced Degree,Educational Services,335730573,38542,2005,Female,Iowa,8710.77
35,35,2063,2063,2063,Unavailable,Educational Services,19024334,4905,2005,Female,Iowa,3878.56
36,36,2148,2148,2148,All Education Categories,Accommodation,32846028,6042,2005,Male,Iowa,5436.28
37,37,2149,2149,2149,Less Than High School,Accommodation,4111666,824,2005,Male,Iowa,4989.89
38,38,2150,2150,2150,High School Graduate,Accommodation,10087968,1693,2005,Male,Iowa,5958.63
39,39,2151,2151,2151,Some College,Accommodation,8486145,1337,2005,Male,Iowa,6347.15
40,40,2152,2152,2152,Advanced Degree,Accommodation,5518154,654,2005,Male,Iowa,8437.54
41,41,2153,2153,2153,Unavailable,Accommodation,4642095,1533,2005,Male,Iowa,3028.11
42,42,2154,2154,2154,All Education Categories,Accommodation,39365048,10409,2005,Female,Iowa,3781.83
43,43,2155,2155,2155,Less Than High School,Accommodation,3943684,1185,2005,Female,Iowa,3328.0
44,44,2156,2156,2156,High School Graduate,Accommodation,11566961,3006,2005,Female,Iowa,3847.96
45,45,2157,2157,2157,Some College,Accommodation,11137103,2546,2005,Female,Iowa,4374.35
46,46,2158,2158,2158,Advanced Degree,Accommodation,6292348,1091,2005,Female,Iowa,5767.51
