,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2880,2880,2880,2880,All Education Categories,"Colleges, Universities, and Professional Schools",118892175,9121,2004,Male,Kansas,13034.99
1,1,2881,2881,2881,2881,Less Than High School,"Colleges, Universities, and Professional Schools",2650930,322,2004,Male,Kansas,8232.7
2,2,2882,2882,2882,2882,High School Graduate,"Colleges, Universities, and Professional Schools",11683886,1259,2004,Male,Kansas,9280.29
3,3,2883,2883,2883,2883,Some College,"Colleges, Universities, and Professional Schools",23988767,2136,2004,Male,Kansas,11230.7
4,4,2884,2884,2884,2884,Advanced Degree,"Colleges, Universities, and Professional Schools",79048806,4949,2004,Male,Kansas,15972.68
5,5,2885,2885,2885,2885,Unavailable,"Colleges, Universities, and Professional Schools",1519786,456,2004,Male,Kansas,3332.86
6,6,2886,2886,2886,2886,All Education Categories,"Colleges, Universities, and Professional Schools",85684138,9755,2004,Female,Kansas,8783.61
7,7,2887,2887,2887,2887,Less Than High School,"Colleges, Universities, and Professional Schools",1698631,273,2004,Female,Kansas,6222.09
8,8,2888,2888,2888,2888,High School Graduate,"Colleges, Universities, and Professional Schools",11637294,1655,2004,Female,Kansas,7031.6
9,9,2889,2889,2889,2889,Some College,"Colleges, Universities, and Professional Schools",22502260,2797,2004,Female,Kansas,8045.14
10,10,2890,2890,2890,2890,Advanced Degree,"Colleges, Universities, and Professional Schools",47904413,4392,2004,Female,Kansas,10907.2
11,11,2891,2891,2891,2891,Unavailable,"Colleges, Universities, and Professional Schools",1941539,638,2004,Female,Kansas,3043.16
12,12,6480,6480,6480,6480,All Education Categories,"Colleges, Universities, and Professional Schools",105812332,9619,2005,Male,Kansas,11000.35
13,13,6481,6481,6481,6481,Less Than High School,"Colleges, Universities, and Professional Schools",2450009,361,2005,Male,Kansas,6786.73
14,14,6482,6482,6482,6482,High School Graduate,"Colleges, Universities, and Professional Schools",10545577,1363,2005,Male,Kansas,7737.03
15,15,6483,6483,6483,6483,Some College,"Colleges, Universities, and Professional Schools",21286933,2284,2005,Male,Kansas,9320.02
16,16,6484,6484,6484,6484,Advanced Degree,"Colleges, Universities, and Professional Schools",70102560,5193,2005,Male,Kansas,13499.43
17,17,6485,6485,6485,6485,Unavailable,"Colleges, Universities, and Professional Schools",1427253,418,2005,Male,Kansas,3414.48
18,18,6486,6486,6486,6486,All Education Categories,"Colleges, Universities, and Professional Schools",77104850,10167,2005,Female,Kansas,7583.83
19,19,6487,6487,6487,6487,Less Than High School,"Colleges, Universities, and Professional Schools",1630846,310,2005,Female,Kansas,5260.79
20,20,6488,6488,6488,6488,High School Graduate,"Colleges, Universities, and Professional Schools",10636728,1775,2005,Female,Kansas,5992.52
21,21,6489,6489,6489,6489,Some College,"Colleges, Universities, and Professional Schools",20224789,2941,2005,Female,Kansas,6876.84
22,22,6490,6490,6490,6490,Advanced Degree,"Colleges, Universities, and Professional Schools",42988293,4641,2005,Female,Kansas,9262.72
23,23,6491,6491,6491,6491,Unavailable,"Colleges, Universities, and Professional Schools",1624194,499,2005,Female,Kansas,3254.9
24,24,10092,10092,10092,10092,All Education Categories,"Colleges, Universities, and Professional Schools",159389491,5100,2006,Male,Kansas,31252.84
25,25,10093,10093,10093,10093,Less Than High School,"Colleges, Universities, and Professional Schools",3993502,231,2006,Male,Kansas,17287.89
26,26,10094,10094,10094,10094,High School Graduate,"Colleges, Universities, and Professional Schools",16225427,772,2006,Male,Kansas,21017.39
27,27,10095,10095,10095,10095,Some College,"Colleges, Universities, and Professional Schools",32431075,1214,2006,Male,Kansas,26714.23
28,28,10096,10096,10096,10096,Advanced Degree,"Colleges, Universities, and Professional Schools",104726444,2483,2006,Male,Kansas,42177.38
29,29,10097,10097,10097,10097,Unavailable,"Colleges, Universities, and Professional Schools",2013043,399,2006,Male,Kansas,5045.22
30,30,10098,10098,10098,10098,All Education Categories,"Colleges, Universities, and Professional Schools",122202805,5716,2006,Female,Kansas,21379.08
31,31,10099,10099,10099,10099,Less Than High School,"Colleges, Universities, and Professional Schools",2760564,186,2006,Female,Kansas,14841.74
32,32,10100,10100,10100,10100,High School Graduate,"Colleges, Universities, and Professional Schools",16521013,968,2006,Female,Kansas,17067.16
33,33,10101,10101,10101,10101,Some College,"Colleges, Universities, and Professional Schools",32385813,1632,2006,Female,Kansas,19844.25
34,34,10102,10102,10102,10102,Advanced Degree,"Colleges, Universities, and Professional Schools",68274509,2391,2006,Female,Kansas,28554.79
35,35,10103,10103,10103,10103,Unavailable,"Colleges, Universities, and Professional Schools",2260906,539,2006,Female,Kansas,4194.63
36,36,13680,13680,13680,13680,All Education Categories,"Colleges, Universities, and Professional Schools",132262556,10981,2007,Male,Kansas,12044.67
37,37,13681,13681,13681,13681,Less Than High School,"Colleges, Universities, and Professional Schools",3482517,443,2007,Male,Kansas,7861.21
38,38,13682,13682,13682,13682,High School Graduate,"Colleges, Universities, and Professional Schools",13973772,1593,2007,Male,Kansas,8771.98
39,39,13683,13683,13683,13683,Some College,"Colleges, Universities, and Professional Schools",27389991,2604,2007,Male,Kansas,10518.43
40,40,13684,13684,13684,13684,Advanced Degree,"Colleges, Universities, and Professional Schools",85605224,5772,2007,Male,Kansas,14831.12
41,41,13685,13685,13685,13685,Unavailable,"Colleges, Universities, and Professional Schools",1811052,569,2007,Male,Kansas,3182.87
42,42,13686,13686,13686,13686,All Education Categories,"Colleges, Universities, and Professional Schools",103213953,12041,2007,Female,Kansas,8571.88
43,43,13687,13687,13687,13687,Less Than High School,"Colleges, Universities, and Professional Schools",2483441,405,2007,Female,Kansas,6131.95
44,44,13688,13688,13688,13688,High School Graduate,"Colleges, Universities, and Professional Schools",14190697,2035,2007,Female,Kansas,6973.32
45,45,13689,13689,13689,13689,Some College,"Colleges, Universities, and Professional Schools",27635409,3478,2007,Female,Kansas,7945.78
46,46,13690,13690,13690,13690,Advanced Degree,"Colleges, Universities, and Professional Schools",56580360,5359,2007,Female,Kansas,10558.01
47,47,13691,13691,13691,13691,Unavailable,"Colleges, Universities, and Professional Schools",2324046,764,2007,Female,Kansas,3041.95
