,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,8862360278,841453,2004,Male,Kentucky,10532.21
1,1,1,1,1,1,Less Than High School,00,632677692,84830,2004,Male,Kentucky,7458.18
2,2,2,2,2,2,High School Graduate,00,2312154685,249289,2004,Male,Kentucky,9275.0
3,3,3,3,3,3,Some College,00,2427185995,217802,2004,Male,Kentucky,11144.0
4,4,4,4,4,4,Advanced Degree,00,2986541516,168965,2004,Male,Kentucky,17675.5
5,5,5,5,5,5,Unavailable,00,503800389,120566,2004,Male,Kentucky,4178.63
6,6,6,6,6,6,All Education Categories,00,5459155050,829685,2004,Female,Kentucky,6579.79
7,7,7,7,7,7,Less Than High School,00,254641048,55366,2004,Female,Kentucky,4599.23
8,8,8,8,8,8,High School Graduate,00,1263092936,224065,2004,Female,Kentucky,5637.17
9,9,9,9,9,9,Some College,00,1693183154,243322,2004,Female,Kentucky,6958.61
10,10,10,10,10,10,Advanced Degree,00,1830549161,178306,2004,Female,Kentucky,10266.34
11,11,11,11,11,11,Unavailable,00,417688751,128625,2004,Female,Kentucky,3247.34
12,12,60,60,60,60,All Education Categories,Manufacturing,2352159062,191073,2004,Male,Kentucky,12310.26
13,13,61,61,61,61,Less Than High School,Manufacturing,187187424,20518,2004,Male,Kentucky,9123.08
14,14,62,62,62,62,High School Graduate,Manufacturing,765693860,69703,2004,Male,Kentucky,10985.09
15,15,63,63,63,63,Some College,Manufacturing,712603530,54813,2004,Male,Kentucky,13000.63
16,16,64,64,64,64,Advanced Degree,Manufacturing,578597736,29577,2004,Male,Kentucky,19562.42
17,17,65,65,65,65,Unavailable,Manufacturing,108076512,16461,2004,Male,Kentucky,6565.61
18,18,66,66,66,66,All Education Categories,Manufacturing,662624710,81324,2004,Female,Kentucky,8147.96
19,19,67,67,67,67,Less Than High School,Manufacturing,47636667,7688,2004,Female,Kentucky,6196.24
20,20,68,68,68,68,High School Graduate,Manufacturing,228043823,31394,2004,Female,Kentucky,7263.93
21,21,69,69,69,69,Some College,Manufacturing,212270385,24820,2004,Female,Kentucky,8552.39
22,22,70,70,70,70,Advanced Degree,Manufacturing,143074555,11407,2004,Female,Kentucky,12542.7
23,23,71,71,71,71,Unavailable,Manufacturing,31599280,6014,2004,Female,Kentucky,5254.29
24,24,84,84,84,84,All Education Categories,Retail Trade,674670994,96338,2004,Male,Kentucky,7003.17
25,25,85,85,85,85,Less Than High School,Retail Trade,64029646,10512,2004,Male,Kentucky,6091.1
26,26,86,86,86,86,High School Graduate,Retail Trade,213577247,28724,2004,Male,Kentucky,7435.5
27,27,87,87,87,87,Some College,Retail Trade,183926693,21032,2004,Male,Kentucky,8745.09
28,28,88,88,88,88,Advanced Degree,Retail Trade,133592919,10397,2004,Male,Kentucky,12849.18
29,29,89,89,89,89,Unavailable,Retail Trade,79544490,25672,2004,Male,Kentucky,3098.49
30,30,90,90,90,90,All Education Categories,Retail Trade,469202725,115549,2004,Female,Kentucky,4060.64
31,31,91,91,91,91,Less Than High School,Retail Trade,41136732,10809,2004,Female,Kentucky,3805.79
32,32,92,92,92,92,High School Graduate,Retail Trade,165150002,37884,2004,Female,Kentucky,4359.36
33,33,93,93,93,93,Some College,Retail Trade,125305374,25972,2004,Female,Kentucky,4824.63
34,34,94,94,94,94,Advanced Degree,Retail Trade,65454246,9942,2004,Female,Kentucky,6583.61
35,35,95,95,95,95,Unavailable,Retail Trade,72156371,30943,2004,Female,Kentucky,2331.91
36,36,120,120,120,120,All Education Categories,Finance and Insurance,441347463,21212,2004,Male,Kentucky,20806.5
37,37,121,121,121,121,Less Than High School,Finance and Insurance,6960483,681,2004,Male,Kentucky,10220.97
38,38,122,122,122,122,High School Graduate,Finance and Insurance,37923585,2939,2004,Male,Kentucky,12903.57
