,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2988,2988,2988,All Education Categories,"Colleges, Universities, and Professional Schools",290241400,16641,2004,Male,Louisiana,17441.34
1,1,2989,2989,2989,Less Than High School,"Colleges, Universities, and Professional Schools",10196789,953,2004,Male,Louisiana,10699.67
2,2,2990,2990,2990,High School Graduate,"Colleges, Universities, and Professional Schools",31826406,2565,2004,Male,Louisiana,12407.96
3,3,2991,2991,2991,Some College,"Colleges, Universities, and Professional Schools",56343804,3787,2004,Male,Louisiana,14878.22
4,4,2992,2992,2992,Advanced Degree,"Colleges, Universities, and Professional Schools",186722050,8439,2004,Male,Louisiana,22126.09
5,5,2993,2993,2993,Unavailable,"Colleges, Universities, and Professional Schools",5152351,897,2004,Male,Louisiana,5743.98
6,6,2994,2994,2994,All Education Categories,"Colleges, Universities, and Professional Schools",218632385,17878,2004,Female,Louisiana,12229.13
7,7,2995,2995,2995,Less Than High School,"Colleges, Universities, and Professional Schools",7373117,878,2004,Female,Louisiana,8397.63
8,8,2996,2996,2996,High School Graduate,"Colleges, Universities, and Professional Schools",33371795,3457,2004,Female,Louisiana,9653.4
9,9,2997,2997,2997,Some College,"Colleges, Universities, and Professional Schools",56217914,5017,2004,Female,Louisiana,11205.48
10,10,2998,2998,2998,Advanced Degree,"Colleges, Universities, and Professional Schools",115587004,7173,2004,Female,Louisiana,16114.18
11,11,2999,2999,2999,Unavailable,"Colleges, Universities, and Professional Schools",6082554,1353,2004,Female,Louisiana,4495.61
12,12,6696,6696,6696,All Education Categories,"Colleges, Universities, and Professional Schools",279337941,20792,2005,Male,Louisiana,13434.88
13,13,6697,6697,6697,Less Than High School,"Colleges, Universities, and Professional Schools",10140707,1237,2005,Male,Louisiana,8197.82
14,14,6698,6698,6698,High School Graduate,"Colleges, Universities, and Professional Schools",31477358,3270,2005,Male,Louisiana,9626.1
15,15,6699,6699,6699,Some College,"Colleges, Universities, and Professional Schools",54599057,4740,2005,Male,Louisiana,11518.79
16,16,6700,6700,6700,Advanced Degree,"Colleges, Universities, and Professional Schools",178409426,10399,2005,Male,Louisiana,17156.4
17,17,6701,6701,6701,Unavailable,"Colleges, Universities, and Professional Schools",4711393,1146,2005,Male,Louisiana,4111.16
18,18,6702,6702,6702,All Education Categories,"Colleges, Universities, and Professional Schools",212869899,22973,2005,Female,Louisiana,9266.09
19,19,6703,6703,6703,Less Than High School,"Colleges, Universities, and Professional Schools",7460651,1165,2005,Female,Louisiana,6403.99
20,20,6704,6704,6704,High School Graduate,"Colleges, Universities, and Professional Schools",33182347,4376,2005,Female,Louisiana,7582.8
21,21,6705,6705,6705,Some College,"Colleges, Universities, and Professional Schools",55699515,6445,2005,Female,Louisiana,8642.28
22,22,6706,6706,6706,Advanced Degree,"Colleges, Universities, and Professional Schools",110948278,9320,2005,Female,Louisiana,11904.32
