,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2820,2820,2820,All Education Categories,"Colleges, Universities, and Professional Schools",59252099,5623,2004,Male,Maine,10537.45
1,1,2821,2821,2821,Less Than High School,"Colleges, Universities, and Professional Schools",1184577,180,2004,Male,Maine,6580.98
2,2,2822,2822,2822,High School Graduate,"Colleges, Universities, and Professional Schools",6888490,890,2004,Male,Maine,7739.88
3,3,2823,2823,2823,Some College,"Colleges, Universities, and Professional Schools",12392759,1346,2004,Male,Maine,9207.1
4,4,2824,2824,2824,Advanced Degree,"Colleges, Universities, and Professional Schools",37852600,2921,2004,Male,Maine,12958.78
5,5,2825,2825,2825,Unavailable,"Colleges, Universities, and Professional Schools",933671,286,2004,Male,Maine,3264.58
6,6,2826,2826,2826,All Education Categories,"Colleges, Universities, and Professional Schools",53635196,6600,2004,Female,Maine,8126.54
7,7,2827,2827,2827,Less Than High School,"Colleges, Universities, and Professional Schools",761779,135,2004,Female,Maine,5642.81
8,8,2828,2828,2828,High School Graduate,"Colleges, Universities, and Professional Schools",7277019,1163,2004,Female,Maine,6257.11
9,9,2829,2829,2829,Some College,"Colleges, Universities, and Professional Schools",14032461,1919,2004,Female,Maine,7312.38
10,10,2830,2830,2830,Advanced Degree,"Colleges, Universities, and Professional Schools",30399337,3066,2004,Female,Maine,9914.98
11,11,2831,2831,2831,Unavailable,"Colleges, Universities, and Professional Schools",1164600,317,2004,Female,Maine,3673.82
12,12,6348,6348,6348,All Education Categories,"Colleges, Universities, and Professional Schools",60051424,5716,2005,Male,Maine,10505.85
13,13,6349,6349,6349,Less Than High School,"Colleges, Universities, and Professional Schools",1273692,189,2005,Male,Maine,6739.11
14,14,6350,6350,6350,High School Graduate,"Colleges, Universities, and Professional Schools",7080454,900,2005,Male,Maine,7867.17
15,15,6351,6351,6351,Some College,"Colleges, Universities, and Professional Schools",12604428,1355,2005,Male,Maine,9302.16
16,16,6352,6352,6352,Advanced Degree,"Colleges, Universities, and Professional Schools",38258642,2881,2005,Male,Maine,13279.64
17,17,6353,6353,6353,Unavailable,"Colleges, Universities, and Professional Schools",834208,390,2005,Male,Maine,2138.99
18,18,6354,6354,6354,All Education Categories,"Colleges, Universities, and Professional Schools",55268113,6737,2005,Female,Maine,8203.67
19,19,6355,6355,6355,Less Than High School,"Colleges, Universities, and Professional Schools",753037,138,2005,Female,Maine,5456.79
20,20,6356,6356,6356,High School Graduate,"Colleges, Universities, and Professional Schools",7419119,1167,2005,Female,Maine,6357.43
21,21,6357,6357,6357,Some College,"Colleges, Universities, and Professional Schools",14454559,1951,2005,Female,Maine,7408.79
22,22,6358,6358,6358,Advanced Degree,"Colleges, Universities, and Professional Schools",31790014,3122,2005,Female,Maine,10182.58
23,23,6359,6359,6359,Unavailable,"Colleges, Universities, and Professional Schools",851384,359,2005,Female,Maine,2371.54
24,24,9876,9876,9876,All Education Categories,"Colleges, Universities, and Professional Schools",60445193,5581,2006,Male,Maine,10830.53
25,25,9877,9877,9877,Less Than High School,"Colleges, Universities, and Professional Schools",1313176,185,2006,Male,Maine,7098.25
26,26,9878,9878,9878,High School Graduate,"Colleges, Universities, and Professional Schools",7297766,891,2006,Male,Maine,8190.53
27,27,9879,9879,9879,Some College,"Colleges, Universities, and Professional Schools",13072917,1366,2006,Male,Maine,9570.22
28,28,9880,9880,9880,Advanced Degree,"Colleges, Universities, and Professional Schools",37901581,2771,2006,Male,Maine,13677.94
29,29,9881,9881,9881,Unavailable,"Colleges, Universities, and Professional Schools",859752,368,2006,Male,Maine,2336.28
30,30,9882,9882,9882,All Education Categories,"Colleges, Universities, and Professional Schools",57352459,6543,2006,Female,Maine,8765.47
31,31,9883,9883,9883,Less Than High School,"Colleges, Universities, and Professional Schools",833036,137,2006,Female,Maine,6080.55
32,32,9884,9884,9884,High School Graduate,"Colleges, Universities, and Professional Schools",7855971,1144,2006,Female,Maine,6867.11
33,33,9885,9885,9885,Some College,"Colleges, Universities, and Professional Schools",15079246,1897,2006,Female,Maine,7949.0
34,34,9886,9886,9886,Advanced Degree,"Colleges, Universities, and Professional Schools",32619324,3036,2006,Female,Maine,10744.18
35,35,9887,9887,9887,Unavailable,"Colleges, Universities, and Professional Schools",964882,329,2006,Female,Maine,2932.77
36,36,13404,13404,13404,All Education Categories,"Colleges, Universities, and Professional Schools",64428294,5595,2007,Male,Maine,11515.33
37,37,13405,13405,13405,Less Than High School,"Colleges, Universities, and Professional Schools",1470182,188,2007,Male,Maine,7820.12
38,38,13406,13406,13406,High School Graduate,"Colleges, Universities, and Professional Schools",7960707,909,2007,Male,Maine,8757.65
