,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,936,936,936,936,All Education Categories,Educational Services,894590764,75594,2004,Male,Maryland,11834.15
1,1,937,937,937,937,Less Than High School,Educational Services,32618423,4444,2004,Male,Maryland,7339.88
2,2,938,938,938,938,High School Graduate,Educational Services,113069681,12468,2004,Male,Maryland,9068.79
3,3,939,939,939,939,Some College,Educational Services,196601875,18271,2004,Male,Maryland,10760.32
4,4,940,940,940,940,Advanced Degree,Educational Services,532006744,35845,2004,Male,Maryland,14841.87
5,5,941,941,941,941,Unavailable,Educational Services,20294041,4566,2004,Male,Maryland,4444.6
6,6,942,942,942,942,All Education Categories,Educational Services,1625097819,167154,2004,Female,Maryland,9722.16
7,7,943,943,943,943,Less Than High School,Educational Services,41949522,7652,2004,Female,Maryland,5482.16
8,8,944,944,944,944,High School Graduate,Educational Services,213154183,30289,2004,Female,Maryland,7037.35
9,9,945,945,945,945,Some College,Educational Services,390558477,44185,2004,Female,Maryland,8839.16
10,10,946,946,946,946,Advanced Degree,Educational Services,923559690,75113,2004,Female,Maryland,12295.6
11,11,947,947,947,947,Unavailable,Educational Services,55875947,9914,2004,Female,Maryland,5636.06
12,12,1032,1032,1032,1032,All Education Categories,Accommodation,117829466,9884,2004,Male,Maryland,11921.23
13,13,1033,1033,1033,1033,Less Than High School,Accommodation,10680817,1697,2004,Male,Maryland,6293.94
14,14,1034,1034,1034,1034,High School Graduate,Accommodation,21502704,2494,2004,Male,Maryland,8621.77
15,15,1035,1035,1035,1035,Some College,Accommodation,27996176,2216,2004,Male,Maryland,12633.65
16,16,1036,1036,1036,1036,Advanced Degree,Accommodation,52415186,1979,2004,Male,Maryland,26485.69
17,17,1037,1037,1037,1037,Unavailable,Accommodation,5234584,1497,2004,Male,Maryland,3496.72
18,18,1038,1038,1038,1038,All Education Categories,Accommodation,94236329,13125,2004,Female,Maryland,7179.91
19,19,1039,1039,1039,1039,Less Than High School,Accommodation,10143675,2450,2004,Female,Maryland,4140.28
20,20,1040,1040,1040,1040,High School Graduate,Accommodation,17401122,3371,2004,Female,Maryland,5162.01
21,21,1041,1041,1041,1041,Some College,Accommodation,22001391,3059,2004,Female,Maryland,7192.35
22,22,1042,1042,1042,1042,Advanced Degree,Accommodation,38422129,2305,2004,Female,Maryland,16669.04
23,23,1043,1043,1043,1043,Unavailable,Accommodation,6268012,1941,2004,Female,Maryland,3229.27
24,24,2124,2124,2124,2124,All Education Categories,Educational Services,856934823,74302,2005,Male,Maryland,11533.13
25,25,2125,2125,2125,2125,Less Than High School,Educational Services,32148700,4386,2005,Male,Maryland,7329.84
26,26,2126,2126,2126,2126,High School Graduate,Educational Services,110291063,12345,2005,Male,Maryland,8934.07
27,27,2127,2127,2127,2127,Some College,Educational Services,190254964,18083,2005,Male,Maryland,10521.21
28,28,2128,2128,2128,2128,Advanced Degree,Educational Services,504854491,34979,2005,Male,Maryland,14433.07
29,29,2129,2129,2129,2129,Unavailable,Educational Services,19385606,4509,2005,Male,Maryland,4299.31
30,30,2130,2130,2130,2130,All Education Categories,Educational Services,1567449931,164397,2005,Female,Maryland,9534.54
31,31,2131,2131,2131,2131,Less Than High School,Educational Services,42285279,7652,2005,Female,Maryland,5526.04
32,32,2132,2132,2132,2132,High School Graduate,Educational Services,207670672,29677,2005,Female,Maryland,6997.7
33,33,2133,2133,2133,2133,Some College,Educational Services,381090255,43672,2005,Female,Maryland,8726.19
34,34,2134,2134,2134,2134,Advanced Degree,Educational Services,883955578,73647,2005,Female,Maryland,12002.6
35,35,2135,2135,2135,2135,Unavailable,Educational Services,52448147,9749,2005,Female,Maryland,5379.85
36,36,2220,2220,2220,2220,All Education Categories,Accommodation,137562330,9492,2005,Male,Maryland,14492.45
