,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,924,924,924,924,All Education Categories,Educational Services,1268814291,119081,2004,Male,Michigan,10655.05
1,1,925,925,925,925,Less Than High School,Educational Services,31497085,4889,2004,Male,Michigan,6442.44
2,2,926,926,926,926,High School Graduate,Educational Services,158504579,19212,2004,Male,Michigan,8250.29
3,3,927,927,927,927,Some College,Educational Services,271935778,27452,2004,Male,Michigan,9905.86
4,4,928,928,928,928,Advanced Degree,Educational Services,780428453,56245,2004,Male,Michigan,13875.52
5,5,929,929,929,929,Unavailable,Educational Services,26448397,11283,2004,Male,Michigan,2344.09
6,6,930,930,930,930,All Education Categories,Educational Services,2231161125,277290,2004,Female,Michigan,8046.31
7,7,931,931,931,931,Less Than High School,Educational Services,37753093,9635,2004,Female,Michigan,3918.33
8,8,932,932,932,932,High School Graduate,Educational Services,289840080,55534,2004,Female,Michigan,5219.15
9,9,933,933,933,933,Some College,Educational Services,513833535,73548,2004,Female,Michigan,6986.37
10,10,934,934,934,934,Advanced Degree,Educational Services,1335664425,117294,2004,Female,Michigan,11387.32
11,11,935,935,935,935,Unavailable,Educational Services,54069992,21279,2004,Female,Michigan,2541.0
12,12,1020,1020,1020,1020,All Education Categories,Accommodation,75722819,13833,2004,Male,Michigan,5474.07
13,13,1021,1021,1021,1021,Less Than High School,Accommodation,9407627,1886,2004,Male,Michigan,4988.14
14,14,1022,1022,1022,1022,High School Graduate,Accommodation,21836272,3816,2004,Male,Michigan,5722.29
15,15,1023,1023,1023,1023,Some College,Accommodation,19425793,2974,2004,Male,Michigan,6531.87
16,16,1024,1024,1024,1024,Advanced Degree,Accommodation,13555971,1490,2004,Male,Michigan,9097.97
17,17,1025,1025,1025,1025,Unavailable,Accommodation,11497157,3667,2004,Male,Michigan,3135.3
18,18,1026,1026,1026,1026,All Education Categories,Accommodation,86593407,22285,2004,Female,Michigan,3885.73
19,19,1027,1027,1027,1027,Less Than High School,Accommodation,9825031,2819,2004,Female,Michigan,3485.29
20,20,1028,1028,1028,1028,High School Graduate,Accommodation,25293208,6471,2004,Female,Michigan,3908.7
21,21,1029,1029,1029,1029,Some College,Accommodation,24078972,5301,2004,Female,Michigan,4542.35
22,22,1030,1030,1030,1030,Advanced Degree,Accommodation,12398496,2125,2004,Female,Michigan,5834.59
23,23,1031,1031,1031,1031,Unavailable,Accommodation,14997701,5569,2004,Female,Michigan,2693.07
24,24,2088,2088,2088,2088,All Education Categories,Educational Services,1280762516,119927,2005,Male,Michigan,10679.52
25,25,2089,2089,2089,2089,Less Than High School,Educational Services,31614105,4916,2005,Male,Michigan,6430.86
26,26,2090,2090,2090,2090,High School Graduate,Educational Services,158645247,19421,2005,Male,Michigan,8168.75
27,27,2091,2091,2091,2091,Some College,Educational Services,276626451,27896,2005,Male,Michigan,9916.35
28,28,2092,2092,2092,2092,Advanced Degree,Educational Services,788565199,56503,2005,Male,Michigan,13956.17
29,29,2093,2093,2093,2093,Unavailable,Educational Services,25311513,11190,2005,Male,Michigan,2261.98
30,30,2094,2094,2094,2094,All Education Categories,Educational Services,2239393831,279909,2005,Female,Michigan,8000.44
31,31,2095,2095,2095,2095,Less Than High School,Educational Services,38119818,9627,2005,Female,Michigan,3959.68
32,32,2096,2096,2096,2096,High School Graduate,Educational Services,292247600,55904,2005,Female,Michigan,5227.67
33,33,2097,2097,2097,2097,Some College,Educational Services,523425971,75185,2005,Female,Michigan,6961.84
34,34,2098,2098,2098,2098,Advanced Degree,Educational Services,1333560852,118128,2005,Female,Michigan,11289.12
35,35,2099,2099,2099,2099,Unavailable,Educational Services,52039591,21065,2005,Female,Michigan,2470.43
36,36,2184,2184,2184,2184,All Education Categories,Accommodation,74771463,13762,2005,Male,Michigan,5433.18
37,37,2185,2185,2185,2185,Less Than High School,Accommodation,9296254,1890,2005,Male,Michigan,4918.65
38,38,2186,2186,2186,2186,High School Graduate,Accommodation,21947902,3863,2005,Male,Michigan,5681.57
39,39,2187,2187,2187,2187,Some College,Accommodation,19404772,2961,2005,Male,Michigan,6553.45
40,40,2188,2188,2188,2188,Advanced Degree,Accommodation,13173222,1434,2005,Male,Michigan,9186.35
41,41,2189,2189,2189,2189,Unavailable,Accommodation,10949313,3613,2005,Male,Michigan,3030.53
42,42,2190,2190,2190,2190,All Education Categories,Accommodation,87471382,22587,2005,Female,Michigan,3872.64
43,43,2191,2191,2191,2191,Less Than High School,Accommodation,10043602,2906,2005,Female,Michigan,3456.16
