,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2964,2964,2964,2964,All Education Categories,"Colleges, Universities, and Professional Schools",278883485,19777,2004,Male,Minnesota,14101.4
1,1,2965,2965,2965,2965,Less Than High School,"Colleges, Universities, and Professional Schools",4225702,500,2004,Male,Minnesota,8451.4
2,2,2966,2966,2966,2966,High School Graduate,"Colleges, Universities, and Professional Schools",23924578,2367,2004,Male,Minnesota,10107.55
3,3,2967,2967,2967,2967,Some College,"Colleges, Universities, and Professional Schools",51919175,4312,2004,Male,Minnesota,12040.63
4,4,2968,2968,2968,2968,Advanced Degree,"Colleges, Universities, and Professional Schools",195029030,11795,2004,Male,Minnesota,16534.89
5,5,2969,2969,2969,2969,Unavailable,"Colleges, Universities, and Professional Schools",3785000,802,2004,Male,Minnesota,4719.45
6,6,2970,2970,2970,2970,All Education Categories,"Colleges, Universities, and Professional Schools",233881361,22703,2004,Female,Minnesota,10301.78
7,7,2971,2971,2971,2971,Less Than High School,"Colleges, Universities, and Professional Schools",2802255,398,2004,Female,Minnesota,7040.84
8,8,2972,2972,2972,2972,High School Graduate,"Colleges, Universities, and Professional Schools",26091708,3208,2004,Female,Minnesota,8133.33
9,9,2973,2973,2973,2973,Some College,"Colleges, Universities, and Professional Schools",57747246,6196,2004,Female,Minnesota,9320.08
10,10,2974,2974,2974,2974,Advanced Degree,"Colleges, Universities, and Professional Schools",141194440,11696,2004,Female,Minnesota,12072.03
11,11,2975,2975,2975,2975,Unavailable,"Colleges, Universities, and Professional Schools",6045713,1204,2004,Female,Minnesota,5021.36
12,12,6636,6636,6636,6636,All Education Categories,"Colleges, Universities, and Professional Schools",291715631,20457,2005,Male,Minnesota,14259.94
13,13,6637,6637,6637,6637,Less Than High School,"Colleges, Universities, and Professional Schools",4575333,536,2005,Male,Minnesota,8536.07
14,14,6638,6638,6638,6638,High School Graduate,"Colleges, Universities, and Professional Schools",25226705,2467,2005,Male,Minnesota,10225.66
15,15,6639,6639,6639,6639,Some College,"Colleges, Universities, and Professional Schools",54996562,4517,2005,Male,Minnesota,12175.46
16,16,6640,6640,6640,6640,Advanced Degree,"Colleges, Universities, and Professional Schools",202986412,12090,2005,Male,Minnesota,16789.61
17,17,6641,6641,6641,6641,Unavailable,"Colleges, Universities, and Professional Schools",3930619,847,2005,Male,Minnesota,4640.64
18,18,6642,6642,6642,6642,All Education Categories,"Colleges, Universities, and Professional Schools",246449078,23622,2005,Female,Minnesota,10433.03
19,19,6643,6643,6643,6643,Less Than High School,"Colleges, Universities, and Professional Schools",3144867,439,2005,Female,Minnesota,7163.71
20,20,6644,6644,6644,6644,High School Graduate,"Colleges, Universities, and Professional Schools",27197642,3348,2005,Female,Minnesota,8123.55
21,21,6645,6645,6645,6645,Some College,"Colleges, Universities, and Professional Schools",61012060,6504,2005,Female,Minnesota,9380.7
22,22,6646,6646,6646,6646,Advanced Degree,"Colleges, Universities, and Professional Schools",148926515,12067,2005,Female,Minnesota,12341.64
23,23,6647,6647,6647,6647,Unavailable,"Colleges, Universities, and Professional Schools",6167993,1263,2005,Female,Minnesota,4883.6
