,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,4473862861,515277,2004,Male,Mississippi,8682.44
1,1,1,1,1,1,Less Than High School,00,465946417,72022,2004,Male,Mississippi,6469.5
2,2,2,2,2,2,High School Graduate,00,1143928230,145516,2004,Male,Mississippi,7861.19
3,3,3,3,3,3,Some College,00,1236316586,133432,2004,Male,Mississippi,9265.52
4,4,4,4,4,4,Advanced Degree,00,1343315864,89951,2004,Male,Mississippi,14933.86
5,5,5,5,5,5,Unavailable,00,284355765,74356,2004,Male,Mississippi,3824.25
6,6,6,6,6,6,All Education Categories,00,3100925275,557975,2004,Female,Mississippi,5557.46
7,7,7,7,7,7,Less Than High School,00,242973259,58769,2004,Female,Mississippi,4134.38
8,8,8,8,8,8,High School Graduate,00,710734606,143517,2004,Female,Mississippi,4952.27
9,9,9,9,9,9,Some College,00,973014117,163691,2004,Female,Mississippi,5944.21
10,10,10,10,10,10,Advanced Degree,00,927568947,108620,2004,Female,Mississippi,8539.58
11,11,11,11,11,11,Unavailable,00,246634345,83378,2004,Female,Mississippi,2958.03
12,12,60,60,60,60,All Education Categories,Manufacturing,1132689205,120039,2004,Male,Mississippi,9436.01
13,13,61,61,61,61,Less Than High School,Manufacturing,144126440,19374,2004,Male,Mississippi,7439.17
14,14,62,62,62,62,High School Graduate,Manufacturing,363750635,41010,2004,Male,Mississippi,8869.8
15,15,63,63,63,63,Some College,Manufacturing,339404771,33134,2004,Male,Mississippi,10243.4
16,16,64,64,64,64,Advanced Degree,Manufacturing,217857873,14553,2004,Male,Mississippi,14969.96
17,17,65,65,65,65,Unavailable,Manufacturing,67549487,11968,2004,Male,Mississippi,5644.18
18,18,66,66,66,66,All Education Categories,Manufacturing,356693367,60886,2004,Female,Mississippi,5858.38
19,19,67,67,67,67,Less Than High School,Manufacturing,49676573,10329,2004,Female,Mississippi,4809.43
20,20,68,68,68,68,High School Graduate,Manufacturing,124896077,22366,2004,Female,Mississippi,5584.19
21,21,69,69,69,69,Some College,Manufacturing,108701021,17089,2004,Female,Mississippi,6360.88
22,22,70,70,70,70,Advanced Degree,Manufacturing,52066137,5946,2004,Female,Mississippi,8756.5
23,23,71,71,71,71,Unavailable,Manufacturing,21353559,5156,2004,Female,Mississippi,4141.5
24,24,84,84,84,84,All Education Categories,Retail Trade,413214240,63556,2004,Male,Mississippi,6501.58
25,25,85,85,85,85,Less Than High School,Retail Trade,47924357,8383,2004,Male,Mississippi,5716.85
26,26,86,86,86,86,High School Graduate,Retail Trade,119937644,17434,2004,Male,Mississippi,6879.53
27,27,87,87,87,87,Some College,Retail Trade,115657977,14423,2004,Male,Mississippi,8019.0
28,28,88,88,88,88,Advanced Degree,Retail Trade,81266906,6841,2004,Male,Mississippi,11879.39
29,29,89,89,89,89,Unavailable,Retail Trade,48427356,16476,2004,Male,Mississippi,2939.27
30,30,90,90,90,90,All Education Categories,Retail Trade,292481958,78296,2004,Female,Mississippi,3735.59
31,31,91,91,91,91,Less Than High School,Retail Trade,36296935,10236,2004,Female,Mississippi,3546.01
32,32,92,92,92,92,High School Graduate,Retail Trade,92465341,22910,2004,Female,Mississippi,4036.03
33,33,93,93,93,93,Some College,Retail Trade,77915044,17613,2004,Female,Mississippi,4423.72
34,34,94,94,94,94,Advanced Degree,Retail Trade,39197103,6568,2004,Female,Mississippi,5967.89
35,35,95,95,95,95,Unavailable,Retail Trade,46607535,20968,2004,Female,Mississippi,2222.79
36,36,120,120,120,120,All Education Categories,Finance and Insurance,172162021,9419,2004,Male,Mississippi,18278.16
37,37,121,121,121,121,Less Than High School,Finance and Insurance,3456873,402,2004,Male,Mississippi,8599.19
38,38,122,122,122,122,High School Graduate,Finance and Insurance,15700910,1338,2004,Male,Mississippi,11734.61
39,39,123,123,123,123,Some College,Finance and Insurance,33688369,2191,2004,Male,Mississippi,15375.8
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,115301381,4718,2004,Male,Mississippi,24438.61
41,41,125,125,125,125,Unavailable,Finance and Insurance,4014487,770,2004,Male,Mississippi,5213.62
42,42,126,126,126,126,All Education Categories,Finance and Insurance,178362295,24272,2004,Female,Mississippi,7348.48
43,43,127,127,127,127,Less Than High School,Finance and Insurance,5343688,1005,2004,Female,Mississippi,5317.1
44,44,128,128,128,128,High School Graduate,Finance and Insurance,33187820,5299,2004,Female,Mississippi,6263.03
45,45,129,129,129,129,Some College,Finance and Insurance,53945934,7575,2004,Female,Mississippi,7121.58
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,74066895,7597,2004,Female,Mississippi,9749.49
47,47,131,131,131,131,Unavailable,Finance and Insurance,11817958,2796,2004,Female,Mississippi,4226.74
48,48,180,180,180,180,All Education Categories,Educational Services,253958484,29476,2004,Male,Mississippi,8615.77
49,49,181,181,181,181,Less Than High School,Educational Services,13684796,2490,2004,Male,Mississippi,5495.9
50,50,182,182,182,182,High School Graduate,Educational Services,41575819,5996,2004,Male,Mississippi,6933.93
51,51,183,183,183,183,Some College,Educational Services,63572964,7862,2004,Male,Mississippi,8086.11
52,52,184,184,184,184,Advanced Degree,Educational Services,129067521,11538,2004,Male,Mississippi,11186.3
53,53,185,185,185,185,Unavailable,Educational Services,6057383,1590,2004,Male,Mississippi,3809.67
54,54,186,186,186,186,All Education Categories,Educational Services,516437440,82284,2004,Female,Mississippi,6276.28
55,55,187,187,187,187,Less Than High School,Educational Services,19104891,5048,2004,Female,Mississippi,3784.65
56,56,188,188,188,188,High School Graduate,Educational Services,89183141,18575,2004,Female,Mississippi,4801.25
57,57,189,189,189,189,Some College,Educational Services,142889011,24235,2004,Female,Mississippi,5895.98
58,58,190,190,190,190,Advanced Degree,Educational Services,247290657,30248,2004,Female,Mississippi,8175.44
59,59,191,191,191,191,Unavailable,Educational Services,17969740,4178,2004,Female,Mississippi,4301.04
60,60,192,192,192,192,All Education Categories,Health Care and Social Assistance,341256427,24891,2004,Male,Mississippi,13710.03
61,61,193,193,193,193,Less Than High School,Health Care and Social Assistance,14179676,2203,2004,Male,Mississippi,6436.53
62,62,194,194,194,194,High School Graduate,Health Care and Social Assistance,40981251,4951,2004,Male,Mississippi,8277.37
63,63,195,195,195,195,Some College,Health Care and Social Assistance,81428001,7185,2004,Male,Mississippi,11333.06
64,64,196,196,196,196,Advanced Degree,Health Care and Social Assistance,195798326,8308,2004,Male,Mississippi,23567.44
65,65,197,197,197,197,Unavailable,Health Care and Social Assistance,8869172,2244,2004,Male,Mississippi,3952.39
66,66,198,198,198,198,All Education Categories,Health Care and Social Assistance,759403528,118601,2004,Female,Mississippi,6403.01
67,67,199,199,199,199,Less Than High School,Health Care and Social Assistance,43977906,10051,2004,Female,Mississippi,4375.48
68,68,200,200,200,200,High School Graduate,Health Care and Social Assistance,136236348,26075,2004,Female,Mississippi,5224.79
69,69,201,201,201,201,Some College,Health Care and Social Assistance,282114936,43865,2004,Female,Mississippi,6431.44
70,70,202,202,202,202,Advanced Degree,Health Care and Social Assistance,251943717,27284,2004,Female,Mississippi,9234.12
71,71,203,203,203,203,Unavailable,Health Care and Social Assistance,45130620,11326,2004,Female,Mississippi,3984.69
72,72,216,216,216,216,All Education Categories,Accommodation and Food Services,206692725,42621,2004,Male,Mississippi,4849.55
73,73,217,217,217,217,Less Than High School,Accommodation and Food Services,30008256,5889,2004,Male,Mississippi,5095.65
74,74,218,218,218,218,High School Graduate,Accommodation and Food Services,57011532,9659,2004,Male,Mississippi,5902.43
75,75,219,219,219,219,Some College,Accommodation and Food Services,52137334,7692,2004,Male,Mississippi,6778.12
76,76,220,220,220,220,Advanced Degree,Accommodation and Food Services,29362138,3138,2004,Male,Mississippi,9356.96
77,77,221,221,221,221,Unavailable,Accommodation and Food Services,38173465,16243,2004,Male,Mississippi,2350.15
78,78,222,222,222,222,All Education Categories,Accommodation and Food Services,235246847,66340,2004,Female,Mississippi,3546.08
79,79,223,223,223,223,Less Than High School,Accommodation and Food Services,33177825,9357,2004,Female,Mississippi,3545.78
80,80,224,224,224,224,High School Graduate,Accommodation and Food Services,60758038,15029,2004,Female,Mississippi,4042.72
81,81,225,225,225,225,Some College,Accommodation and Food Services,61479639,13330,2004,Female,Mississippi,4612.13
82,82,226,226,226,226,Advanced Degree,Accommodation and Food Services,29676971,4935,2004,Female,Mississippi,6013.57
83,83,227,227,227,227,Unavailable,Accommodation and Food Services,50154374,23689,2004,Female,Mississippi,2117.2
84,84,252,252,252,252,All Education Categories,00,4654141419,519540,2005,Male,Mississippi,8958.2
85,85,253,253,253,253,Less Than High School,00,473144453,71775,2005,Male,Mississippi,6592.05
86,86,254,254,254,254,High School Graduate,00,1178835552,147009,2005,Male,Mississippi,8018.8
87,87,255,255,255,255,Some College,00,1292428120,136149,2005,Male,Mississippi,9492.75
88,88,256,256,256,256,Advanced Degree,00,1422318847,91314,2005,Male,Mississippi,15576.13
89,89,257,257,257,257,Unavailable,00,287414446,73293,2005,Male,Mississippi,3921.44
90,90,258,258,258,258,All Education Categories,00,3206644080,562427,2005,Female,Mississippi,5701.44
91,91,259,259,259,259,Less Than High School,00,244610019,58521,2005,Female,Mississippi,4179.87
92,92,260,260,260,260,High School Graduate,00,725529416,144418,2005,Female,Mississippi,5023.82
93,93,261,261,261,261,Some College,00,1010159122,166547,2005,Female,Mississippi,6065.31
94,94,262,262,262,262,Advanced Degree,00,977101334,110357,2005,Female,Mississippi,8854.0
95,95,263,263,263,263,Unavailable,00,249244188,82584,2005,Female,Mississippi,3018.07
96,96,312,312,312,312,All Education Categories,Manufacturing,1180807090,120644,2005,Male,Mississippi,9787.53
97,97,313,313,313,313,Less Than High School,Manufacturing,147413964,19117,2005,Male,Mississippi,7711.15
98,98,314,314,314,314,High School Graduate,Manufacturing,377402946,41297,2005,Male,Mississippi,9138.75
99,99,315,315,315,315,Some College,Manufacturing,356688033,33794,2005,Male,Mississippi,10554.77
100,100,316,316,316,316,Advanced Degree,Manufacturing,230287714,14468,2005,Male,Mississippi,15917.04
101,101,317,317,317,317,Unavailable,Manufacturing,69014433,11967,2005,Male,Mississippi,5767.06
102,102,318,318,318,318,All Education Categories,Manufacturing,351883536,57221,2005,Female,Mississippi,6149.55
103,103,319,319,319,319,Less Than High School,Manufacturing,48076676,9640,2005,Female,Mississippi,4987.21
104,104,320,320,320,320,High School Graduate,Manufacturing,122621559,21114,2005,Female,Mississippi,5807.59
105,105,321,321,321,321,Some College,Manufacturing,108359685,16328,2005,Female,Mississippi,6636.43
106,106,322,322,322,322,Advanced Degree,Manufacturing,52948297,5616,2005,Female,Mississippi,9428.12
107,107,323,323,323,323,Unavailable,Manufacturing,19877319,4523,2005,Female,Mississippi,4394.72
108,108,336,336,336,336,All Education Categories,Retail Trade,412147906,62990,2005,Male,Mississippi,6543.07
109,109,337,337,337,337,Less Than High School,Retail Trade,47608445,8298,2005,Male,Mississippi,5737.34
110,110,338,338,338,338,High School Graduate,Retail Trade,120837699,17553,2005,Male,Mississippi,6884.16
111,111,339,339,339,339,Some College,Retail Trade,117147263,14484,2005,Male,Mississippi,8088.05
112,112,340,340,340,340,Advanced Degree,Retail Trade,79092320,6619,2005,Male,Mississippi,11949.29
113,113,341,341,341,341,Unavailable,Retail Trade,47462179,16036,2005,Male,Mississippi,2959.73
114,114,342,342,342,342,All Education Categories,Retail Trade,300526742,78428,2005,Female,Mississippi,3831.88
115,115,343,343,343,343,Less Than High School,Retail Trade,37251849,10244,2005,Female,Mississippi,3636.46
116,116,344,344,344,344,High School Graduate,Retail Trade,96271799,23268,2005,Female,Mississippi,4137.52
117,117,345,345,345,345,Some College,Retail Trade,80196402,17763,2005,Female,Mississippi,4514.8
118,118,346,346,346,346,Advanced Degree,Retail Trade,39561315,6409,2005,Female,Mississippi,6172.78
119,119,347,347,347,347,Unavailable,Retail Trade,47245377,20745,2005,Female,Mississippi,2277.43
120,120,372,372,372,372,All Education Categories,Finance and Insurance,175234910,9482,2005,Male,Mississippi,18480.8
121,121,373,373,373,373,Less Than High School,Finance and Insurance,3150965,379,2005,Male,Mississippi,8313.89
122,122,374,374,374,374,High School Graduate,Finance and Insurance,15293934,1283,2005,Male,Mississippi,11920.45
123,123,375,375,375,375,Some College,Finance and Insurance,34255239,2221,2005,Male,Mississippi,15423.34
124,124,376,376,376,376,Advanced Degree,Finance and Insurance,118518816,4828,2005,Male,Mississippi,24548.22
125,125,377,377,377,377,Unavailable,Finance and Insurance,4015956,771,2005,Male,Mississippi,5208.76
126,126,378,378,378,378,All Education Categories,Finance and Insurance,181026144,24550,2005,Female,Mississippi,7373.77
127,127,379,379,379,379,Less Than High School,Finance and Insurance,5194090,964,2005,Female,Mississippi,5388.06
128,128,380,380,380,380,High School Graduate,Finance and Insurance,33231869,5331,2005,Female,Mississippi,6233.7
129,129,381,381,381,381,Some College,Finance and Insurance,54638884,7678,2005,Female,Mississippi,7116.29
130,130,382,382,382,382,Advanced Degree,Finance and Insurance,76280143,7795,2005,Female,Mississippi,9785.78
131,131,383,383,383,383,Unavailable,Finance and Insurance,11681157,2781,2005,Female,Mississippi,4200.34
132,132,432,432,432,432,All Education Categories,Educational Services,267001190,29682,2005,Male,Mississippi,8995.39
133,133,433,433,433,433,Less Than High School,Educational Services,13582663,2421,2005,Male,Mississippi,5610.35
134,134,434,434,434,434,High School Graduate,Educational Services,43205488,6023,2005,Male,Mississippi,7173.42
135,135,435,435,435,435,Some College,Educational Services,67479370,8006,2005,Male,Mississippi,8428.6
136,136,436,436,436,436,Advanced Degree,Educational Services,135413798,11612,2005,Male,Mississippi,11661.54
137,137,437,437,437,437,Unavailable,Educational Services,7319871,1619,2005,Male,Mississippi,4521.23
138,138,438,438,438,438,All Education Categories,Educational Services,554185753,83477,2005,Female,Mississippi,6638.78
139,139,439,439,439,439,Less Than High School,Educational Services,19465033,4959,2005,Female,Mississippi,3925.19
140,140,440,440,440,440,High School Graduate,Educational Services,93896263,18683,2005,Female,Mississippi,5025.76
141,141,441,441,441,441,Some College,Educational Services,154750907,24889,2005,Female,Mississippi,6217.64
142,142,442,442,442,442,Advanced Degree,Educational Services,266431608,30784,2005,Female,Mississippi,8654.87
143,143,443,443,443,443,Unavailable,Educational Services,19641942,4161,2005,Female,Mississippi,4720.49
144,144,444,444,444,444,All Education Categories,Health Care and Social Assistance,354211574,25437,2005,Male,Mississippi,13925.05
145,145,445,445,445,445,Less Than High School,Health Care and Social Assistance,14235269,2195,2005,Male,Mississippi,6485.32
146,146,446,446,446,446,High School Graduate,Health Care and Social Assistance,42271903,5045,2005,Male,Mississippi,8378.97
147,147,447,447,447,447,Some College,Health Care and Social Assistance,84784504,7431,2005,Male,Mississippi,11409.57
148,148,448,448,448,448,Advanced Degree,Health Care and Social Assistance,203461007,8508,2005,Male,Mississippi,23914.08
149,149,449,449,449,449,Unavailable,Health Care and Social Assistance,9458891,2257,2005,Male,Mississippi,4190.91
150,150,450,450,450,450,All Education Categories,Health Care and Social Assistance,793785820,121712,2005,Female,Mississippi,6521.84
151,151,451,451,451,451,Less Than High School,Health Care and Social Assistance,44732348,10189,2005,Female,Mississippi,4390.26
152,152,452,452,452,452,High School Graduate,Health Care and Social Assistance,140487947,26720,2005,Female,Mississippi,5257.78
153,153,453,453,453,453,Some College,Health Care and Social Assistance,295833924,45427,2005,Female,Mississippi,6512.29
154,154,454,454,454,454,Advanced Degree,Health Care and Social Assistance,266517171,28179,2005,Female,Mississippi,9458.01
155,155,455,455,455,455,Unavailable,Health Care and Social Assistance,46214428,11196,2005,Female,Mississippi,4127.76
156,156,468,468,468,468,All Education Categories,Accommodation and Food Services,205765886,42585,2005,Male,Mississippi,4831.89
157,157,469,469,469,469,Less Than High School,Accommodation and Food Services,29769913,6024,2005,Male,Mississippi,4941.88
158,158,470,470,470,470,High School Graduate,Accommodation and Food Services,56351656,9841,2005,Male,Mississippi,5726.21
159,159,471,471,471,471,Some College,Accommodation and Food Services,52531745,7805,2005,Male,Mississippi,6730.52
160,160,472,472,472,472,Advanced Degree,Accommodation and Food Services,30543150,3110,2005,Male,Mississippi,9820.95
161,161,473,473,473,473,Unavailable,Accommodation and Food Services,36569422,15805,2005,Male,Mississippi,2313.79
162,162,474,474,474,474,All Education Categories,Accommodation and Food Services,232531443,66684,2005,Female,Mississippi,3487.07
163,163,475,475,475,475,Less Than High School,Accommodation and Food Services,32827573,9462,2005,Female,Mississippi,3469.41
164,164,476,476,476,476,High School Graduate,Accommodation and Food Services,60156060,15205,2005,Female,Mississippi,3956.33
165,165,477,477,477,477,Some College,Accommodation and Food Services,60631148,13310,2005,Female,Mississippi,4555.31
166,166,478,478,478,478,Advanced Degree,Accommodation and Food Services,28890499,4823,2005,Female,Mississippi,5990.15
167,167,479,479,479,479,Unavailable,Accommodation and Food Services,50026163,23884,2005,Female,Mississippi,2094.55
168,168,504,504,504,504,All Education Categories,00,5184831973,521006,2006,Male,Mississippi,9951.58
169,169,505,505,505,505,Less Than High School,00,525003111,71296,2006,Male,Mississippi,7363.71
170,170,506,506,506,506,High School Graduate,00,1314742299,147332,2006,Male,Mississippi,8923.67
171,171,507,507,507,507,Some College,00,1445624307,137239,2006,Male,Mississippi,10533.63
172,172,508,508,508,508,Advanced Degree,00,1571086401,91329,2006,Male,Mississippi,17202.49
173,173,509,509,509,509,Unavailable,00,328375854,73810,2006,Male,Mississippi,4448.93
174,174,510,510,510,510,All Education Categories,00,3497198906,556783,2006,Female,Mississippi,6281.08
175,175,511,511,511,511,Less Than High School,00,262770662,57308,2006,Female,Mississippi,4585.24
176,176,512,512,512,512,High School Graduate,00,784514655,142360,2006,Female,Mississippi,5510.78
177,177,513,513,513,513,Some College,00,1105160264,165559,2006,Female,Mississippi,6675.33
178,178,514,514,514,514,Advanced Degree,00,1076549551,109342,2006,Female,Mississippi,9845.71
179,179,515,515,515,515,Unavailable,00,268203775,82213,2006,Female,Mississippi,3262.3
180,180,564,564,564,564,All Education Categories,Manufacturing,1250578646,120146,2006,Male,Mississippi,10408.82
181,181,565,565,565,565,Less Than High School,Manufacturing,156169034,18892,2006,Male,Mississippi,8266.41
182,182,566,566,566,566,High School Graduate,Manufacturing,401585833,41281,2006,Male,Mississippi,9728.1
183,183,567,567,567,567,Some College,Manufacturing,378772153,33887,2006,Male,Mississippi,11177.51
184,184,568,568,568,568,Advanced Degree,Manufacturing,239053052,14288,2006,Male,Mississippi,16731.04
185,185,569,569,569,569,Unavailable,Manufacturing,74998574,11797,2006,Male,Mississippi,6357.43
186,186,570,570,570,570,All Education Categories,Manufacturing,371553010,56231,2006,Female,Mississippi,6607.62
187,187,571,571,571,571,Less Than High School,Manufacturing,50153760,9252,2006,Female,Mississippi,5420.86
188,188,572,572,572,572,High School Graduate,Manufacturing,130299560,20898,2006,Female,Mississippi,6235.03
