,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,13224247663,1242421,2004,Male,Missouri,10643.93
1,1,1,1,1,1,Less Than High School,00,836269786,121463,2004,Male,Missouri,6884.98
2,2,2,2,2,2,High School Graduate,00,3158831664,359845,2004,Male,Missouri,8778.31
3,3,3,3,3,3,Some College,00,3500013502,318520,2004,Male,Missouri,10988.36
4,4,4,4,4,4,Advanced Degree,00,5039543918,260014,2004,Male,Missouri,19381.82
5,5,5,5,5,5,Unavailable,00,689588793,182578,2004,Male,Missouri,3776.95
6,6,6,6,6,6,All Education Categories,00,8175543300,1262986,2004,Female,Missouri,6473.19
7,7,7,7,7,7,Less Than High School,00,399125784,90562,2004,Female,Missouri,4407.21
8,8,8,8,8,8,High School Graduate,00,1883884592,341369,2004,Female,Missouri,5518.62
9,9,9,9,9,9,Some College,00,2508149182,366244,2004,Female,Missouri,6848.3
10,10,10,10,10,10,Advanced Degree,00,2779410819,263514,2004,Female,Missouri,10547.49
11,11,11,11,11,11,Unavailable,00,604972923,201297,2004,Female,Missouri,3005.37
12,12,60,60,60,60,All Education Categories,Manufacturing,2314385272,206100,2004,Male,Missouri,11229.43
13,13,61,61,61,61,Less Than High School,Manufacturing,195174377,24003,2004,Male,Missouri,8131.25
14,14,62,62,62,62,High School Graduate,Manufacturing,765475499,77276,2004,Male,Missouri,9905.73
15,15,63,63,63,63,Some College,Manufacturing,691625254,57878,2004,Male,Missouri,11949.71
16,16,64,64,64,64,Advanced Degree,Manufacturing,563029625,29740,2004,Male,Missouri,18931.73
17,17,65,65,65,65,Unavailable,Manufacturing,99080518,17203,2004,Male,Missouri,5759.49
18,18,66,66,66,66,All Education Categories,Manufacturing,702718755,92947,2004,Female,Missouri,7560.42
19,19,67,67,67,67,Less Than High School,Manufacturing,56966180,9885,2004,Female,Missouri,5762.89
20,20,68,68,68,68,High School Graduate,Manufacturing,245180726,36191,2004,Female,Missouri,6774.63
21,21,69,69,69,69,Some College,Manufacturing,219335292,27361,2004,Female,Missouri,8016.35
22,22,70,70,70,70,Advanced Degree,Manufacturing,147450381,12354,2004,Female,Missouri,11935.44
23,23,71,71,71,71,Unavailable,Manufacturing,33786175,7156,2004,Female,Missouri,4721.38
24,24,84,84,84,84,All Education Categories,Retail Trade,1048485154,150979,2004,Male,Missouri,6944.58
25,25,85,85,85,85,Less Than High School,Retail Trade,89326463,15158,2004,Male,Missouri,5893.02
26,26,86,86,86,86,High School Graduate,Retail Trade,329719715,44349,2004,Male,Missouri,7434.66
27,27,87,87,87,87,Some College,Retail Trade,296361086,33850,2004,Male,Missouri,8755.13
28,28,88,88,88,88,Advanced Degree,Retail Trade,210180147,16898,2004,Male,Missouri,12438.17
29,29,89,89,89,89,Unavailable,Retail Trade,122897742,40724,2004,Male,Missouri,3017.82
30,30,90,90,90,90,All Education Categories,Retail Trade,641871948,158941,2004,Female,Missouri,4038.43
31,31,91,91,91,91,Less Than High School,Retail Trade,53428403,14440,2004,Female,Missouri,3700.03
32,32,92,92,92,92,High School Graduate,Retail Trade,216574413,50071,2004,Female,Missouri,4325.35
33,33,93,93,93,93,Some College,Retail Trade,174817214,35983,2004,Female,Missouri,4858.33
34,34,94,94,94,94,Advanced Degree,Retail Trade,96337926,14509,2004,Female,Missouri,6639.87
35,35,95,95,95,95,Unavailable,Retail Trade,100713991,43938,2004,Female,Missouri,2292.18
36,36,120,120,120,120,All Education Categories,Finance and Insurance,846923054,36920,2004,Male,Missouri,22939.41
37,37,121,121,121,121,Less Than High School,Finance and Insurance,13194496,1337,2004,Male,Missouri,9868.73
38,38,122,122,122,122,High School Graduate,Finance and Insurance,75945246,5620,2004,Male,Missouri,13513.39
