,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2856,2856,2856,2856,2856,All Education Categories,"Colleges, Universities, and Professional Schools",45040791,4296,2004,Male,Montana,10484.36
1,1,2857,2857,2857,2857,2857,Less Than High School,"Colleges, Universities, and Professional Schools",1215093,181,2004,Male,Montana,6713.22
2,2,2858,2858,2858,2858,2858,High School Graduate,"Colleges, Universities, and Professional Schools",6469081,794,2004,Male,Montana,8147.46
3,3,2859,2859,2859,2859,2859,Some College,"Colleges, Universities, and Professional Schools",9828407,1050,2004,Male,Montana,9360.39
4,4,2860,2860,2860,2860,2860,Advanced Degree,"Colleges, Universities, and Professional Schools",26903078,2043,2004,Male,Montana,13168.42
5,5,2861,2861,2861,2861,2861,Unavailable,"Colleges, Universities, and Professional Schools",625133,228,2004,Male,Montana,2741.81
6,6,2862,2862,2862,2862,2862,All Education Categories,"Colleges, Universities, and Professional Schools",35039876,4961,2004,Female,Montana,7063.07
7,7,2863,2863,2863,2863,2863,Less Than High School,"Colleges, Universities, and Professional Schools",679169,143,2004,Female,Montana,4749.43
8,8,2864,2864,2864,2864,2864,High School Graduate,"Colleges, Universities, and Professional Schools",5469653,959,2004,Female,Montana,5703.5
9,9,2865,2865,2865,2865,2865,Some College,"Colleges, Universities, and Professional Schools",9517736,1456,2004,Female,Montana,6536.91
10,10,2866,2866,2866,2866,2866,Advanced Degree,"Colleges, Universities, and Professional Schools",18318786,2089,2004,Female,Montana,8769.17
11,11,2867,2867,2867,2867,2867,Unavailable,"Colleges, Universities, and Professional Schools",1054532,315,2004,Female,Montana,3347.72
12,12,6408,6408,6408,6408,6408,All Education Categories,"Colleges, Universities, and Professional Schools",45160079,4317,2005,Male,Montana,10460.99
13,13,6409,6409,6409,6409,6409,Less Than High School,"Colleges, Universities, and Professional Schools",1239460,186,2005,Male,Montana,6663.76
14,14,6410,6410,6410,6410,6410,High School Graduate,"Colleges, Universities, and Professional Schools",6598435,810,2005,Male,Montana,8146.22
15,15,6411,6411,6411,6411,6411,Some College,"Colleges, Universities, and Professional Schools",9967446,1066,2005,Male,Montana,9350.32
16,16,6412,6412,6412,6412,6412,Advanced Degree,"Colleges, Universities, and Professional Schools",26770804,2054,2005,Male,Montana,13033.5
17,17,6413,6413,6413,6413,6413,Unavailable,"Colleges, Universities, and Professional Schools",583934,201,2005,Male,Montana,2905.14
18,18,6414,6414,6414,6414,6414,All Education Categories,"Colleges, Universities, and Professional Schools",35643523,4939,2005,Female,Montana,7216.75
19,19,6415,6415,6415,6415,6415,Less Than High School,"Colleges, Universities, and Professional Schools",691867,139,2005,Female,Montana,4977.46
20,20,6416,6416,6416,6416,6416,High School Graduate,"Colleges, Universities, and Professional Schools",5654518,957,2005,Female,Montana,5908.59
21,21,6417,6417,6417,6417,6417,Some College,"Colleges, Universities, and Professional Schools",9811009,1475,2005,Female,Montana,6651.53
22,22,6418,6418,6418,6418,6418,Advanced Degree,"Colleges, Universities, and Professional Schools",18545581,2079,2005,Female,Montana,8920.43
23,23,6419,6419,6419,6419,6419,Unavailable,"Colleges, Universities, and Professional Schools",940547,289,2005,Female,Montana,3254.49
24,24,9996,9996,9996,9996,9996,All Education Categories,"Colleges, Universities, and Professional Schools",52194176,4429,2006,Male,Montana,11784.64
25,25,9997,9997,9997,9997,9997,Less Than High School,"Colleges, Universities, and Professional Schools",1473828,198,2006,Male,Montana,7443.58
26,26,9998,9998,9998,9998,9998,High School Graduate,"Colleges, Universities, and Professional Schools",7583188,838,2006,Male,Montana,9049.15
27,27,9999,9999,9999,9999,9999,Some College,"Colleges, Universities, and Professional Schools",11570645,1101,2006,Male,Montana,10509.21
28,28,10000,10000,10000,10000,10000,Advanced Degree,"Colleges, Universities, and Professional Schools",30970576,2091,2006,Male,Montana,14811.37
29,29,10001,10001,10001,10001,10001,Unavailable,"Colleges, Universities, and Professional Schools",595940,201,2006,Male,Montana,2964.88
30,30,10002,10002,10002,10002,10002,All Education Categories,"Colleges, Universities, and Professional Schools",41223381,5068,2006,Female,Montana,8134.05
31,31,10003,10003,10003,10003,10003,Less Than High School,"Colleges, Universities, and Professional Schools",852260,158,2006,Female,Montana,5394.05
32,32,10004,10004,10004,10004,10004,High School Graduate,"Colleges, Universities, and Professional Schools",6532645,1003,2006,Female,Montana,6513.11
33,33,10005,10005,10005,10005,10005,Some College,"Colleges, Universities, and Professional Schools",11225114,1513,2006,Female,Montana,7419.11
34,34,10006,10006,10006,10006,10006,Advanced Degree,"Colleges, Universities, and Professional Schools",21698739,2140,2006,Female,Montana,10139.6
35,35,10007,10007,10007,10007,10007,Unavailable,"Colleges, Universities, and Professional Schools",914623,255,2006,Female,Montana,3586.76
36,36,13584,13584,13584,13584,13584,All Education Categories,"Colleges, Universities, and Professional Schools",48549912,4277,2007,Male,Montana,11351.39
