,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,912,912,912,All Education Categories,Educational Services,234461483,24632,2004,Male,Nebraska,9518.57
1,1,913,913,913,Less Than High School,Educational Services,6266792,1105,2004,Male,Nebraska,5671.3
2,2,914,914,914,High School Graduate,Educational Services,32116997,4465,2004,Male,Nebraska,7193.06
3,3,915,915,915,Some College,Educational Services,51206908,6021,2004,Male,Nebraska,8504.72
4,4,916,916,916,Advanced Degree,Educational Services,140805345,11789,2004,Male,Nebraska,11943.79
5,5,917,917,917,Unavailable,Educational Services,4065441,1252,2004,Male,Nebraska,3247.16
6,6,918,918,918,All Education Categories,Educational Services,350243053,53624,2004,Female,Nebraska,6531.46
7,7,919,919,919,Less Than High School,Educational Services,5878518,1660,2004,Female,Nebraska,3541.28
8,8,920,920,920,High School Graduate,Educational Services,55337345,11714,2004,Female,Nebraska,4724.03
9,9,921,921,921,Some College,Educational Services,89954663,15082,2004,Female,Nebraska,5964.37
10,10,922,922,922,Advanced Degree,Educational Services,189697812,22193,2004,Female,Nebraska,8547.64
11,11,923,923,923,Unavailable,Educational Services,9374716,2975,2004,Female,Nebraska,3151.17
12,12,1008,1008,1008,All Education Categories,Accommodation,10711959,2443,2004,Male,Nebraska,4384.76
13,13,1009,1009,1009,Less Than High School,Accommodation,1336601,333,2004,Male,Nebraska,4013.82
14,14,1010,1010,1010,High School Graduate,Accommodation,2995804,629,2004,Male,Nebraska,4762.8
15,15,1011,1011,1011,Some College,Accommodation,2837030,515,2004,Male,Nebraska,5508.8
16,16,1012,1012,1012,Advanced Degree,Accommodation,1705883,258,2004,Male,Nebraska,6611.95
17,17,1013,1013,1013,Unavailable,Accommodation,1836641,708,2004,Male,Nebraska,2594.13
18,18,1014,1014,1014,All Education Categories,Accommodation,14599521,4790,2004,Female,Nebraska,3047.92
19,19,1015,1015,1015,Less Than High School,Accommodation,1789833,636,2004,Female,Nebraska,2814.2
20,20,1016,1016,1016,High School Graduate,Accommodation,4243611,1364,2004,Female,Nebraska,3111.15
21,21,1017,1017,1017,Some College,Accommodation,3959358,1100,2004,Female,Nebraska,3599.42
22,22,1018,1018,1018,Advanced Degree,Accommodation,1940816,444,2004,Female,Nebraska,4371.21
23,23,1019,1019,1019,Unavailable,Accommodation,2665903,1246,2004,Female,Nebraska,2139.57
24,24,2076,2076,2076,All Education Categories,Educational Services,239531543,24757,2005,Male,Nebraska,9675.31
25,25,2077,2077,2077,Less Than High School,Educational Services,6399605,1106,2005,Male,Nebraska,5786.26
26,26,2078,2078,2078,High School Graduate,Educational Services,33199868,4512,2005,Male,Nebraska,7358.13
27,27,2079,2079,2079,Some College,Educational Services,53013199,6099,2005,Male,Nebraska,8692.11
28,28,2080,2080,2080,Advanced Degree,Educational Services,142443526,11685,2005,Male,Nebraska,12190.29
29,29,2081,2081,2081,Unavailable,Educational Services,4475344,1356,2005,Male,Nebraska,3300.4
30,30,2082,2082,2082,All Education Categories,Educational Services,363874141,54122,2005,Female,Nebraska,6723.22
31,31,2083,2083,2083,Less Than High School,Educational Services,6240786,1696,2005,Female,Nebraska,3679.71
32,32,2084,2084,2084,High School Graduate,Educational Services,58010292,11816,2005,Female,Nebraska,4909.47
33,33,2085,2085,2085,Some College,Educational Services,94608238,15296,2005,Female,Nebraska,6185.16
34,34,2086,2086,2086,Advanced Degree,Educational Services,195529237,22311,2005,Female,Nebraska,8763.8
35,35,2087,2087,2087,Unavailable,Educational Services,9485587,3003,2005,Female,Nebraska,3158.7
36,36,2172,2172,2172,All Education Categories,Accommodation,10195403,2377,2005,Male,Nebraska,4289.19
37,37,2173,2173,2173,Less Than High School,Accommodation,1329171,343,2005,Male,Nebraska,3875.13
38,38,2174,2174,2174,High School Graduate,Accommodation,2911326,631,2005,Male,Nebraska,4613.83
39,39,2175,2175,2175,Some College,Accommodation,2737135,522,2005,Male,Nebraska,5243.55
40,40,2176,2176,2176,Advanced Degree,Accommodation,1688495,257,2005,Male,Nebraska,6570.02
41,41,2177,2177,2177,Unavailable,Accommodation,1529277,625,2005,Male,Nebraska,2446.84
42,42,2178,2178,2178,All Education Categories,Accommodation,14286856,4811,2005,Female,Nebraska,2969.62
43,43,2179,2179,2179,Less Than High School,Accommodation,1852137,674,2005,Female,Nebraska,2747.98
44,44,2180,2180,2180,High School Graduate,Accommodation,4122432,1382,2005,Female,Nebraska,2982.95
45,45,2181,2181,2181,Some College,Accommodation,3869052,1117,2005,Female,Nebraska,3463.79
46,46,2182,2182,2182,Advanced Degree,Accommodation,1884638,446,2005,Female,Nebraska,4225.65
47,47,2183,2183,2183,Unavailable,Accommodation,2558596,1192,2005,Female,Nebraska,2146.47
48,48,3240,3240,3240,All Education Categories,Educational Services,251369715,25147,2006,Male,Nebraska,9996.01
49,49,3241,3241,3241,Less Than High School,Educational Services,6764812,1123,2006,Male,Nebraska,6023.88
50,50,3242,3242,3242,High School Graduate,Educational Services,35429681,4655,2006,Male,Nebraska,7611.1
51,51,3243,3243,3243,Some College,Educational Services,56259859,6267,2006,Male,Nebraska,8977.16
52,52,3244,3244,3244,Advanced Degree,Educational Services,148440690,11779,2006,Male,Nebraska,12602.15
53,53,3245,3245,3245,Unavailable,Educational Services,4474673,1323,2006,Male,Nebraska,3382.22
54,54,3246,3246,3246,All Education Categories,Educational Services,391260812,55604,2006,Female,Nebraska,7036.56
55,55,3247,3247,3247,Less Than High School,Educational Services,7019656,1765,2006,Female,Nebraska,3977.14
56,56,3248,3248,3248,High School Graduate,Educational Services,62720475,12072,2006,Female,Nebraska,5195.53
57,57,3249,3249,3249,Some College,Educational Services,102780412,15847,2006,Female,Nebraska,6485.8
58,58,3250,3250,3250,Advanced Degree,Educational Services,207906758,22907,2006,Female,Nebraska,9076.12
59,59,3251,3251,3251,Unavailable,Educational Services,10833510,3013,2006,Female,Nebraska,3595.59
60,60,3336,3336,3336,All Education Categories,Accommodation,10692791,2425,2006,Male,Nebraska,4409.4
61,61,3337,3337,3337,Less Than High School,Accommodation,1412184,356,2006,Male,Nebraska,3966.81
62,62,3338,3338,3338,High School Graduate,Accommodation,3173166,672,2006,Male,Nebraska,4721.97
63,63,3339,3339,3339,Some College,Accommodation,2765655,510,2006,Male,Nebraska,5422.85
64,64,3340,3340,3340,Advanced Degree,Accommodation,1705784,250,2006,Male,Nebraska,6823.14
65,65,3341,3341,3341,Unavailable,Accommodation,1636002,637,2006,Male,Nebraska,2568.29
66,66,3342,3342,3342,All Education Categories,Accommodation,14927983,4719,2006,Female,Nebraska,3163.38
67,67,3343,3343,3343,Less Than High School,Accommodation,1931888,641,2006,Female,Nebraska,3013.87
68,68,3344,3344,3344,High School Graduate,Accommodation,4307578,1367,2006,Female,Nebraska,3151.12
69,69,3345,3345,3345,Some College,Accommodation,4075982,1099,2006,Female,Nebraska,3708.81
70,70,3346,3346,3346,Advanced Degree,Accommodation,1983947,440,2006,Female,Nebraska,4508.97
71,71,3347,3347,3347,Unavailable,Accommodation,2628587,1172,2006,Female,Nebraska,2242.82
72,72,4404,4404,4404,All Education Categories,Educational Services,265502268,25383,2007,Male,Nebraska,10459.85
73,73,4405,4405,4405,Less Than High School,Educational Services,7376518,1148,2007,Male,Nebraska,6425.54
74,74,4406,4406,4406,High School Graduate,Educational Services,37944690,4788,2007,Male,Nebraska,7924.96
75,75,4407,4407,4407,Some College,Educational Services,60174358,6419,2007,Male,Nebraska,9374.41
76,76,4408,4408,4408,Advanced Degree,Educational Services,155124426,11747,2007,Male,Nebraska,13205.45
77,77,4409,4409,4409,Unavailable,Educational Services,4882276,1281,2007,Male,Nebraska,3811.3
78,78,4410,4410,4410,All Education Categories,Educational Services,412592994,56254,2007,Female,Nebraska,7334.46
79,79,4411,4411,4411,Less Than High School,Educational Services,7837564,1846,2007,Female,Nebraska,4245.7
80,80,4412,4412,4412,High School Graduate,Educational Services,66872357,12306,2007,Female,Nebraska,5434.13
81,81,4413,4413,4413,Some College,Educational Services,109710387,16207,2007,Female,Nebraska,6769.32
82,82,4414,4414,4414,Advanced Degree,Educational Services,217211169,22992,2007,Female,Nebraska,9447.25
83,83,4415,4415,4415,Unavailable,Educational Services,10961518,2903,2007,Female,Nebraska,3775.93
84,84,4500,4500,4500,All Education Categories,Accommodation,11472930,2476,2007,Male,Nebraska,4633.66
85,85,4501,4501,4501,Less Than High School,Accommodation,1559058,371,2007,Male,Nebraska,4202.31
86,86,4502,4502,4502,High School Graduate,Accommodation,3319568,683,2007,Male,Nebraska,4860.28
87,87,4503,4503,4503,Some College,Accommodation,2969224,535,2007,Male,Nebraska,5549.95
88,88,4504,4504,4504,Advanced Degree,Accommodation,2035888,276,2007,Male,Nebraska,7376.41
89,89,4505,4505,4505,Unavailable,Accommodation,1589194,611,2007,Male,Nebraska,2600.97
90,90,4506,4506,4506,All Education Categories,Accommodation,15281416,4798,2007,Female,Nebraska,3184.96
91,91,4507,4507,4507,Less Than High School,Accommodation,1969771,669,2007,Female,Nebraska,2944.35
92,92,4508,4508,4508,High School Graduate,Accommodation,4442717,1385,2007,Female,Nebraska,3207.74
93,93,4509,4509,4509,Some College,Accommodation,4258587,1155,2007,Female,Nebraska,3687.09
94,94,4510,4510,4510,Advanced Degree,Accommodation,2019033,461,2007,Female,Nebraska,4379.68
95,95,4511,4511,4511,Unavailable,Accommodation,2591307,1128,2007,Female,Nebraska,2297.26
96,96,5568,5568,5568,All Education Categories,Educational Services,277935972,25539,2008,Male,Nebraska,10882.81
97,97,5569,5569,5569,Less Than High School,Educational Services,8045754,1199,2008,Male,Nebraska,6710.39
98,98,5570,5570,5570,High School Graduate,Educational Services,40691463,4879,2008,Male,Nebraska,8340.12
99,99,5571,5571,5571,Some College,Educational Services,63621261,6515,2008,Male,Nebraska,9765.35
100,100,5572,5572,5572,Advanced Degree,Educational Services,160529188,11611,2008,Male,Nebraska,13825.61
101,101,5573,5573,5573,Unavailable,Educational Services,5048307,1334,2008,Male,Nebraska,3784.34
102,102,5574,5574,5574,All Education Categories,Educational Services,435003833,57320,2008,Female,Nebraska,7589.04
103,103,5575,5575,5575,Less Than High School,Educational Services,9014889,2001,2008,Female,Nebraska,4505.19
104,104,5576,5576,5576,High School Graduate,Educational Services,71537502,12541,2008,Female,Nebraska,5704.29
105,105,5577,5577,5577,Some College,Educational Services,117299527,16705,2008,Female,Nebraska,7021.82
106,106,5578,5578,5578,Advanced Degree,Educational Services,225637305,23034,2008,Female,Nebraska,9795.84
107,107,5579,5579,5579,Unavailable,Educational Services,11514609,3039,2008,Female,Nebraska,3788.95
108,108,5664,5664,5664,All Education Categories,Accommodation,11737251,2495,2008,Male,Nebraska,4704.31
109,109,5665,5665,5665,Less Than High School,Accommodation,1686423,376,2008,Male,Nebraska,4485.17
110,110,5666,5666,5666,High School Graduate,Accommodation,3464273,706,2008,Male,Nebraska,4906.9
111,111,5667,5667,5667,Some College,Accommodation,3040709,550,2008,Male,Nebraska,5528.56
112,112,5668,5668,5668,Advanced Degree,Accommodation,1867753,269,2008,Male,Nebraska,6943.32
113,113,5669,5669,5669,Unavailable,Accommodation,1678093,594,2008,Male,Nebraska,2825.07
114,114,5670,5670,5670,All Education Categories,Accommodation,16122197,4846,2008,Female,Nebraska,3326.91
115,115,5671,5671,5671,Less Than High School,Accommodation,2168920,698,2008,Female,Nebraska,3107.34
116,116,5672,5672,5672,High School Graduate,Accommodation,4625058,1354,2008,Female,Nebraska,3415.85
117,117,5673,5673,5673,Some College,Accommodation,4507763,1163,2008,Female,Nebraska,3875.98
118,118,5674,5674,5674,Advanced Degree,Accommodation,2195724,489,2008,Female,Nebraska,4490.23
119,119,5675,5675,5675,Unavailable,Accommodation,2624732,1142,2008,Female,Nebraska,2298.36
120,120,6732,6732,6732,All Education Categories,Educational Services,284293617,25833,2009,Male,Nebraska,11005.06
121,121,6733,6733,6733,Less Than High School,Educational Services,8985813,1285,2009,Male,Nebraska,6992.85
122,122,6734,6734,6734,High School Graduate,Educational Services,42565966,5048,2009,Male,Nebraska,8432.24
123,123,6735,6735,6735,Some College,Educational Services,66297676,6648,2009,Male,Nebraska,9972.57
124,124,6736,6736,6736,Advanced Degree,Educational Services,161344376,11424,2009,Male,Nebraska,14123.28
125,125,6737,6737,6737,Unavailable,Educational Services,5099786,1429,2009,Male,Nebraska,3568.78
126,126,6738,6738,6738,All Education Categories,Educational Services,453855268,58110,2009,Female,Nebraska,7810.28
127,127,6739,6739,6739,Less Than High School,Educational Services,10432032,2167,2009,Female,Nebraska,4814.04
128,128,6740,6740,6740,High School Graduate,Educational Services,75903928,12760,2009,Female,Nebraska,5948.58
