,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2844,2844,2844,All Education Categories,"Colleges, Universities, and Professional Schools",54433980,4823,2004,Male,Nevada,11286.33
1,1,2845,2845,2845,Less Than High School,"Colleges, Universities, and Professional Schools",1356382,237,2004,Male,Nevada,5723.13
2,2,2846,2846,2846,High School Graduate,"Colleges, Universities, and Professional Schools",4785005,644,2004,Male,Nevada,7430.13
3,3,2847,2847,2847,Some College,"Colleges, Universities, and Professional Schools",10372929,1121,2004,Male,Nevada,9253.28
4,4,2848,2848,2848,Advanced Degree,"Colleges, Universities, and Professional Schools",37288189,2636,2004,Male,Nevada,14145.75
5,5,2849,2849,2849,Unavailable,"Colleges, Universities, and Professional Schools",631475,184,2004,Male,Nevada,3431.93
6,6,2850,2850,2850,All Education Categories,"Colleges, Universities, and Professional Schools",41376481,4701,2004,Female,Nevada,8801.63
7,7,2851,2851,2851,Less Than High School,"Colleges, Universities, and Professional Schools",820542,174,2004,Female,Nevada,4715.76
8,8,2852,2852,2852,High School Graduate,"Colleges, Universities, and Professional Schools",4289191,663,2004,Female,Nevada,6469.37
9,9,2853,2853,2853,Some College,"Colleges, Universities, and Professional Schools",9870642,1276,2004,Female,Nevada,7735.61
10,10,2854,2854,2854,Advanced Degree,"Colleges, Universities, and Professional Schools",25418818,2346,2004,Female,Nevada,10834.96
11,11,2855,2855,2855,Unavailable,"Colleges, Universities, and Professional Schools",977287,241,2004,Female,Nevada,4055.13
12,12,6408,6408,6408,All Education Categories,"Colleges, Universities, and Professional Schools",62832771,5308,2005,Male,Nevada,11837.37
13,13,6409,6409,6409,Less Than High School,"Colleges, Universities, and Professional Schools",1609174,261,2005,Male,Nevada,6165.42
14,14,6410,6410,6410,High School Graduate,"Colleges, Universities, and Professional Schools",5563683,717,2005,Male,Nevada,7759.67
15,15,6411,6411,6411,Some College,"Colleges, Universities, and Professional Schools",12066233,1223,2005,Male,Nevada,9866.09
16,16,6412,6412,6412,Advanced Degree,"Colleges, Universities, and Professional Schools",42872938,2861,2005,Male,Nevada,14985.3
17,17,6413,6413,6413,Unavailable,"Colleges, Universities, and Professional Schools",720743,246,2005,Male,Nevada,2929.85
18,18,6414,6414,6414,All Education Categories,"Colleges, Universities, and Professional Schools",48796118,5254,2005,Female,Nevada,9287.42
