,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,All Education Categories,00,3426775235,286203,2004,Male,New Hampshire,11973.23
1,1,1,1,1,Less Than High School,00,203685828,24547,2004,Male,New Hampshire,8297.79
2,2,2,2,2,High School Graduate,00,701518114,70635,2004,Male,New Hampshire,9931.59
3,3,3,3,3,Some College,00,880958413,72951,2004,Male,New Hampshire,12076.03
4,4,4,4,4,Advanced Degree,00,1478138418,75369,2004,Male,New Hampshire,19612.02
5,5,5,5,5,Unavailable,00,162474463,42701,2004,Male,New Hampshire,3804.93
6,6,6,6,6,All Education Categories,00,2094516210,302789,2004,Female,New Hampshire,6917.41
7,7,7,7,7,Less Than High School,00,94798759,17930,2004,Female,New Hampshire,5287.16
8,8,8,8,8,High School Graduate,00,415233182,69554,2004,Female,New Hampshire,5969.94
9,9,9,9,9,Some College,00,619201012,86956,2004,Female,New Hampshire,7120.85
10,10,10,10,10,Advanced Degree,00,822031648,80457,2004,Female,New Hampshire,10217.03
11,11,11,11,11,Unavailable,00,143251609,47891,2004,Female,New Hampshire,2991.2
12,12,60,60,60,All Education Categories,Manufacturing,717641635,52891,2004,Male,New Hampshire,13568.31
13,13,61,61,61,Less Than High School,Manufacturing,51574661,5306,2004,Male,New Hampshire,9720.06
14,14,62,62,62,High School Graduate,Manufacturing,177196950,15969,2004,Male,New Hampshire,11096.31
15,15,63,63,63,Some College,Manufacturing,210221773,15692,2004,Male,New Hampshire,13396.75
16,16,64,64,64,Advanced Degree,Manufacturing,260742065,12918,2004,Male,New Hampshire,20184.4
17,17,65,65,65,Unavailable,Manufacturing,17906186,3008,2004,Male,New Hampshire,5952.85
18,18,66,66,66,All Education Categories,Manufacturing,237800667,27006,2004,Female,New Hampshire,8805.48
19,19,67,67,67,Less Than High School,Manufacturing,17419477,2481,2004,Female,New Hampshire,7021.15
20,20,68,68,68,High School Graduate,Manufacturing,65296007,8439,2004,Female,New Hampshire,7737.41
21,21,69,69,69,Some College,Manufacturing,76645571,8651,2004,Female,New Hampshire,8859.74
22,22,70,70,70,Advanced Degree,Manufacturing,70160655,5772,2004,Female,New Hampshire,12155.35
23,23,71,71,71,Unavailable,Manufacturing,8278957,1665,2004,Female,New Hampshire,4972.35
24,24,84,84,84,All Education Categories,Retail Trade,364455307,47253,2004,Male,New Hampshire,7712.85
25,25,85,85,85,Less Than High School,Retail Trade,28092088,3976,2004,Male,New Hampshire,7065.41
26,26,86,86,86,High School Graduate,Retail Trade,101359028,11789,2004,Male,New Hampshire,8597.76
27,27,87,87,87,Some College,Retail Trade,102900729,10551,2004,Male,New Hampshire,9752.7
28,28,88,88,88,Advanced Degree,Retail Trade,88184700,6884,2004,Male,New Hampshire,12810.1
29,29,89,89,89,Unavailable,Retail Trade,43918762,14054,2004,Male,New Hampshire,3125.0
30,30,90,90,90,All Education Categories,Retail Trade,206634864,48488,2004,Female,New Hampshire,4261.57
31,31,91,91,91,Less Than High School,Retail Trade,13476669,3361,2004,Female,New Hampshire,4009.72
32,32,92,92,92,High School Graduate,Retail Trade,58223495,12319,2004,Female,New Hampshire,4726.32
33,33,93,93,93,Some College,Retail Trade,57978111,11008,2004,Female,New Hampshire,5266.91
34,34,94,94,94,Advanced Degree,Retail Trade,42121197,6339,2004,Female,New Hampshire,6644.77
35,35,95,95,95,Unavailable,Retail Trade,34835392,15461,2004,Female,New Hampshire,2253.11
36,36,120,120,120,All Education Categories,Finance and Insurance,263145760,9058,2004,Male,New Hampshire,29051.2
37,37,121,121,121,Less Than High School,Finance and Insurance,5921043,323,2004,Male,New Hampshire,18331.4
38,38,122,122,122,High School Graduate,Finance and Insurance,23272933,1149,2004,Male,New Hampshire,20254.95
39,39,123,123,123,Some College,Finance and Insurance,46546164,2013,2004,Male,New Hampshire,23122.78
40,40,124,124,124,Advanced Degree,Finance and Insurance,183713966,5144,2004,Male,New Hampshire,35714.22
41,41,125,125,125,Unavailable,Finance and Insurance,3691654,428,2004,Male,New Hampshire,8625.36
42,42,126,126,126,All Education Categories,Finance and Insurance,211687289,17608,2004,Female,New Hampshire,12022.22
43,43,127,127,127,Less Than High School,Finance and Insurance,5210133,566,2004,Female,New Hampshire,9205.18
44,44,128,128,128,High School Graduate,Finance and Insurance,30053546,3251,2004,Female,New Hampshire,9244.4
45,45,129,129,129,Some College,Finance and Insurance,52284259,4941,2004,Female,New Hampshire,10581.72
46,46,130,130,130,Advanced Degree,Finance and Insurance,114666222,7273,2004,Female,New Hampshire,15766.01
47,47,131,131,131,Unavailable,Finance and Insurance,9473128,1577,2004,Female,New Hampshire,6007.06
48,48,180,180,180,All Education Categories,Educational Services,200851635,18653,2004,Male,New Hampshire,10767.79
