,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,936,936,936,All Education Categories,Educational Services,1632283537,119167,2004,Male,New Jersey,13697.45
1,1,937,937,937,Less Than High School,Educational Services,46113877,5359,2004,Male,New Jersey,8604.94
2,2,938,938,938,High School Graduate,Educational Services,171107016,16354,2004,Male,New Jersey,10462.7
3,3,939,939,939,Some College,Educational Services,334862338,26968,2004,Male,New Jersey,12417.03
4,4,940,940,940,Advanced Degree,Educational Services,1043517189,62772,2004,Male,New Jersey,16623.93
5,5,941,941,941,Unavailable,Educational Services,36683116,7714,2004,Male,New Jersey,4755.39
6,6,942,942,942,All Education Categories,Educational Services,3008895874,268469,2004,Female,New Jersey,11207.61
7,7,943,943,943,Less Than High School,Educational Services,54110622,9392,2004,Female,New Jersey,5761.35
8,8,944,944,944,High School Graduate,Educational Services,307051176,41761,2004,Female,New Jersey,7352.58
9,9,945,945,945,Some College,Educational Services,639280133,65886,2004,Female,New Jersey,9702.82
10,10,946,946,946,Advanced Degree,Educational Services,1914010532,135060,2004,Female,New Jersey,14171.56
11,11,947,947,947,Unavailable,Educational Services,94443409,16371,2004,Female,New Jersey,5768.95
12,12,1032,1032,1032,All Education Categories,Accommodation,280917066,31293,2004,Male,New Jersey,8976.99
13,13,1033,1033,1033,Less Than High School,Accommodation,45200779,6197,2004,Male,New Jersey,7293.98
14,14,1034,1034,1034,High School Graduate,Accommodation,75051299,8490,2004,Male,New Jersey,8839.96
15,15,1035,1035,1035,Some College,Accommodation,85007822,8463,2004,Male,New Jersey,10044.64
16,16,1036,1036,1036,Advanced Degree,Accommodation,60922658,4894,2004,Male,New Jersey,12448.44
17,17,1037,1037,1037,Unavailable,Accommodation,14734508,3248,2004,Male,New Jersey,4536.49
18,18,1038,1038,1038,All Education Categories,Accommodation,214003290,30435,2004,Female,New Jersey,7031.49
19,19,1039,1039,1039,Less Than High School,Accommodation,32332418,5592,2004,Female,New Jersey,5781.91
20,20,1040,1040,1040,High School Graduate,Accommodation,51958317,7811,2004,Female,New Jersey,6651.94
21,21,1041,1041,1041,Some College,Accommodation,64818781,8359,2004,Female,New Jersey,7754.37
22,22,1042,1042,1042,Advanced Degree,Accommodation,48984900,4897,2004,Female,New Jersey,10003.04
23,23,1043,1043,1043,Unavailable,Accommodation,15908875,3776,2004,Female,New Jersey,4213.16
24,24,2124,2124,2124,All Education Categories,Educational Services,1562316779,114672,2005,Male,New Jersey,13624.22
25,25,2125,2125,2125,Less Than High School,Educational Services,46006745,5286,2005,Male,New Jersey,8703.51
26,26,2126,2126,2126,High School Graduate,Educational Services,168808310,15954,2005,Male,New Jersey,10580.94
27,27,2127,2127,2127,Some College,Educational Services,327307229,26269,2005,Male,New Jersey,12459.83
28,28,2128,2128,2128,Advanced Degree,Educational Services,985169835,59928,2005,Male,New Jersey,16439.22
29,29,2129,2129,2129,Unavailable,Educational Services,35024661,7235,2005,Male,New Jersey,4841.0
30,30,2130,2130,2130,All Education Categories,Educational Services,2944591368,261634,2005,Female,New Jersey,11254.62
31,31,2131,2131,2131,Less Than High School,Educational Services,54309975,9279,2005,Female,New Jersey,5853.0
32,32,2132,2132,2132,High School Graduate,Educational Services,307551760,40747,2005,Female,New Jersey,7547.84
33,33,2133,2133,2133,Some College,Educational Services,637940646,64887,2005,Female,New Jersey,9831.56
34,34,2134,2134,2134,Advanced Degree,Educational Services,1852921976,130826,2005,Female,New Jersey,14163.25
35,35,2135,2135,2135,Unavailable,Educational Services,91867011,15895,2005,Female,New Jersey,5779.62
