,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2904,2904,2904,All Education Categories,"Colleges, Universities, and Professional Schools",81839538,7533,2004,Male,New Mexico,10864.14
1,1,2905,2905,2905,Less Than High School,"Colleges, Universities, and Professional Schools",3652276,556,2004,Male,New Mexico,6568.84
2,2,2906,2906,2906,High School Graduate,"Colleges, Universities, and Professional Schools",11440052,1410,2004,Male,New Mexico,8113.51
3,3,2907,2907,2907,Some College,"Colleges, Universities, and Professional Schools",22557717,2232,2004,Male,New Mexico,10106.5
4,4,2908,2908,2908,Advanced Degree,"Colleges, Universities, and Professional Schools",43222066,3049,2004,Male,New Mexico,14175.82
5,5,2909,2909,2909,Unavailable,"Colleges, Universities, and Professional Schools",967427,287,2004,Male,New Mexico,3370.83
6,6,2910,2910,2910,All Education Categories,"Colleges, Universities, and Professional Schools",71268088,8958,2004,Female,New Mexico,7955.8
7,7,2911,2911,2911,Less Than High School,"Colleges, Universities, and Professional Schools",2682544,512,2004,Female,New Mexico,5239.34
8,8,2912,2912,2912,High School Graduate,"Colleges, Universities, and Professional Schools",11260596,1764,2004,Female,New Mexico,6383.56
9,9,2913,2913,2913,Some College,"Colleges, Universities, and Professional Schools",22516115,3042,2004,Female,New Mexico,7401.75
10,10,2914,2914,2914,Advanced Degree,"Colleges, Universities, and Professional Schools",33493785,3282,2004,Female,New Mexico,10205.3
11,11,2915,2915,2915,Unavailable,"Colleges, Universities, and Professional Schools",1315048,358,2004,Female,New Mexico,3673.32
12,12,6504,6504,6504,All Education Categories,"Colleges, Universities, and Professional Schools",88643858,7420,2005,Male,New Mexico,11946.61
13,13,6505,6505,6505,Less Than High School,"Colleges, Universities, and Professional Schools",4022121,573,2005,Male,New Mexico,7019.41
14,14,6506,6506,6506,High School Graduate,"Colleges, Universities, and Professional Schools",12545869,1408,2005,Male,New Mexico,8910.42
15,15,6507,6507,6507,Some College,"Colleges, Universities, and Professional Schools",24646477,2225,2005,Male,New Mexico,11077.07
16,16,6508,6508,6508,Advanced Degree,"Colleges, Universities, and Professional Schools",46378827,2957,2005,Male,New Mexico,15684.42
17,17,6509,6509,6509,Unavailable,"Colleges, Universities, and Professional Schools",1050564,258,2005,Male,New Mexico,4071.95
18,18,6510,6510,6510,All Education Categories,"Colleges, Universities, and Professional Schools",75068777,8644,2005,Female,New Mexico,8684.5
19,19,6511,6511,6511,Less Than High School,"Colleges, Universities, and Professional Schools",2918734,514,2005,Female,New Mexico,5678.47
20,20,6512,6512,6512,High School Graduate,"Colleges, Universities, and Professional Schools",11905864,1720,2005,Female,New Mexico,6922.01
21,21,6513,6513,6513,Some College,"Colleges, Universities, and Professional Schools",23826412,2951,2005,Female,New Mexico,8074.01
22,22,6514,6514,6514,Advanced Degree,"Colleges, Universities, and Professional Schools",35070642,3161,2005,Female,New Mexico,11094.79
23,23,6515,6515,6515,Unavailable,"Colleges, Universities, and Professional Schools",1347124,299,2005,Female,New Mexico,4505.43
24,24,10080,10080,10080,All Education Categories,"Colleges, Universities, and Professional Schools",92461770,7954,2006,Male,New Mexico,11624.56
25,25,10081,10081,10081,Less Than High School,"Colleges, Universities, and Professional Schools",4276376,618,2006,Male,New Mexico,6919.7
26,26,10082,10082,10082,High School Graduate,"Colleges, Universities, and Professional Schools",13204727,1530,2006,Male,New Mexico,8630.54
27,27,10083,10083,10083,Some College,"Colleges, Universities, and Professional Schools",25546511,2381,2006,Male,New Mexico,10729.32
28,28,10084,10084,10084,Advanced Degree,"Colleges, Universities, and Professional Schools",48147041,3136,2006,Male,New Mexico,15353.01
29,29,10085,10085,10085,Unavailable,"Colleges, Universities, and Professional Schools",1287116,289,2006,Male,New Mexico,4453.69
30,30,10086,10086,10086,All Education Categories,"Colleges, Universities, and Professional Schools",78324309,9211,2006,Female,New Mexico,8503.34
31,31,10087,10087,10087,Less Than High School,"Colleges, Universities, and Professional Schools",3144955,573,2006,Female,New Mexico,5488.58
32,32,10088,10088,10088,High School Graduate,"Colleges, Universities, and Professional Schools",12507096,1837,2006,Female,New Mexico,6808.44
33,33,10089,10089,10089,Some College,"Colleges, Universities, and Professional Schools",24971850,3147,2006,Female,New Mexico,7935.13
34,34,10090,10090,10090,Advanced Degree,"Colleges, Universities, and Professional Schools",36266690,3309,2006,Female,New Mexico,10960.02
35,35,10091,10091,10091,Unavailable,"Colleges, Universities, and Professional Schools",1433717,345,2006,Female,New Mexico,4155.7
36,36,13656,13656,13656,All Education Categories,"Colleges, Universities, and Professional Schools",60528822,4966,2007,Male,New Mexico,12188.65
37,37,13657,13657,13657,Less Than High School,"Colleges, Universities, and Professional Schools",2756593,381,2007,Male,New Mexico,7235.15
38,38,13658,13658,13658,High School Graduate,"Colleges, Universities, and Professional Schools",8523113,969,2007,Male,New Mexico,8795.78
39,39,13659,13659,13659,Some College,"Colleges, Universities, and Professional Schools",16565563,1487,2007,Male,New Mexico,11140.26
40,40,13660,13660,13660,Advanced Degree,"Colleges, Universities, and Professional Schools",31456728,1973,2007,Male,New Mexico,15943.6
41,41,13661,13661,13661,Unavailable,"Colleges, Universities, and Professional Schools",1226824,156,2007,Male,New Mexico,7864.26
42,42,13662,13662,13662,All Education Categories,"Colleges, Universities, and Professional Schools",55517611,6025,2007,Female,New Mexico,9214.54
43,43,13663,13663,13663,Less Than High School,"Colleges, Universities, and Professional Schools",2120209,356,2007,Female,New Mexico,5955.64
44,44,13664,13664,13664,High School Graduate,"Colleges, Universities, and Professional Schools",8546766,1176,2007,Female,New Mexico,7267.66
45,45,13665,13665,13665,Some College,"Colleges, Universities, and Professional Schools",17529809,2048,2007,Female,New Mexico,8559.48
46,46,13666,13666,13666,Advanced Degree,"Colleges, Universities, and Professional Schools",26209231,2242,2007,Female,New Mexico,11690.11
47,47,13667,13667,13667,Unavailable,"Colleges, Universities, and Professional Schools",1111595,203,2007,Female,New Mexico,5475.84
48,48,17244,17244,17244,All Education Categories,"Colleges, Universities, and Professional Schools",99601214,7310,2008,Male,New Mexico,13625.34
49,49,17245,17245,17245,Less Than High School,"Colleges, Universities, and Professional Schools",5048071,599,2008,Male,New Mexico,8427.5
50,50,17246,17246,17246,High School Graduate,"Colleges, Universities, and Professional Schools",14992542,1425,2008,Male,New Mexico,10521.08
51,51,17247,17247,17247,Some College,"Colleges, Universities, and Professional Schools",27683608,2195,2008,Male,New Mexico,12612.12
52,52,17248,17248,17248,Advanced Degree,"Colleges, Universities, and Professional Schools",50803023,2844,2008,Male,New Mexico,17863.23
53,53,17249,17249,17249,Unavailable,"Colleges, Universities, and Professional Schools",1073969,247,2008,Male,New Mexico,4348.05
54,54,17250,17250,17250,All Education Categories,"Colleges, Universities, and Professional Schools",91653221,9048,2008,Female,New Mexico,10129.67
55,55,17251,17251,17251,Less Than High School,"Colleges, Universities, and Professional Schools",4161572,625,2008,Female,New Mexico,6658.52
56,56,17252,17252,17252,High School Graduate,"Colleges, Universities, and Professional Schools",15017768,1829,2008,Female,New Mexico,8210.92
57,57,17253,17253,17253,Some College,"Colleges, Universities, and Professional Schools",29629802,3101,2008,Female,New Mexico,9554.92
58,58,17254,17254,17254,Advanced Degree,"Colleges, Universities, and Professional Schools",41472698,3191,2008,Female,New Mexico,12996.77
59,59,17255,17255,17255,Unavailable,"Colleges, Universities, and Professional Schools",1371382,303,2008,Female,New Mexico,4526.01
60,60,20808,20808,20808,All Education Categories,"Colleges, Universities, and Professional Schools",102604111,7022,2009,Male,New Mexico,14611.81
61,61,20809,20809,20809,Less Than High School,"Colleges, Universities, and Professional Schools",5549441,590,2009,Male,New Mexico,9405.83
62,62,20810,20810,20810,High School Graduate,"Colleges, Universities, and Professional Schools",15725145,1388,2009,Male,New Mexico,11329.36
63,63,20811,20811,20811,Some College,"Colleges, Universities, and Professional Schools",28708125,2107,2009,Male,New Mexico,13625.12
64,64,20812,20812,20812,Advanced Degree,"Colleges, Universities, and Professional Schools",51464137,2717,2009,Male,New Mexico,18941.53
65,65,20813,20813,20813,Unavailable,"Colleges, Universities, and Professional Schools",1157263,220,2009,Male,New Mexico,5260.29
66,66,20814,20814,20814,All Education Categories,"Colleges, Universities, and Professional Schools",95167925,8766,2009,Female,New Mexico,10856.48
67,67,20815,20815,20815,Less Than High School,"Colleges, Universities, and Professional Schools",4575653,638,2009,Female,New Mexico,7171.87
68,68,20816,20816,20816,High School Graduate,"Colleges, Universities, and Professional Schools",15841961,1789,2009,Female,New Mexico,8855.2
69,69,20817,20817,20817,Some College,"Colleges, Universities, and Professional Schools",30778539,3000,2009,Female,New Mexico,10259.51
70,70,20818,20818,20818,Advanced Degree,"Colleges, Universities, and Professional Schools",42500976,3048,2009,Female,New Mexico,13943.89
71,71,20819,20819,20819,Unavailable,"Colleges, Universities, and Professional Schools",1470797,291,2009,Female,New Mexico,5054.29
72,72,24360,24360,24360,All Education Categories,"Colleges, Universities, and Professional Schools",96451769,7172,2010,Male,New Mexico,13448.38
73,73,24361,24361,24361,Less Than High School,"Colleges, Universities, and Professional Schools",5516121,655,2010,Male,New Mexico,8421.56
74,74,24362,24362,24362,High School Graduate,"Colleges, Universities, and Professional Schools",14922426,1450,2010,Male,New Mexico,10291.33
75,75,24363,24363,24363,Some College,"Colleges, Universities, and Professional Schools",26778035,2159,2010,Male,New Mexico,12402.98
76,76,24364,24364,24364,Advanced Degree,"Colleges, Universities, and Professional Schools",48335874,2709,2010,Male,New Mexico,17842.7
77,77,24365,24365,24365,Unavailable,"Colleges, Universities, and Professional Schools",899314,199,2010,Male,New Mexico,4519.17
78,78,24366,24366,24366,All Education Categories,"Colleges, Universities, and Professional Schools",90926694,9011,2010,Female,New Mexico,10090.63
79,79,24367,24367,24367,Less Than High School,"Colleges, Universities, and Professional Schools",4652732,689,2010,Female,New Mexico,6752.88
80,80,24368,24368,24368,High School Graduate,"Colleges, Universities, and Professional Schools",15394776,1874,2010,Female,New Mexico,8214.93
81,81,24369,24369,24369,Some College,"Colleges, Universities, and Professional Schools",29266694,3094,2010,Female,New Mexico,9459.18
82,82,24370,24370,24370,Advanced Degree,"Colleges, Universities, and Professional Schools",40358761,3091,2010,Female,New Mexico,13056.86
83,83,24371,24371,24371,Unavailable,"Colleges, Universities, and Professional Schools",1253731,262,2010,Female,New Mexico,4785.23
84,84,27924,27924,27924,All Education Categories,"Colleges, Universities, and Professional Schools",89566593,6690,2011,Male,New Mexico,13388.13
85,85,27925,27925,27925,Less Than High School,"Colleges, Universities, and Professional Schools",5365819,643,2011,Male,New Mexico,8344.98
86,86,27926,27926,27926,High School Graduate,"Colleges, Universities, and Professional Schools",14313140,1394,2011,Male,New Mexico,10267.68
87,87,27927,27927,27927,Some College,"Colleges, Universities, and Professional Schools",24714150,2007,2011,Male,New Mexico,12313.98
88,88,27928,27928,27928,Advanced Degree,"Colleges, Universities, and Professional Schools",44426089,2488,2011,Male,New Mexico,17856.15
89,89,27929,27929,27929,Unavailable,"Colleges, Universities, and Professional Schools",747396,158,2011,Male,New Mexico,4730.35
90,90,27930,27930,27930,All Education Categories,"Colleges, Universities, and Professional Schools",89177492,8642,2011,Female,New Mexico,10319.08
91,91,27931,27931,27931,Less Than High School,"Colleges, Universities, and Professional Schools",4975849,698,2011,Female,New Mexico,7128.72
92,92,27932,27932,27932,High School Graduate,"Colleges, Universities, and Professional Schools",15220867,1797,2011,Female,New Mexico,8470.15
93,93,27933,27933,27933,Some College,"Colleges, Universities, and Professional Schools",28847606,2986,2011,Female,New Mexico,9660.95
94,94,27934,27934,27934,Advanced Degree,"Colleges, Universities, and Professional Schools",39134580,2976,2011,Female,New Mexico,13150.06
95,95,27935,27935,27935,Unavailable,"Colleges, Universities, and Professional Schools",998591,185,2011,Female,New Mexico,5397.79
96,96,31512,31512,31512,All Education Categories,"Colleges, Universities, and Professional Schools",97656329,6818,2012,Male,New Mexico,14323.31
97,97,31513,31513,31513,Less Than High School,"Colleges, Universities, and Professional Schools",6354512,686,2012,Male,New Mexico,9263.14
98,98,31514,31514,31514,High School Graduate,"Colleges, Universities, and Professional Schools",15874851,1439,2012,Male,New Mexico,11031.86
99,99,31515,31515,31515,Some College,"Colleges, Universities, and Professional Schools",27135130,2048,2012,Male,New Mexico,13249.58
100,100,31516,31516,31516,Advanced Degree,"Colleges, Universities, and Professional Schools",47453736,2479,2012,Male,New Mexico,19142.29
101,101,31517,31517,31517,Unavailable,"Colleges, Universities, and Professional Schools",838099,166,2012,Male,New Mexico,5048.79
102,102,31518,31518,31518,All Education Categories,"Colleges, Universities, and Professional Schools",94361076,8494,2012,Female,New Mexico,11109.14
103,103,31519,31519,31519,Less Than High School,"Colleges, Universities, and Professional Schools",5728578,721,2012,Female,New Mexico,7945.32
104,104,31520,31520,31520,High School Graduate,"Colleges, Universities, and Professional Schools",16529312,1779,2012,Female,New Mexico,9291.35
105,105,31521,31521,31521,Some College,"Colleges, Universities, and Professional Schools",30856517,2930,2012,Female,New Mexico,10531.23
106,106,31522,31522,31522,Advanced Degree,"Colleges, Universities, and Professional Schools",40201538,2869,2012,Female,New Mexico,14012.39
107,107,31523,31523,31523,Unavailable,"Colleges, Universities, and Professional Schools",1045131,196,2012,Female,New Mexico,5332.3
108,108,33132,33132,33132,All Education Categories,Educational Services,222123362,25097,2004,Male,New Mexico,8850.59
109,109,33133,33133,33133,Less Than High School,Educational Services,14325242,2279,2004,Male,New Mexico,6285.76
110,110,33134,33134,33134,High School Graduate,Educational Services,41817335,5581,2004,Male,New Mexico,7492.8
111,111,33135,33135,33135,Some College,Educational Services,67283187,7708,2004,Male,New Mexico,8729.01
112,112,33136,33136,33136,Advanced Degree,Educational Services,94852861,8200,2004,Male,New Mexico,11567.42
113,113,33137,33137,33137,Unavailable,Educational Services,3844737,1329,2004,Male,New Mexico,2892.95
114,114,33138,33138,33138,All Education Categories,Educational Services,382338979,54711,2004,Female,New Mexico,6988.34
115,115,33139,33139,33139,Less Than High School,Educational Services,17312356,4086,2004,Female,New Mexico,4236.99
