,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,3000,3000,3000,All Education Categories,"Colleges, Universities, and Professional Schools",1112018367,101674,2004,Male,New York,10937.1
1,1,3001,3001,3001,Less Than High School,"Colleges, Universities, and Professional Schools",30555891,3940,2004,Male,New York,7755.3
2,2,3002,3002,3002,High School Graduate,"Colleges, Universities, and Professional Schools",116716640,12498,2004,Male,New York,9338.83
3,3,3003,3003,3003,Some College,"Colleges, Universities, and Professional Schools",222549719,20130,2004,Male,New York,11055.62
4,4,3004,3004,3004,Advanced Degree,"Colleges, Universities, and Professional Schools",711214284,45336,2004,Male,New York,15687.63
5,5,3005,3005,3005,Unavailable,"Colleges, Universities, and Professional Schools",30981833,19770,2004,Male,New York,1567.11
6,6,3006,3006,3006,All Education Categories,"Colleges, Universities, and Professional Schools",897424549,116180,2004,Female,New York,7724.43
7,7,3007,3007,3007,Less Than High School,"Colleges, Universities, and Professional Schools",19089042,3257,2004,Female,New York,5860.93
8,8,3008,3008,3008,High School Graduate,"Colleges, Universities, and Professional Schools",104660806,14500,2004,Female,New York,7217.99
9,9,3009,3009,3009,Some College,"Colleges, Universities, and Professional Schools",215176295,25008,2004,Female,New York,8604.3
10,10,3010,3010,3010,Advanced Degree,"Colleges, Universities, and Professional Schools",519224110,44175,2004,Female,New York,11753.8
11,11,3011,3011,3011,Unavailable,"Colleges, Universities, and Professional Schools",39274295,29241,2004,Female,New York,1343.12
12,12,6708,6708,6708,All Education Categories,"Colleges, Universities, and Professional Schools",1259417397,97788,2005,Male,New York,12879.06
13,13,6709,6709,6709,Less Than High School,"Colleges, Universities, and Professional Schools",33929007,3802,2005,Male,New York,8923.99
14,14,6710,6710,6710,High School Graduate,"Colleges, Universities, and Professional Schools",128894155,12162,2005,Male,New York,10598.11
15,15,6711,6711,6711,Some College,"Colleges, Universities, and Professional Schools",249768592,19499,2005,Male,New York,12809.3
16,16,6712,6712,6712,Advanced Degree,"Colleges, Universities, and Professional Schools",814335967,43038,2005,Male,New York,18921.32
17,17,6713,6713,6713,Unavailable,"Colleges, Universities, and Professional Schools",32489677,19286,2005,Male,New York,1684.62
18,18,6714,6714,6714,All Education Categories,"Colleges, Universities, and Professional Schools",1014638587,111125,2005,Female,New York,9130.61
19,19,6715,6715,6715,Less Than High School,"Colleges, Universities, and Professional Schools",21634447,3132,2005,Female,New York,6907.55
20,20,6716,6716,6716,High School Graduate,"Colleges, Universities, and Professional Schools",115007671,14116,2005,Female,New York,8147.33
21,21,6717,6717,6717,Some College,"Colleges, Universities, and Professional Schools",240441738,24156,2005,Female,New York,9953.71
22,22,6718,6718,6718,Advanced Degree,"Colleges, Universities, and Professional Schools",596184975,41934,2005,Female,New York,14217.22
