,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,All Education Categories,00,20254830183,1785798,2004,Male,North Carolina,11342.17
1,1,1,1,1,Less Than High School,00,1523760009,215918,2004,Male,North Carolina,7057.12
2,2,2,2,2,High School Graduate,00,4505606615,497984,2004,Male,North Carolina,9047.69
3,3,3,3,3,Some College,00,5359522268,471785,2004,Male,North Carolina,11360.09
4,4,4,4,4,Advanced Degree,00,7964319624,382114,2004,Male,North Carolina,20842.78
5,5,5,5,5,Unavailable,00,901621667,217998,2004,Male,North Carolina,4135.92
6,6,6,6,6,All Education Categories,00,12818741020,1834394,2004,Female,North Carolina,6988.0
7,7,7,7,7,Less Than High School,00,797353427,169683,2004,Female,North Carolina,4699.08
8,8,8,8,8,High School Graduate,00,2841718232,485357,2004,Female,North Carolina,5854.9
9,9,9,9,9,Some College,00,3901690614,538776,2004,Female,North Carolina,7241.77
10,10,10,10,10,Advanced Degree,00,4439942711,392596,2004,Female,North Carolina,11309.19
11,11,11,11,11,Unavailable,00,838036037,247981,2004,Female,North Carolina,3379.44
12,12,60,60,60,All Education Categories,Manufacturing,4745332217,376503,2004,Male,North Carolina,12603.7
13,13,61,61,61,Less Than High School,Manufacturing,437320671,52791,2004,Male,North Carolina,8284.0
14,14,62,62,62,High School Graduate,Manufacturing,1349811525,128972,2004,Male,North Carolina,10465.93
15,15,63,63,63,Some College,Manufacturing,1414400680,108661,2004,Male,North Carolina,13016.64
16,16,64,64,64,Advanced Degree,Manufacturing,1404397418,62966,2004,Male,North Carolina,22304.06
17,17,65,65,65,Unavailable,Manufacturing,139401923,23113,2004,Male,North Carolina,6031.32
18,18,66,66,66,All Education Categories,Manufacturing,1762834829,213640,2004,Female,North Carolina,8251.43
19,19,67,67,67,Less Than High School,Manufacturing,168647131,29667,2004,Female,North Carolina,5684.67
20,20,68,68,68,High School Graduate,Manufacturing,564710577,81630,2004,Female,North Carolina,6917.93
21,21,69,69,69,Some College,Manufacturing,534451152,61919,2004,Female,North Carolina,8631.46
22,22,70,70,70,Advanced Degree,Manufacturing,434550911,28654,2004,Female,North Carolina,15165.45
23,23,71,71,71,Unavailable,Manufacturing,60475058,11770,2004,Female,North Carolina,5138.07
24,24,84,84,84,All Education Categories,Retail Trade,1553392660,212992,2004,Male,North Carolina,7293.2
25,25,85,85,85,Less Than High School,Retail Trade,156140357,25625,2004,Male,North Carolina,6093.28
26,26,86,86,86,High School Graduate,Retail Trade,466693088,62053,2004,Male,North Carolina,7520.88
27,27,87,87,87,Some College,Retail Trade,449297282,51244,2004,Male,North Carolina,8767.8
28,28,88,88,88,Advanced Degree,Retail Trade,327238450,25785,2004,Male,North Carolina,12691.04
29,29,89,89,89,Unavailable,Retail Trade,154023484,48285,2004,Male,North Carolina,3189.88
30,30,90,90,90,All Education Categories,Retail Trade,934606985,224165,2004,Female,North Carolina,4169.28
31,31,91,91,91,Less Than High School,Retail Trade,97430639,25451,2004,Female,North Carolina,3828.17
