,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,1256316289,141401,2004,Male,North Dakota,8884.78
1,1,1,1,1,1,Less Than High School,00,70093658,11208,2004,Male,North Dakota,6253.9
2,2,2,2,2,2,High School Graduate,00,318143931,40144,2004,Male,North Dakota,7925.07
3,3,3,3,3,3,Some College,00,367701760,38242,2004,Male,North Dakota,9615.13
4,4,4,4,4,4,Advanced Degree,00,417409512,26618,2004,Male,North Dakota,15681.48
5,5,5,5,5,5,Unavailable,00,82967428,25188,2004,Male,North Dakota,3293.93
6,6,6,6,6,6,All Education Categories,00,821485183,154612,2004,Female,North Dakota,5313.2
7,7,7,7,7,7,Less Than High School,00,29402789,7910,2004,Female,North Dakota,3717.17
8,8,8,8,8,8,High School Graduate,00,181989981,38835,2004,Female,North Dakota,4686.24
9,9,9,9,9,9,Some College,00,277957043,47808,2004,Female,North Dakota,5814.03
10,10,10,10,10,10,Advanced Degree,00,258750416,30718,2004,Female,North Dakota,8423.41
11,11,11,11,11,11,Unavailable,00,73384954,29341,2004,Female,North Dakota,2501.11
12,12,60,60,60,60,All Education Categories,Manufacturing,164589634,17240,2004,Male,North Dakota,9546.96
13,13,61,61,61,61,Less Than High School,Manufacturing,11884923,1585,2004,Male,North Dakota,7498.37
14,14,62,62,62,62,High School Graduate,Manufacturing,55700678,6273,2004,Male,North Dakota,8879.43
15,15,63,63,63,63,Some College,Manufacturing,53958423,5213,2004,Male,North Dakota,10350.74
16,16,64,64,64,64,Advanced Degree,Manufacturing,32233148,2229,2004,Male,North Dakota,14460.81
17,17,65,65,65,65,Unavailable,Manufacturing,10812463,1941,2004,Male,North Dakota,5570.56
18,18,66,66,66,66,All Education Categories,Manufacturing,38603637,6128,2004,Female,North Dakota,6299.55
19,19,67,67,67,67,Less Than High School,Manufacturing,2731057,518,2004,Female,North Dakota,5272.31
20,20,68,68,68,68,High School Graduate,Manufacturing,13421575,2231,2004,Female,North Dakota,6015.95
21,21,69,69,69,69,Some College,Manufacturing,13583535,1989,2004,Female,North Dakota,6829.33
22,22,70,70,70,70,Advanced Degree,Manufacturing,6233549,741,2004,Female,North Dakota,8412.35
23,23,71,71,71,71,Unavailable,Manufacturing,2633921,649,2004,Female,North Dakota,4058.43
24,24,84,84,84,84,All Education Categories,Retail Trade,123489259,19273,2004,Male,North Dakota,6407.37
25,25,85,85,85,85,Less Than High School,Retail Trade,8881693,1547,2004,Male,North Dakota,5741.24
26,26,86,86,86,86,High School Graduate,Retail Trade,40188681,5522,2004,Male,North Dakota,7277.92
27,27,87,87,87,87,Some College,Retail Trade,37733659,4456,2004,Male,North Dakota,8468.06
28,28,88,88,88,88,Advanced Degree,Retail Trade,20999842,1772,2004,Male,North Dakota,11850.93
29,29,89,89,89,89,Unavailable,Retail Trade,15685383,5976,2004,Male,North Dakota,2624.73
30,30,90,90,90,90,All Education Categories,Retail Trade,71741982,20577,2004,Female,North Dakota,3486.51
31,31,91,91,91,91,Less Than High School,Retail Trade,4272093,1302,2004,Female,North Dakota,3281.18
32,32,92,92,92,92,High School Graduate,Retail Trade,23451315,5912,2004,Female,North Dakota,3966.73
33,33,93,93,93,93,Some College,Retail Trade,21038340,4782,2004,Female,North Dakota,4399.49
34,34,94,94,94,94,Advanced Degree,Retail Trade,9837294,1758,2004,Female,North Dakota,5595.73
35,35,95,95,95,95,Unavailable,Retail Trade,13142940,6824,2004,Female,North Dakota,1925.99
36,36,120,120,120,120,All Education Categories,Finance and Insurance,73113043,4265,2004,Male,North Dakota,17142.57
37,37,121,121,121,121,Less Than High School,Finance and Insurance,1161596,129,2004,Male,North Dakota,9004.62
38,38,122,122,122,122,High School Graduate,Finance and Insurance,7128081,662,2004,Male,North Dakota,10767.49
39,39,123,123,123,123,Some College,Finance and Insurance,15388067,1055,2004,Male,North Dakota,14585.85
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,47378041,2007,2004,Male,North Dakota,23606.4
41,41,125,125,125,125,Unavailable,Finance and Insurance,2057258,412,2004,Male,North Dakota,4993.34
42,42,126,126,126,126,All Education Categories,Finance and Insurance,78560757,10640,2004,Female,North Dakota,7383.53
43,43,127,127,127,127,Less Than High School,Finance and Insurance,1385729,262,2004,Female,North Dakota,5289.04
44,44,128,128,128,128,High School Graduate,Finance and Insurance,15335309,2465,2004,Female,North Dakota,6221.22
45,45,129,129,129,129,Some College,Finance and Insurance,26824646,3695,2004,Female,North Dakota,7259.71
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,29437722,2991,2004,Female,North Dakota,9842.1
47,47,131,131,131,131,Unavailable,Finance and Insurance,5577351,1227,2004,Female,North Dakota,4545.52
48,48,180,180,180,180,All Education Categories,Educational Services,88253326,10113,2004,Male,North Dakota,8726.72
49,49,181,181,181,181,Less Than High School,Educational Services,2959531,549,2004,Male,North Dakota,5390.77
