,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,28556524872,2525140,2004,Male,Ohio,11308.89
1,1,1,1,1,1,Less Than High School,00,1569960697,216713,2004,Male,Ohio,7244.42
2,2,2,2,2,2,High School Graduate,00,6646676747,711179,2004,Male,Ohio,9346.0
3,3,3,3,3,3,Some College,00,7630654877,657530,2004,Male,Ohio,11605.03
4,4,4,4,4,4,Advanced Degree,00,11402137741,590131,2004,Male,Ohio,19321.37
5,5,5,5,5,5,Unavailable,00,1307094810,349587,2004,Male,Ohio,3738.97
6,6,6,6,6,6,All Education Categories,00,17046531879,2524231,2004,Female,Ohio,6753.16
7,7,7,7,7,7,Less Than High School,00,674889872,154945,2004,Female,Ohio,4355.67
8,8,8,8,8,8,High School Graduate,00,3661562001,658515,2004,Female,Ohio,5560.33
9,9,9,9,9,9,Some College,00,5156399488,733966,2004,Female,Ohio,7025.39
10,10,10,10,10,10,Advanced Degree,00,6390845387,587254,2004,Female,Ohio,10882.59
11,11,11,11,11,11,Unavailable,00,1162835131,389552,2004,Female,Ohio,2985.06
12,12,60,60,60,60,All Education Categories,Manufacturing,7449171476,586444,2004,Male,Ohio,12702.27
13,13,61,61,61,61,Less Than High School,Manufacturing,513915818,55318,2004,Male,Ohio,9290.21
14,14,62,62,62,62,High School Graduate,Manufacturing,2367957103,214706,2004,Male,Ohio,11028.84
15,15,63,63,63,63,Some College,Manufacturing,2291883378,174027,2004,Male,Ohio,13169.7
16,16,64,64,64,64,Advanced Degree,Manufacturing,2044379599,104092,2004,Male,Ohio,19640.12
17,17,65,65,65,65,Unavailable,Manufacturing,231035578,38302,2004,Male,Ohio,6031.95
18,18,66,66,66,66,All Education Categories,Manufacturing,1940982794,232579,2004,Female,Ohio,8345.48
19,19,67,67,67,67,Less Than High School,Manufacturing,117313966,18833,2004,Female,Ohio,6229.17
20,20,68,68,68,68,High School Graduate,Manufacturing,649358143,88566,2004,Female,Ohio,7331.91
21,21,69,69,69,69,Some College,Manufacturing,627206755,72114,2004,Female,Ohio,8697.43
22,22,70,70,70,70,Advanced Degree,Manufacturing,471156367,37448,2004,Female,Ohio,12581.62
23,23,71,71,71,71,Unavailable,Manufacturing,75947563,15618,2004,Female,Ohio,4862.82
24,24,84,84,84,84,All Education Categories,Retail Trade,2079160703,289469,2004,Male,Ohio,7182.67
25,25,85,85,85,85,Less Than High School,Retail Trade,166058062,28634,2004,Male,Ohio,5799.33
26,26,86,86,86,86,High School Graduate,Retail Trade,633126901,85020,2004,Male,Ohio,7446.8
27,27,87,87,87,87,Some College,Retail Trade,583826418,64985,2004,Male,Ohio,8984.02
28,28,88,88,88,88,Advanced Degree,Retail Trade,470447057,34700,2004,Male,Ohio,13557.55
29,29,89,89,89,89,Unavailable,Retail Trade,225702265,76130,2004,Male,Ohio,2964.7
30,30,90,90,90,90,All Education Categories,Retail Trade,1360308527,327909,2004,Female,Ohio,4148.43
31,31,91,91,91,91,Less Than High School,Retail Trade,102165142,28307,2004,Female,Ohio,3609.18
32,32,92,92,92,92,High School Graduate,Retail Trade,451434956,104867,2004,Female,Ohio,4304.83
33,33,93,93,93,93,Some College,Retail Trade,370600351,73672,2004,Female,Ohio,5030.41
34,34,94,94,94,94,Advanced Degree,Retail Trade,240195584,31519,2004,Female,Ohio,7620.66
35,35,95,95,95,95,Unavailable,Retail Trade,195912493,89544,2004,Female,Ohio,2187.89
36,36,120,120,120,120,All Education Categories,Finance and Insurance,1900552426,77256,2004,Male,Ohio,24600.71
37,37,121,121,121,121,Less Than High School,Finance and Insurance,22022754,2170,2004,Male,Ohio,10148.73
38,38,122,122,122,122,High School Graduate,Finance and Insurance,143772419,10146,2004,Male,Ohio,14170.35
39,39,123,123,123,123,Some College,Finance and Insurance,338222758,17727,2004,Male,Ohio,19079.53
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,1353622109,40876,2004,Male,Ohio,33115.33
41,41,125,125,125,125,Unavailable,Finance and Insurance,42912385,6337,2004,Male,Ohio,6771.72
42,42,126,126,126,126,All Education Categories,Finance and Insurance,1452115060,148144,2004,Female,Ohio,9802.05
43,43,127,127,127,127,Less Than High School,Finance and Insurance,22269178,3682,2004,Female,Ohio,6048.12
44,44,128,128,128,128,High School Graduate,Finance and Insurance,225843690,31138,2004,Female,Ohio,7252.99
45,45,129,129,129,129,Some College,Finance and Insurance,382770117,43460,2004,Female,Ohio,8807.41
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,737894236,54057,2004,Female,Ohio,13650.3
47,47,131,131,131,131,Unavailable,Finance and Insurance,83337839,15806,2004,Female,Ohio,5272.54
48,48,180,180,180,180,All Education Categories,Educational Services,1430357228,142043,2004,Male,Ohio,10069.89
49,49,181,181,181,181,Less Than High School,Educational Services,40326944,6419,2004,Male,Ohio,6282.43
