,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,6491020387,672301,2004,Male,Oklahoma,9654.93
1,1,1,1,1,1,Less Than High School,00,489800558,71892,2004,Male,Oklahoma,6813.01
2,2,2,2,2,2,High School Graduate,00,1609403234,186318,2004,Male,Oklahoma,8637.94
3,3,3,3,3,3,Some College,00,1835400161,178652,2004,Male,Oklahoma,10273.61
4,4,4,4,4,4,Advanced Degree,00,2156889101,132075,2004,Male,Oklahoma,16330.79
5,5,5,5,5,5,Unavailable,00,399527333,103365,2004,Male,Oklahoma,3865.21
6,6,6,6,6,6,All Education Categories,00,4015541844,675627,2004,Female,Oklahoma,5943.43
7,7,7,7,7,7,Less Than High School,00,224002270,53130,2004,Female,Oklahoma,4216.12
8,8,8,8,8,8,High School Graduate,00,896738640,171741,2004,Female,Oklahoma,5221.46
9,9,9,9,9,9,Some College,00,1276584779,200224,2004,Female,Oklahoma,6375.78
10,10,10,10,10,10,Advanced Degree,00,1284492360,139354,2004,Female,Oklahoma,9217.48
11,11,11,11,11,11,Unavailable,00,333723797,111177,2004,Female,Oklahoma,3001.73
12,12,60,60,60,60,All Education Categories,Manufacturing,1116837025,106066,2004,Male,Oklahoma,10529.64
13,13,61,61,61,61,Less Than High School,Manufacturing,110103106,13787,2004,Male,Oklahoma,7986.01
14,14,62,62,62,62,High School Graduate,Manufacturing,358493895,36802,2004,Male,Oklahoma,9741.15
15,15,63,63,63,63,Some College,Manufacturing,351632921,31122,2004,Male,Oklahoma,11298.53
16,16,64,64,64,64,Advanced Degree,Manufacturing,242602432,14882,2004,Male,Oklahoma,16301.74
17,17,65,65,65,65,Unavailable,Manufacturing,54004672,9475,2004,Male,Oklahoma,5699.7
18,18,66,66,66,66,All Education Categories,Manufacturing,267829241,36925,2004,Female,Oklahoma,7253.33
19,19,67,67,67,67,Less Than High School,Manufacturing,27887733,4867,2004,Female,Oklahoma,5729.96
20,20,68,68,68,68,High School Graduate,Manufacturing,84944053,12624,2004,Female,Oklahoma,6728.77
21,21,69,69,69,69,Some College,Manufacturing,85125963,11063,2004,Female,Oklahoma,7694.65
22,22,70,70,70,70,Advanced Degree,Manufacturing,55807760,5207,2004,Female,Oklahoma,10717.83
23,23,71,71,71,71,Unavailable,Manufacturing,14063732,3165,2004,Female,Oklahoma,4443.52
24,24,84,84,84,84,All Education Categories,Retail Trade,550760901,81472,2004,Male,Oklahoma,6760.12
