,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2964,2964,2964,2964,All Education Categories,"Colleges, Universities, and Professional Schools",178131893,14962,2004,Male,Oregon,11905.62
1,1,2965,2965,2965,2965,Less Than High School,"Colleges, Universities, and Professional Schools",3204455,427,2004,Male,Oregon,7504.58
2,2,2966,2966,2966,2966,High School Graduate,"Colleges, Universities, and Professional Schools",16576248,1849,2004,Male,Oregon,8964.98
3,3,2967,2967,2967,2967,Some College,"Colleges, Universities, and Professional Schools",35302195,3349,2004,Male,Oregon,10541.12
4,4,2968,2968,2968,2968,Advanced Degree,"Colleges, Universities, and Professional Schools",120448244,8351,2004,Male,Oregon,14423.21
5,5,2969,2969,2969,2969,Unavailable,"Colleges, Universities, and Professional Schools",2600751,985,2004,Male,Oregon,2640.36
6,6,2970,2970,2970,2970,All Education Categories,"Colleges, Universities, and Professional Schools",183814916,20349,2004,Female,Oregon,9033.12
7,7,2971,2971,2971,2971,Less Than High School,"Colleges, Universities, and Professional Schools",2822281,452,2004,Female,Oregon,6243.98
8,8,2972,2972,2972,2972,High School Graduate,"Colleges, Universities, and Professional Schools",21591841,2930,2004,Female,Oregon,7369.23
9,9,2973,2973,2973,2973,Some College,"Colleges, Universities, and Professional Schools",48235667,5657,2004,Female,Oregon,8526.72
10,10,2974,2974,2974,2974,Advanced Degree,"Colleges, Universities, and Professional Schools",105982928,9641,2004,Female,Oregon,10992.94
11,11,2975,2975,2975,2975,Unavailable,"Colleges, Universities, and Professional Schools",5182199,1669,2004,Female,Oregon,3104.97
12,12,6660,6660,6660,6660,All Education Categories,"Colleges, Universities, and Professional Schools",177423701,15225,2005,Male,Oregon,11653.45
13,13,6661,6661,6661,6661,Less Than High School,"Colleges, Universities, and Professional Schools",3304690,459,2005,Male,Oregon,7199.76
14,14,6662,6662,6662,6662,High School Graduate,"Colleges, Universities, and Professional Schools",16836879,1925,2005,Male,Oregon,8746.43
15,15,6663,6663,6663,6663,Some College,"Colleges, Universities, and Professional Schools",35886975,3484,2005,Male,Oregon,10300.51
16,16,6664,6664,6664,6664,Advanced Degree,"Colleges, Universities, and Professional Schools",119020542,8452,2005,Male,Oregon,14081.94
17,17,6665,6665,6665,6665,Unavailable,"Colleges, Universities, and Professional Schools",2374616,905,2005,Male,Oregon,2623.89
18,18,6666,6666,6666,6666,All Education Categories,"Colleges, Universities, and Professional Schools",182974339,20814,2005,Female,Oregon,8790.93
19,19,6667,6667,6667,6667,Less Than High School,"Colleges, Universities, and Professional Schools",2867436,474,2005,Female,Oregon,6049.44
20,20,6668,6668,6668,6668,High School Graduate,"Colleges, Universities, and Professional Schools",21679200,3053,2005,Female,Oregon,7100.95
21,21,6669,6669,6669,6669,Some College,"Colleges, Universities, and Professional Schools",48269996,5854,2005,Female,Oregon,8245.64
22,22,6670,6670,6670,6670,Advanced Degree,"Colleges, Universities, and Professional Schools",105345218,9897,2005,Female,Oregon,10644.16
23,23,6671,6671,6671,6671,Unavailable,"Colleges, Universities, and Professional Schools",4812490,1536,2005,Female,Oregon,3133.13
24,24,10368,10368,10368,10368,All Education Categories,"Colleges, Universities, and Professional Schools",188079043,15398,2006,Male,Oregon,12214.51
25,25,10369,10369,10369,10369,Less Than High School,"Colleges, Universities, and Professional Schools",3646235,481,2006,Male,Oregon,7580.53
26,26,10370,10370,10370,10370,High School Graduate,"Colleges, Universities, and Professional Schools",18063596,1971,2006,Male,Oregon,9164.69
27,27,10371,10371,10371,10371,Some College,"Colleges, Universities, and Professional Schools",38612430,3568,2006,Male,Oregon,10821.87
28,28,10372,10372,10372,10372,Advanced Degree,"Colleges, Universities, and Professional Schools",125266248,8462,2006,Male,Oregon,14803.39
29,29,10373,10373,10373,10373,Unavailable,"Colleges, Universities, and Professional Schools",2490534,916,2006,Male,Oregon,2718.92
30,30,10374,10374,10374,10374,All Education Categories,"Colleges, Universities, and Professional Schools",196780503,21578,2006,Female,Oregon,9119.5
31,31,10375,10375,10375,10375,Less Than High School,"Colleges, Universities, and Professional Schools",3177720,497,2006,Female,Oregon,6393.8
32,32,10376,10376,10376,10376,High School Graduate,"Colleges, Universities, and Professional Schools",23472070,3139,2006,Female,Oregon,7477.56
33,33,10377,10377,10377,10377,Some College,"Colleges, Universities, and Professional Schools",51958185,6013,2006,Female,Oregon,8640.98
34,34,10378,10378,10378,10378,Advanced Degree,"Colleges, Universities, and Professional Schools",112944358,10174,2006,Female,Oregon,11101.27
35,35,10379,10379,10379,10379,Unavailable,"Colleges, Universities, and Professional Schools",5228170,1756,2006,Female,Oregon,2977.32
36,36,14076,14076,14076,14076,All Education Categories,"Colleges, Universities, and Professional Schools",199087728,15657,2007,Male,Oregon,12715.57
