,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,3012,3012,3012,3012,All Education Categories,"Colleges, Universities, and Professional Schools",823460751,58564,2004,Male,Pennsylvania,14060.87
1,1,3013,3013,3013,3013,Less Than High School,"Colleges, Universities, and Professional Schools",16701135,2049,2004,Male,Pennsylvania,8150.87
2,2,3014,3014,3014,3014,High School Graduate,"Colleges, Universities, and Professional Schools",77055251,8012,2004,Male,Pennsylvania,9617.48
3,3,3015,3015,3015,3015,Some College,"Colleges, Universities, and Professional Schools",144299960,12288,2004,Male,Pennsylvania,11743.16
4,4,3016,3016,3016,3016,Advanced Degree,"Colleges, Universities, and Professional Schools",574000908,33353,2004,Male,Pennsylvania,17209.87
5,5,3017,3017,3017,3017,Unavailable,"Colleges, Universities, and Professional Schools",11403497,2862,2004,Male,Pennsylvania,3984.45
6,6,3018,3018,3018,3018,All Education Categories,"Colleges, Universities, and Professional Schools",634335269,66005,2004,Female,Pennsylvania,9610.41
7,7,3019,3019,3019,3019,Less Than High School,"Colleges, Universities, and Professional Schools",11411420,1807,2004,Female,Pennsylvania,6315.12
8,8,3020,3020,3020,3020,High School Graduate,"Colleges, Universities, and Professional Schools",81488139,11256,2004,Female,Pennsylvania,7239.53
9,9,3021,3021,3021,3021,Some College,"Colleges, Universities, and Professional Schools",147977445,17281,2004,Female,Pennsylvania,8563.01
10,10,3022,3022,3022,3022,Advanced Degree,"Colleges, Universities, and Professional Schools",375827733,31199,2004,Female,Pennsylvania,12046.15
11,11,3023,3023,3023,3023,Unavailable,"Colleges, Universities, and Professional Schools",17630531,4461,2004,Female,Pennsylvania,3952.15
12,12,6732,6732,6732,6732,All Education Categories,"Colleges, Universities, and Professional Schools",886103854,55408,2005,Male,Pennsylvania,15992.35
13,13,6733,6733,6733,6733,Less Than High School,"Colleges, Universities, and Professional Schools",18166671,1992,2005,Male,Pennsylvania,9119.81
14,14,6734,6734,6734,6734,High School Graduate,"Colleges, Universities, and Professional Schools",83099544,7497,2005,Male,Pennsylvania,11084.37
15,15,6735,6735,6735,6735,Some College,"Colleges, Universities, and Professional Schools",156355216,11678,2005,Male,Pennsylvania,13388.87
16,16,6736,6736,6736,6736,Advanced Degree,"Colleges, Universities, and Professional Schools",616828720,31445,2005,Male,Pennsylvania,19616.11
17,17,6737,6737,6737,6737,Unavailable,"Colleges, Universities, and Professional Schools",11653703,2797,2005,Male,Pennsylvania,4166.5
18,18,6738,6738,6738,6738,All Education Categories,"Colleges, Universities, and Professional Schools",696541326,63493,2005,Female,Pennsylvania,10970.36
19,19,6739,6739,6739,6739,Less Than High School,"Colleges, Universities, and Professional Schools",12627783,1788,2005,Female,Pennsylvania,7062.52
20,20,6740,6740,6740,6740,High School Graduate,"Colleges, Universities, and Professional Schools",88068065,10645,2005,Female,Pennsylvania,8273.19
21,21,6741,6741,6741,6741,Some College,"Colleges, Universities, and Professional Schools",162807142,16669,2005,Female,Pennsylvania,9767.06
22,22,6742,6742,6742,6742,Advanced Degree,"Colleges, Universities, and Professional Schools",414593970,29888,2005,Female,Pennsylvania,13871.59
23,23,6743,6743,6743,6743,Unavailable,"Colleges, Universities, and Professional Schools",18444367,4502,2005,Female,Pennsylvania,4096.93
24,24,10464,10464,10464,10464,All Education Categories,"Colleges, Universities, and Professional Schools",929886784,62328,2006,Male,Pennsylvania,14919.25
25,25,10465,10465,10465,10465,Less Than High School,"Colleges, Universities, and Professional Schools",20169999,2295,2006,Male,Pennsylvania,8788.67
26,26,10466,10466,10466,10466,High School Graduate,"Colleges, Universities, and Professional Schools",90384217,8737,2006,Male,Pennsylvania,10344.99
27,27,10467,10467,10467,10467,Some College,"Colleges, Universities, and Professional Schools",168794830,13420,2006,Male,Pennsylvania,12577.86
28,28,10468,10468,10468,10468,Advanced Degree,"Colleges, Universities, and Professional Schools",638922717,35002,2006,Male,Pennsylvania,18253.89
29,29,10469,10469,10469,10469,Unavailable,"Colleges, Universities, and Professional Schools",11615020,2874,2006,Male,Pennsylvania,4041.41
30,30,10470,10470,10470,10470,All Education Categories,"Colleges, Universities, and Professional Schools",750111874,71199,2006,Female,Pennsylvania,10535.43
31,31,10471,10471,10471,10471,Less Than High School,"Colleges, Universities, and Professional Schools",14530401,2029,2006,Female,Pennsylvania,7161.36
32,32,10472,10472,10472,10472,High School Graduate,"Colleges, Universities, and Professional Schools",95649737,11951,2006,Female,Pennsylvania,8003.49
33,33,10473,10473,10473,10473,Some College,"Colleges, Universities, and Professional Schools",176798888,18696,2006,Female,Pennsylvania,9456.51
