,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,All Education Categories,00,2484833907,216512,2004,Male,Rhode Island,11476.66
1,1,1,1,1,Less Than High School,00,139111728,20354,2004,Male,Rhode Island,6834.61
2,2,2,2,2,High School Graduate,00,461002150,50296,2004,Male,Rhode Island,9165.78
3,3,3,3,3,Some College,00,621220410,54034,2004,Male,Rhode Island,11496.84
4,4,4,4,4,Advanced Degree,00,1145341427,60676,2004,Male,Rhode Island,18876.35
5,5,5,5,5,Unavailable,00,118158191,31151,2004,Male,Rhode Island,3793.08
6,6,6,6,6,All Education Categories,00,1761990754,238485,2004,Female,Rhode Island,7388.27
7,7,7,7,7,Less Than High School,00,71998823,16301,2004,Female,Rhode Island,4416.83
8,8,8,8,8,High School Graduate,00,309503010,53086,2004,Female,Rhode Island,5830.22
9,9,9,9,9,Some College,00,498841082,66720,2004,Female,Rhode Island,7476.63
10,10,10,10,10,Advanced Degree,00,766301806,65762,2004,Female,Rhode Island,11652.65
11,11,11,11,11,Unavailable,00,115346033,36617,2004,Female,Rhode Island,3150.07
12,12,60,60,60,All Education Categories,Manufacturing,419257572,36890,2004,Male,Rhode Island,11365.07
13,13,61,61,61,Less Than High School,Manufacturing,38967001,5261,2004,Male,Rhode Island,7406.77
14,14,62,62,62,High School Graduate,Manufacturing,109879261,11136,2004,Male,Rhode Island,9867.03
15,15,63,63,63,Some College,Manufacturing,124629465,10619,2004,Male,Rhode Island,11736.46
16,16,64,64,64,Advanced Degree,Manufacturing,132676815,7568,2004,Male,Rhode Island,17531.29
17,17,65,65,65,Unavailable,Manufacturing,13105031,2306,2004,Male,Rhode Island,5683.01
18,18,66,66,66,All Education Categories,Manufacturing,138615854,20439,2004,Female,Rhode Island,6781.93
19,19,67,67,67,Less Than High School,Manufacturing,15892945,3559,2004,Female,Rhode Island,4465.56
20,20,68,68,68,High School Graduate,Manufacturing,38711151,6537,2004,Female,Rhode Island,5921.85
21,21,69,69,69,Some College,Manufacturing,41238499,5650,2004,Female,Rhode Island,7298.85
22,22,70,70,70,Advanced Degree,Manufacturing,36522249,3255,2004,Female,Rhode Island,11220.35
23,23,71,71,71,Unavailable,Manufacturing,6251011,1438,2004,Female,Rhode Island,4347.02
24,24,84,84,84,All Education Categories,Retail Trade,199497613,26724,2004,Male,Rhode Island,7465.11
25,25,85,85,85,Less Than High School,Retail Trade,15867534,2521,2004,Male,Rhode Island,6294.14
26,26,86,86,86,High School Graduate,Retail Trade,54588902,6738,2004,Male,Rhode Island,8101.65
27,27,87,87,87,Some College,Retail Trade,55296136,5934,2004,Male,Rhode Island,9318.53
28,28,88,88,88,Advanced Degree,Retail Trade,48219280,3668,2004,Male,Rhode Island,13145.93
29,29,89,89,89,Unavailable,Retail Trade,25525761,7863,2004,Male,Rhode Island,3246.31
30,30,90,90,90,All Education Categories,Retail Trade,112813190,26006,2004,Female,Rhode Island,4337.97
31,31,91,91,91,Less Than High School,Retail Trade,7432666,1970,2004,Female,Rhode Island,3772.93
32,32,92,92,92,High School Graduate,Retail Trade,30211299,6651,2004,Female,Rhode Island,4542.37
33,33,93,93,93,Some College,Retail Trade,30033545,5620,2004,Female,Rhode Island,5344.05
34,34,94,94,94,Advanced Degree,Retail Trade,24324997,3122,2004,Female,Rhode Island,7791.48
35,35,95,95,95,Unavailable,Retail Trade,20810683,8643,2004,Female,Rhode Island,2407.81
36,36,120,120,120,All Education Categories,Finance and Insurance,233316534,9148,2004,Male,Rhode Island,25504.65
37,37,121,121,121,Less Than High School,Finance and Insurance,2584327,255,2004,Male,Rhode Island,10134.62
38,38,122,122,122,High School Graduate,Finance and Insurance,15963668,1071,2004,Male,Rhode Island,14905.39
39,39,123,123,123,Some College,Finance and Insurance,38637114,1947,2004,Male,Rhode Island,19844.43
40,40,124,124,124,Advanced Degree,Finance and Insurance,170835384,5095,2004,Male,Rhode Island,33530.01
41,41,125,125,125,Unavailable,Finance and Insurance,5296041,782,2004,Male,Rhode Island,6772.43
42,42,126,126,126,All Education Categories,Finance and Insurance,180082043,15756,2004,Female,Rhode Island,11429.43
43,43,127,127,127,Less Than High School,Finance and Insurance,2835997,434,2004,Female,Rhode Island,6534.56
44,44,128,128,128,High School Graduate,Finance and Insurance,22640812,2781,2004,Female,Rhode Island,8141.25
45,45,129,129,129,Some College,Finance and Insurance,42210680,4317,2004,Female,Rhode Island,9777.78
46,46,130,130,130,Advanced Degree,Finance and Insurance,103273115,6655,2004,Female,Rhode Island,15518.12
47,47,131,131,131,Unavailable,Finance and Insurance,9121438,1570,2004,Female,Rhode Island,5809.83
48,48,180,180,180,All Education Categories,Educational Services,250882297,21150,2004,Male,Rhode Island,11862.05
49,49,181,181,181,Less Than High School,Educational Services,6729986,829,2004,Male,Rhode Island,8118.2
50,50,182,182,182,High School Graduate,Educational Services,35109480,3482,2004,Male,Rhode Island,10083.14
51,51,183,183,183,Some College,Educational Services,61074325,5212,2004,Male,Rhode Island,11718.02
52,52,184,184,184,Advanced Degree,Educational Services,143161503,10009,2004,Male,Rhode Island,14303.28
53,53,185,185,185,Unavailable,Educational Services,4807004,1618,2004,Male,Rhode Island,2970.95
54,54,186,186,186,All Education Categories,Educational Services,312058564,32986,2004,Female,Rhode Island,9460.33
55,55,187,187,187,Less Than High School,Educational Services,5192448,991,2004,Female,Rhode Island,5239.6
56,56,188,188,188,High School Graduate,Educational Services,40275177,5901,2004,Female,Rhode Island,6825.14
57,57,189,189,189,Some College,Educational Services,75096567,8588,2004,Female,Rhode Island,8744.36
58,58,190,190,190,Advanced Degree,Educational Services,184105271,14928,2004,Female,Rhode Island,12332.88
59,59,191,191,191,Unavailable,Educational Services,7389101,2578,2004,Female,Rhode Island,2866.21
60,60,192,192,192,All Education Categories,Health Care and Social Assistance,192994829,15325,2004,Male,Rhode Island,12593.46
61,61,193,193,193,Less Than High School,Health Care and Social Assistance,6884634,1038,2004,Male,Rhode Island,6632.6
62,62,194,194,194,High School Graduate,Health Care and Social Assistance,24291667,2798,2004,Male,Rhode Island,8681.8
63,63,195,195,195,Some College,Health Care and Social Assistance,45275705,4012,2004,Male,Rhode Island,11285.07
64,64,196,196,196,Advanced Degree,Health Care and Social Assistance,109679423,5741,2004,Male,Rhode Island,19104.59
65,65,197,197,197,Unavailable,Health Care and Social Assistance,6863400,1736,2004,Male,Rhode Island,3953.57
66,66,198,198,198,All Education Categories,Health Care and Social Assistance,425270406,56309,2004,Female,Rhode Island,7552.44
67,67,199,199,199,Less Than High School,Health Care and Social Assistance,15262959,2977,2004,Female,Rhode Island,5126.96
68,68,200,200,200,High School Graduate,Health Care and Social Assistance,72269982,11748,2004,Female,Rhode Island,6151.68
69,69,201,201,201,Some College,Health Care and Social Assistance,149113931,19753,2004,Female,Rhode Island,7548.93
70,70,202,202,202,Advanced Degree,Health Care and Social Assistance,165142043,16107,2004,Female,Rhode Island,10252.81
71,71,203,203,203,Unavailable,Health Care and Social Assistance,23481492,5723,2004,Female,Rhode Island,4103.0
72,72,216,216,216,All Education Categories,Accommodation and Food Services,68924440,17057,2004,Male,Rhode Island,4040.83
73,73,217,217,217,Less Than High School,Accommodation and Food Services,8891002,2032,2004,Male,Rhode Island,4375.49
74,74,218,218,218,High School Graduate,Accommodation and Food Services,17275785,3446,2004,Male,Rhode Island,5013.29
75,75,219,219,219,Some College,Accommodation and Food Services,15359762,2810,2004,Male,Rhode Island,5466.11
76,76,220,220,220,Advanced Degree,Accommodation and Food Services,10086069,1583,2004,Male,Rhode Island,6371.49
77,77,221,221,221,Unavailable,Accommodation and Food Services,17311822,7186,2004,Male,Rhode Island,2409.1
78,78,222,222,222,All Education Categories,Accommodation and Food Services,62384084,21437,2004,Female,Rhode Island,2910.11
79,79,223,223,223,Less Than High School,Accommodation and Food Services,6058957,1997,2004,Female,Rhode Island,3034.03
80,80,224,224,224,High School Graduate,Accommodation and Food Services,14780240,4545,2004,Female,Rhode Island,3251.98
81,81,225,225,225,Some College,Accommodation and Food Services,13874286,3829,2004,Female,Rhode Island,3623.48
82,82,226,226,226,Advanced Degree,Accommodation and Food Services,8142935,1942,2004,Female,Rhode Island,4193.07
83,83,227,227,227,Unavailable,Accommodation and Food Services,19527666,9124,2004,Female,Rhode Island,2140.25
84,84,252,252,252,All Education Categories,00,2524941776,216184,2005,Male,Rhode Island,11679.6
85,85,253,253,253,Less Than High School,00,140800857,20168,2005,Male,Rhode Island,6981.4
86,86,254,254,254,High School Graduate,00,466478492,50008,2005,Male,Rhode Island,9328.08
87,87,255,255,255,Some College,00,628089666,53910,2005,Male,Rhode Island,11650.71
88,88,256,256,256,Advanced Degree,00,1170859715,60798,2005,Male,Rhode Island,19258.19
89,89,257,257,257,Unavailable,00,118713045,31299,2005,Male,Rhode Island,3792.87
90,90,258,258,258,All Education Categories,00,1767779798,238325,2005,Female,Rhode Island,7417.52
91,91,259,259,259,Less Than High School,00,74213676,16481,2005,Female,Rhode Island,4502.98
92,92,260,260,260,High School Graduate,00,310826854,52747,2005,Female,Rhode Island,5892.79
93,93,261,261,261,Some College,00,503134208,66863,2005,Female,Rhode Island,7524.85
94,94,262,262,262,Advanced Degree,00,764983183,65771,2005,Female,Rhode Island,11631.01
95,95,263,263,263,Unavailable,00,114621877,36463,2005,Female,Rhode Island,3143.51
96,96,312,312,312,All Education Categories,Manufacturing,433651257,36373,2005,Male,Rhode Island,11922.34
97,97,313,313,313,Less Than High School,Manufacturing,39705405,5111,2005,Male,Rhode Island,7768.62
98,98,314,314,314,High School Graduate,Manufacturing,112208292,10881,2005,Male,Rhode Island,10312.31
99,99,315,315,315,Some College,Manufacturing,128947840,10430,2005,Male,Rhode Island,12363.17
100,100,316,316,316,Advanced Degree,Manufacturing,138907657,7503,2005,Male,Rhode Island,18513.62
101,101,317,317,317,Unavailable,Manufacturing,13882062,2446,2005,Male,Rhode Island,5675.41
102,102,318,318,318,All Education Categories,Manufacturing,139861160,19785,2005,Female,Rhode Island,7069.05
103,103,319,319,319,Less Than High School,Manufacturing,16084171,3449,2005,Female,Rhode Island,4663.43
104,104,320,320,320,High School Graduate,Manufacturing,39028351,6224,2005,Female,Rhode Island,6270.62
105,105,321,321,321,Some College,Manufacturing,41961503,5501,2005,Female,Rhode Island,7627.98
106,106,322,322,322,Advanced Degree,Manufacturing,36759141,3226,2005,Female,Rhode Island,11394.65
107,107,323,323,323,Unavailable,Manufacturing,6027993,1384,2005,Female,Rhode Island,4355.49
108,108,336,336,336,All Education Categories,Retail Trade,197337199,25999,2005,Male,Rhode Island,7590.18
109,109,337,337,337,Less Than High School,Retail Trade,15515293,2469,2005,Male,Rhode Island,6284.04
110,110,338,338,338,High School Graduate,Retail Trade,53231465,6558,2005,Male,Rhode Island,8117.03
111,111,339,339,339,Some College,Retail Trade,54664238,5725,2005,Male,Rhode Island,9548.34
112,112,340,340,340,Advanced Degree,Retail Trade,49004913,3561,2005,Male,Rhode Island,13761.56
113,113,341,341,341,Unavailable,Retail Trade,24921290,7687,2005,Male,Rhode Island,3242.0
114,114,342,342,342,All Education Categories,Retail Trade,113240493,24932,2005,Female,Rhode Island,4541.97
115,115,343,343,343,Less Than High School,Retail Trade,7409569,1903,2005,Female,Rhode Island,3893.63
116,116,344,344,344,High School Graduate,Retail Trade,29867550,6363,2005,Female,Rhode Island,4693.94
117,117,345,345,345,Some College,Retail Trade,30117098,5366,2005,Female,Rhode Island,5612.58
118,118,346,346,346,Advanced Degree,Retail Trade,25521535,2975,2005,Female,Rhode Island,8578.67
119,119,347,347,347,Unavailable,Retail Trade,20324741,8326,2005,Female,Rhode Island,2441.12
120,120,372,372,372,All Education Categories,Finance and Insurance,238422994,9397,2005,Male,Rhode Island,25372.25
121,121,373,373,373,Less Than High School,Finance and Insurance,2903743,274,2005,Male,Rhode Island,10597.6
122,122,374,374,374,High School Graduate,Finance and Insurance,16244222,1093,2005,Male,Rhode Island,14862.05
123,123,375,375,375,Some College,Finance and Insurance,38674273,2024,2005,Male,Rhode Island,19107.84
124,124,376,376,376,Advanced Degree,Finance and Insurance,175010995,5259,2005,Male,Rhode Island,33278.38
125,125,377,377,377,Unavailable,Finance and Insurance,5589762,748,2005,Male,Rhode Island,7472.94
126,126,378,378,378,All Education Categories,Finance and Insurance,175838904,15931,2005,Female,Rhode Island,11037.53
127,127,379,379,379,Less Than High School,Finance and Insurance,2866122,448,2005,Female,Rhode Island,6397.59
128,128,380,380,380,High School Graduate,Finance and Insurance,22216905,2799,2005,Female,Rhode Island,7937.44
129,129,381,381,381,Some College,Finance and Insurance,41874782,4410,2005,Female,Rhode Island,9495.42
130,130,382,382,382,Advanced Degree,Finance and Insurance,100440990,6803,2005,Female,Rhode Island,14764.22
131,131,383,383,383,Unavailable,Finance and Insurance,8440104,1470,2005,Female,Rhode Island,5741.57
132,132,432,432,432,All Education Categories,Educational Services,246562292,21156,2005,Male,Rhode Island,11654.49
133,133,433,433,433,Less Than High School,Educational Services,6748154,844,2005,Male,Rhode Island,7995.44
134,134,434,434,434,High School Graduate,Educational Services,34953479,3509,2005,Male,Rhode Island,9961.09
135,135,435,435,435,Some College,Educational Services,60348201,5242,2005,Male,Rhode Island,11512.44
136,136,436,436,436,Advanced Degree,Educational Services,139774013,9915,2005,Male,Rhode Island,14097.23
137,137,437,437,437,Unavailable,Educational Services,4738445,1646,2005,Male,Rhode Island,2878.76
138,138,438,438,438,All Education Categories,Educational Services,309171498,32224,2005,Female,Rhode Island,9594.45
139,139,439,439,439,Less Than High School,Educational Services,5351846,997,2005,Female,Rhode Island,5367.95
140,140,440,440,440,High School Graduate,Educational Services,40064824,5798,2005,Female,Rhode Island,6910.11
141,141,441,441,441,Some College,Educational Services,75377365,8554,2005,Female,Rhode Island,8811.94
142,142,442,442,442,Advanced Degree,Educational Services,181274602,14389,2005,Female,Rhode Island,12598.14
143,143,443,443,443,Unavailable,Educational Services,7102861,2486,2005,Female,Rhode Island,2857.14
144,144,444,444,444,All Education Categories,Health Care and Social Assistance,196162806,15700,2005,Male,Rhode Island,12494.45
145,145,445,445,445,Less Than High School,Health Care and Social Assistance,6974112,1069,2005,Male,Rhode Island,6523.96
146,146,446,446,446,High School Graduate,Health Care and Social Assistance,24513682,2883,2005,Male,Rhode Island,8502.84
147,147,447,447,447,Some College,Health Care and Social Assistance,45567980,4127,2005,Male,Rhode Island,11041.43
148,148,448,448,448,Advanced Degree,Health Care and Social Assistance,112354736,5847,2005,Male,Rhode Island,19215.79
149,149,449,449,449,Unavailable,Health Care and Social Assistance,6752296,1775,2005,Male,Rhode Island,3804.11
150,150,450,450,450,All Education Categories,Health Care and Social Assistance,432316739,57331,2005,Female,Rhode Island,7540.72
151,151,451,451,451,Less Than High School,Health Care and Social Assistance,15944834,3099,2005,Female,Rhode Island,5145.15
152,152,452,452,452,High School Graduate,Health Care and Social Assistance,73474874,11944,2005,Female,Rhode Island,6151.61
153,153,453,453,453,Some College,Health Care and Social Assistance,151600236,20046,2005,Female,Rhode Island,7562.62
154,154,454,454,454,Advanced Degree,Health Care and Social Assistance,168056137,16478,2005,Female,Rhode Island,10198.82
155,155,455,455,455,Unavailable,Health Care and Social Assistance,23240659,5764,2005,Female,Rhode Island,4032.04
156,156,468,468,468,All Education Categories,Accommodation and Food Services,69926779,17427,2005,Male,Rhode Island,4012.55
157,157,469,469,469,Less Than High School,Accommodation and Food Services,9142377,2088,2005,Male,Rhode Island,4378.53
158,158,470,470,470,High School Graduate,Accommodation and Food Services,17755302,3580,2005,Male,Rhode Island,4959.58
159,159,471,471,471,Some College,Accommodation and Food Services,15845689,2912,2005,Male,Rhode Island,5441.51
160,160,472,472,472,Advanced Degree,Accommodation and Food Services,10510050,1614,2005,Male,Rhode Island,6511.8
161,161,473,473,473,Unavailable,Accommodation and Food Services,16673362,7233,2005,Male,Rhode Island,2305.18
162,162,474,474,474,All Education Categories,Accommodation and Food Services,64216014,22235,2005,Female,Rhode Island,2888.06
163,163,475,475,475,Less Than High School,Accommodation and Food Services,6253465,2093,2005,Female,Rhode Island,2987.8
164,164,476,476,476,High School Graduate,Accommodation and Food Services,15218907,4663,2005,Female,Rhode Island,3263.76
165,165,477,477,477,Some College,Accommodation and Food Services,14324065,3990,2005,Female,Rhode Island,3589.99
166,166,478,478,478,Advanced Degree,Accommodation and Food Services,8391027,1988,2005,Female,Rhode Island,4220.84
167,167,479,479,479,Unavailable,Accommodation and Food Services,20028550,9502,2005,Female,Rhode Island,2107.82
168,168,504,504,504,All Education Categories,00,2657389980,216337,2006,Male,Rhode Island,12283.57
169,169,505,505,505,Less Than High School,00,152617112,20361,2006,Male,Rhode Island,7495.56
170,170,506,506,506,High School Graduate,00,495970894,49871,2006,Male,Rhode Island,9945.08
171,171,507,507,507,Some College,00,663349168,54114,2006,Male,Rhode Island,12258.37
172,172,508,508,508,Advanced Degree,00,1217796159,60751,2006,Male,Rhode Island,20045.7
173,173,509,509,509,Unavailable,00,127656646,31240,2006,Male,Rhode Island,4086.32
174,174,510,510,510,All Education Categories,00,1900241910,239861,2006,Female,Rhode Island,7922.26
175,175,511,511,511,Less Than High School,00,81011679,16554,2006,Female,Rhode Island,4893.78
176,176,512,512,512,High School Graduate,00,332295062,52588,2006,Female,Rhode Island,6318.84
177,177,513,513,513,Some College,00,541333128,67177,2006,Female,Rhode Island,8058.31
178,178,514,514,514,Advanced Degree,00,822522089,66796,2006,Female,Rhode Island,12313.94
179,179,515,515,515,Unavailable,00,123079953,36745,2006,Female,Rhode Island,3349.57
180,180,564,564,564,All Education Categories,Manufacturing,436539762,34120,2006,Male,Rhode Island,12794.25
181,181,565,565,565,Less Than High School,Manufacturing,40224051,4754,2006,Male,Rhode Island,8461.1
182,182,566,566,566,High School Graduate,Manufacturing,113508645,10168,2006,Male,Rhode Island,11163.32
183,183,567,567,567,Some College,Manufacturing,130623073,9849,2006,Male,Rhode Island,13262.57
184,184,568,568,568,Advanced Degree,Manufacturing,137883874,7123,2006,Male,Rhode Island,19357.56
185,185,569,569,569,Unavailable,Manufacturing,14300119,2226,2006,Male,Rhode Island,6424.13
186,186,570,570,570,All Education Categories,Manufacturing,142627833,18384,2006,Female,Rhode Island,7758.26
187,187,571,571,571,Less Than High School,Manufacturing,16514252,3241,2006,Female,Rhode Island,5095.42
188,188,572,572,572,High School Graduate,Manufacturing,38918239,5732,2006,Female,Rhode Island,6789.64
189,189,573,573,573,Some College,Manufacturing,42640963,5078,2006,Female,Rhode Island,8397.2
190,190,574,574,574,Advanced Degree,Manufacturing,38538032,3035,2006,Female,Rhode Island,12697.87
191,191,575,575,575,Unavailable,Manufacturing,6016346,1299,2006,Female,Rhode Island,4631.52
192,192,588,588,588,All Education Categories,Retail Trade,206543530,26159,2006,Male,Rhode Island,7895.7
193,193,589,589,589,Less Than High School,Retail Trade,16540819,2473,2006,Male,Rhode Island,6688.56
194,194,590,590,590,High School Graduate,Retail Trade,55210873,6518,2006,Male,Rhode Island,8470.52
195,195,591,591,591,Some College,Retail Trade,56998562,5780,2006,Male,Rhode Island,9861.34
196,196,592,592,592,Advanced Degree,Retail Trade,51750911,3607,2006,Male,Rhode Island,14347.36
197,197,593,593,593,Unavailable,Retail Trade,26042367,7781,2006,Male,Rhode Island,3346.92
198,198,594,594,594,All Education Categories,Retail Trade,117959108,25528,2006,Female,Rhode Island,4620.77
199,199,595,595,595,Less Than High School,Retail Trade,7887020,1946,2006,Female,Rhode Island,4052.94
200,200,596,596,596,High School Graduate,Retail Trade,30971741,6441,2006,Female,Rhode Island,4808.53
201,201,597,597,597,Some College,Retail Trade,31606105,5569,2006,Female,Rhode Island,5675.36
202,202,598,598,598,Advanced Degree,Retail Trade,26407092,3168,2006,Female,Rhode Island,8335.57
203,203,599,599,599,Unavailable,Retail Trade,21087150,8403,2006,Female,Rhode Island,2509.48
204,204,624,624,624,All Education Categories,Finance and Insurance,256950697,9630,2006,Male,Rhode Island,26682.32
205,205,625,625,625,Less Than High School,Finance and Insurance,3204320,295,2006,Male,Rhode Island,10862.1
206,206,626,626,626,High School Graduate,Finance and Insurance,18086000,1143,2006,Male,Rhode Island,15823.27
207,207,627,627,627,Some College,Finance and Insurance,42075182,2098,2006,Male,Rhode Island,20054.9
208,208,628,628,628,Advanced Degree,Finance and Insurance,187456933,5276,2006,Male,Rhode Island,35530.12
209,209,629,629,629,Unavailable,Finance and Insurance,6128262,818,2006,Male,Rhode Island,7491.76
210,210,630,630,630,All Education Categories,Finance and Insurance,191046128,15805,2006,Female,Rhode Island,12087.7
211,211,631,631,631,Less Than High School,Finance and Insurance,3226832,457,2006,Female,Rhode Island,7060.9
212,212,632,632,632,High School Graduate,Finance and Insurance,24181038,2765,2006,Female,Rhode Island,8745.4
213,213,633,633,633,Some College,Finance and Insurance,45590952,4368,2006,Female,Rhode Island,10437.49
214,214,634,634,634,Advanced Degree,Finance and Insurance,108599210,6702,2006,Female,Rhode Island,16204.0
215,215,635,635,635,Unavailable,Finance and Insurance,9448096,1515,2006,Female,Rhode Island,6236.37
216,216,684,684,684,All Education Categories,Educational Services,265010826,21487,2006,Male,Rhode Island,12333.54
217,217,685,685,685,Less Than High School,Educational Services,7488312,870,2006,Male,Rhode Island,8607.26
