,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,8178013405,849460,2004,Male,South Carolina,9627.31
1,1,1,1,1,1,Less Than High School,00,693014886,102681,2004,Male,South Carolina,6749.2
2,2,2,2,2,2,High School Graduate,00,2063037690,241867,2004,Male,South Carolina,8529.64
3,3,3,3,3,3,Some College,00,2309306258,224555,2004,Male,South Carolina,10283.92
4,4,4,4,4,4,Advanced Degree,00,2672099967,166934,2004,Male,South Carolina,16006.92
5,5,5,5,5,5,Unavailable,00,440554604,113422,2004,Male,South Carolina,3884.21
6,6,6,6,6,6,All Education Categories,00,5327988730,866253,2004,Female,South Carolina,6150.62
7,7,7,7,7,7,Less Than High School,00,346983219,81392,2004,Female,South Carolina,4263.11
8,8,8,8,8,8,High School Graduate,00,1257731246,233552,2004,Female,South Carolina,5385.23
9,9,9,9,9,9,Some College,00,1672635337,253617,2004,Female,South Carolina,6595.12
10,10,10,10,10,10,Advanced Degree,00,1657746687,170530,2004,Female,South Carolina,9721.14
11,11,11,11,11,11,Unavailable,00,392892241,127163,2004,Female,South Carolina,3089.67
12,12,60,60,60,60,All Education Categories,Manufacturing,2078895544,182379,2004,Male,South Carolina,11398.77
13,13,61,61,61,61,Less Than High School,Manufacturing,199228846,23645,2004,Male,South Carolina,8425.83
14,14,62,62,62,62,High School Graduate,Manufacturing,661296692,64560,2004,Male,South Carolina,10243.13
15,15,63,63,63,63,Some College,Manufacturing,656683726,54473,2004,Male,South Carolina,12055.21
16,16,64,64,64,64,Advanced Degree,Manufacturing,488578059,27924,2004,Male,South Carolina,17496.71
17,17,65,65,65,65,Unavailable,Manufacturing,73108222,11778,2004,Male,South Carolina,6207.18
18,18,66,66,66,66,All Education Categories,Manufacturing,672585314,91013,2004,Female,South Carolina,7389.99
19,19,67,67,67,67,Less Than High School,Manufacturing,70000019,12236,2004,Female,South Carolina,5720.83
20,20,68,68,68,68,High School Graduate,Manufacturing,241490434,35722,2004,Female,South Carolina,6760.27
21,21,69,69,69,69,Some College,Manufacturing,215856136,27327,2004,Female,South Carolina,7899.01
22,22,70,70,70,70,Advanced Degree,Manufacturing,119231751,10730,2004,Female,South Carolina,11112.0
23,23,71,71,71,71,Unavailable,Manufacturing,26006976,4999,2004,Female,South Carolina,5202.44
24,24,84,84,84,84,All Education Categories,Retail Trade,737097638,104394,2004,Male,South Carolina,7060.73
25,25,85,85,85,85,Less Than High School,Retail Trade,76335072,12889,2004,Male,South Carolina,5922.5
26,26,86,86,86,86,High School Graduate,Retail Trade,225491083,30556,2004,Male,South Carolina,7379.6
27,27,87,87,87,87,Some College,Retail Trade,213693447,24668,2004,Male,South Carolina,8662.78
28,28,88,88,88,88,Advanced Degree,Retail Trade,147479456,11842,2004,Male,South Carolina,12453.93
29,29,89,89,89,89,Unavailable,Retail Trade,74098580,24439,2004,Male,South Carolina,3031.98
30,30,90,90,90,90,All Education Categories,Retail Trade,477423608,117754,2004,Female,South Carolina,4054.42
31,31,91,91,91,91,Less Than High School,Retail Trade,51140774,13874,2004,Female,South Carolina,3686.09
32,32,92,92,92,92,High School Graduate,Retail Trade,156555761,36105,2004,Female,South Carolina,4336.12
33,33,93,93,93,93,Some College,Retail Trade,129048004,26392,2004,Female,South Carolina,4889.66
34,34,94,94,94,94,Advanced Degree,Retail Trade,68122431,9837,2004,Female,South Carolina,6925.12
35,35,95,95,95,95,Unavailable,Retail Trade,72556638,31545,2004,Female,South Carolina,2300.1
36,36,120,120,120,120,All Education Categories,Finance and Insurance,323252695,18062,2004,Male,South Carolina,17896.84
37,37,121,121,121,121,Less Than High School,Finance and Insurance,6330797,711,2004,Male,South Carolina,8904.07
38,38,122,122,122,122,High School Graduate,Finance and Insurance,31137484,2651,2004,Male,South Carolina,11745.56
39,39,123,123,123,123,Some College,Finance and Insurance,65931730,4395,2004,Male,South Carolina,15001.53
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,211006604,8871,2004,Male,South Carolina,23786.11
41,41,125,125,125,125,Unavailable,Finance and Insurance,8846080,1435,2004,Male,South Carolina,6164.52
42,42,126,126,126,126,All Education Categories,Finance and Insurance,394368817,47002,2004,Female,South Carolina,8390.47
43,43,127,127,127,127,Less Than High School,Finance and Insurance,10646557,1778,2004,Female,South Carolina,5987.94
44,44,128,128,128,128,High School Graduate,Finance and Insurance,73980766,10675,2004,Female,South Carolina,6930.28
45,45,129,129,129,129,Some College,Finance and Insurance,118402676,14819,2004,Female,South Carolina,7989.92
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,164696794,14520,2004,Female,South Carolina,11342.75
47,47,131,131,131,131,Unavailable,Finance and Insurance,26642025,5209,2004,Female,South Carolina,5114.61
48,48,180,180,180,180,All Education Categories,Educational Services,406521034,42996,2004,Male,South Carolina,9454.86
49,49,181,181,181,181,Less Than High School,Educational Services,16755129,2820,2004,Male,South Carolina,5941.54
50,50,182,182,182,182,High School Graduate,Educational Services,62012729,8424,2004,Male,South Carolina,7361.44
51,51,183,183,183,183,Some College,Educational Services,98779215,11277,2004,Male,South Carolina,8759.35
