,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,1372988972,162039,2004,Male,South Dakota,8473.2
1,1,1,1,1,1,Less Than High School,00,88738027,14282,2004,Male,South Dakota,6213.28
2,2,2,2,2,2,High School Graduate,00,372580630,48778,2004,Male,South Dakota,7638.29
3,3,3,3,3,3,Some College,00,390026117,42560,2004,Male,South Dakota,9164.15
4,4,4,4,4,4,Advanced Degree,00,427642501,28915,2004,Male,South Dakota,14789.64
5,5,5,5,5,5,Unavailable,00,94001696,27503,2004,Male,South Dakota,3417.87
6,6,6,6,6,6,All Education Categories,00,990946635,180272,2004,Female,South Dakota,5496.95
7,7,7,7,7,7,Less Than High School,00,41395899,10226,2004,Female,South Dakota,4048.1
8,8,8,8,8,8,High School Graduate,00,239923968,48575,2004,Female,South Dakota,4939.25
9,9,9,9,9,9,Some College,00,333589949,55187,2004,Female,South Dakota,6044.72
10,10,10,10,10,10,Advanced Degree,00,289538143,34473,2004,Female,South Dakota,8398.98
11,11,11,11,11,11,Unavailable,00,86498676,31811,2004,Female,South Dakota,2719.14
12,12,60,60,60,60,All Education Categories,Manufacturing,228644320,25490,2004,Male,South Dakota,8969.96
13,13,61,61,61,61,Less Than High School,Manufacturing,20027782,2665,2004,Male,South Dakota,7515.12
14,14,62,62,62,62,High School Graduate,Manufacturing,82722212,9519,2004,Male,South Dakota,8690.22
15,15,63,63,63,63,Some College,Manufacturing,69457529,7192,2004,Male,South Dakota,9657.61
16,16,64,64,64,64,Advanced Degree,Manufacturing,40361997,3042,2004,Male,South Dakota,13268.24
17,17,65,65,65,65,Unavailable,Manufacturing,16074801,3071,2004,Male,South Dakota,5234.39
18,18,66,66,66,66,All Education Categories,Manufacturing,77481466,12006,2004,Female,South Dakota,6453.56
19,19,67,67,67,67,Less Than High School,Manufacturing,6164161,1086,2004,Female,South Dakota,5676.02
20,20,68,68,68,68,High School Graduate,Manufacturing,29031954,4656,2004,Female,South Dakota,6235.39
21,21,69,69,69,69,Some College,Manufacturing,25650063,3726,2004,Female,South Dakota,6884.07
22,22,70,70,70,70,Advanced Degree,Manufacturing,11884292,1391,2004,Female,South Dakota,8543.7
23,23,71,71,71,71,Unavailable,Manufacturing,4750996,1148,2004,Female,South Dakota,4138.5
24,24,84,84,84,84,All Education Categories,Retail Trade,146539974,22935,2004,Male,South Dakota,6389.36
25,25,85,85,85,85,Less Than High School,Retail Trade,11427026,2022,2004,Male,South Dakota,5651.35
26,26,86,86,86,86,High School Graduate,Retail Trade,49786913,7022,2004,Male,South Dakota,7090.13
27,27,87,87,87,87,Some College,Retail Trade,42772889,5236,2004,Male,South Dakota,8169.0
28,28,88,88,88,88,Advanced Degree,Retail Trade,25040735,2281,2004,Male,South Dakota,10977.96
29,29,89,89,89,89,Unavailable,Retail Trade,17512411,6374,2004,Male,South Dakota,2747.48
30,30,90,90,90,90,All Education Categories,Retail Trade,86904678,24769,2004,Female,South Dakota,3508.61
31,31,91,91,91,91,Less Than High School,Retail Trade,6211083,1829,2004,Female,South Dakota,3395.89
32,32,92,92,92,92,High School Graduate,Retail Trade,30169093,7742,2004,Female,South Dakota,3896.81
33,33,93,93,93,93,Some College,Retail Trade,24967402,5889,2004,Female,South Dakota,4239.67
34,34,94,94,94,94,Advanced Degree,Retail Trade,11585366,2188,2004,Female,South Dakota,5294.96
35,35,95,95,95,95,Unavailable,Retail Trade,13971734,7120,2004,Female,South Dakota,1962.32
36,36,120,120,120,120,All Education Categories,Finance and Insurance,111410182,6979,2004,Male,South Dakota,15963.63
37,37,121,121,121,121,Less Than High School,Finance and Insurance,1915986,212,2004,Male,South Dakota,9037.67
38,38,122,122,122,122,High School Graduate,Finance and Insurance,12151403,1090,2004,Male,South Dakota,11148.08
39,39,123,123,123,123,Some College,Finance and Insurance,23738669,1756,2004,Male,South Dakota,13518.6
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,68230552,3042,2004,Male,South Dakota,22429.5
41,41,125,125,125,125,Unavailable,Finance and Insurance,5373572,878,2004,Male,South Dakota,6120.24
42,42,126,126,126,126,All Education Categories,Finance and Insurance,125485232,16348,2004,Female,South Dakota,7675.88
43,43,127,127,127,127,Less Than High School,Finance and Insurance,2252512,397,2004,Female,South Dakota,5673.83
44,44,128,128,128,128,High School Graduate,Finance and Insurance,25453794,3880,2004,Female,South Dakota,6560.26
45,45,129,129,129,129,Some College,Finance and Insurance,40238038,5378,2004,Female,South Dakota,7481.97
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,45973503,4466,2004,Female,South Dakota,10294.11
47,47,131,131,131,131,Unavailable,Finance and Insurance,11567386,2228,2004,Female,South Dakota,5191.82
48,48,180,180,180,180,All Education Categories,Educational Services,85807044,10572,2004,Male,South Dakota,8116.44
49,49,181,181,181,181,Less Than High School,Educational Services,3397166,612,2004,Male,South Dakota,5550.92
50,50,182,182,182,182,High School Graduate,Educational Services,16265667,2436,2004,Male,South Dakota,6677.2
51,51,183,183,183,183,Some College,Educational Services,21941330,2816,2004,Male,South Dakota,7791.67
52,52,184,184,184,184,Advanced Degree,Educational Services,42268019,4083,2004,Male,South Dakota,10352.2
53,53,185,185,185,185,Unavailable,Educational Services,1934862,625,2004,Male,South Dakota,3095.78
54,54,186,186,186,186,All Education Categories,Educational Services,140178796,22631,2004,Female,South Dakota,6194.11
55,55,187,187,187,187,Less Than High School,Educational Services,3146933,815,2004,Female,South Dakota,3861.27
56,56,188,188,188,188,High School Graduate,Educational Services,26992977,5430,2004,Female,South Dakota,4971.08
57,57,189,189,189,189,Some College,Educational Services,39496620,6729,2004,Female,South Dakota,5869.61
58,58,190,190,190,190,Advanced Degree,Educational Services,66302904,8389,2004,Female,South Dakota,7903.55
59,59,191,191,191,191,Unavailable,Educational Services,4239361,1268,2004,Female,South Dakota,3343.34
60,60,192,192,192,192,All Education Categories,Health Care and Social Assistance,131978578,9235,2004,Male,South Dakota,14291.13
61,61,193,193,193,193,Less Than High School,Health Care and Social Assistance,3852070,552,2004,Male,South Dakota,6978.39
62,62,194,194,194,194,High School Graduate,Health Care and Social Assistance,18543345,2099,2004,Male,South Dakota,8834.37
63,63,195,195,195,195,Some College,Health Care and Social Assistance,32483043,2643,2004,Male,South Dakota,12290.22
64,64,196,196,196,196,Advanced Degree,Health Care and Social Assistance,74105319,2917,2004,Male,South Dakota,25404.63
65,65,197,197,197,197,Unavailable,Health Care and Social Assistance,2994801,1023,2004,Male,South Dakota,2927.47
66,66,198,198,198,198,All Education Categories,Health Care and Social Assistance,273024268,42932,2004,Female,South Dakota,6359.46
67,67,199,199,199,199,Less Than High School,Health Care and Social Assistance,8674715,1967,2004,Female,South Dakota,4410.12
68,68,200,200,200,200,High School Graduate,Health Care and Social Assistance,54337802,10198,2004,Female,South Dakota,5328.28
69,69,201,201,201,201,Some College,Health Care and Social Assistance,105922388,15816,2004,Female,South Dakota,6697.17
70,70,202,202,202,202,Advanced Degree,Health Care and Social Assistance,83444479,8962,2004,Female,South Dakota,9310.92
71,71,203,203,203,203,Unavailable,Health Care and Social Assistance,20644885,5989,2004,Female,South Dakota,3447.13
72,72,216,216,216,216,All Education Categories,Accommodation and Food Services,39395799,12779,2004,Male,South Dakota,3082.85
73,73,217,217,217,217,Less Than High School,Accommodation and Food Services,4250296,1202,2004,Male,South Dakota,3536.02
74,74,218,218,218,218,High School Graduate,Accommodation and Food Services,11273572,2810,2004,Male,South Dakota,4011.95
75,75,219,219,219,219,Some College,Accommodation and Food Services,8486280,1952,2004,Male,South Dakota,4347.48
76,76,220,220,220,220,Advanced Degree,Accommodation and Food Services,3602594,769,2004,Male,South Dakota,4684.78
77,77,221,221,221,221,Unavailable,Accommodation and Food Services,11783057,6047,2004,Male,South Dakota,1948.58
78,78,222,222,222,222,All Education Categories,Accommodation and Food Services,43653392,18613,2004,Female,South Dakota,2345.32
79,79,223,223,223,223,Less Than High School,Accommodation and Food Services,4029899,1590,2004,Female,South Dakota,2534.53
80,80,224,224,224,224,High School Graduate,Accommodation and Food Services,12222416,4381,2004,Female,South Dakota,2789.87
81,81,225,225,225,225,Some College,Accommodation and Food Services,10403018,3445,2004,Female,South Dakota,3019.74
82,82,226,226,226,226,Advanced Degree,Accommodation and Food Services,3850315,1150,2004,Female,South Dakota,3348.1
83,83,227,227,227,227,Unavailable,Accommodation and Food Services,13147745,8048,2004,Female,South Dakota,1633.67
84,84,252,252,252,252,All Education Categories,00,1437918156,165428,2005,Male,South Dakota,8692.11
85,85,253,253,253,253,Less Than High School,00,93945653,14835,2005,Male,South Dakota,6332.7
86,86,254,254,254,254,High School Graduate,00,391344777,50100,2005,Male,South Dakota,7811.27
87,87,255,255,255,255,Some College,00,408057031,43739,2005,Male,South Dakota,9329.36
88,88,256,256,256,256,Advanced Degree,00,448132010,29175,2005,Male,South Dakota,15360.14
89,89,257,257,257,257,Unavailable,00,96438684,27578,2005,Male,South Dakota,3496.94
90,90,258,258,258,258,All Education Categories,00,1016907870,182817,2005,Female,South Dakota,5562.44
91,91,259,259,259,259,Less Than High School,00,42618844,10553,2005,Female,South Dakota,4038.55
92,92,260,260,260,260,High School Graduate,00,245496124,49399,2005,Female,South Dakota,4969.66
93,93,261,261,261,261,Some College,00,343592010,56461,2005,Female,South Dakota,6085.48
94,94,262,262,262,262,Advanced Degree,00,300322810,34884,2005,Female,South Dakota,8609.19
95,95,263,263,263,263,Unavailable,00,84878081,31519,2005,Female,South Dakota,2692.92
96,96,312,312,312,312,All Education Categories,Manufacturing,247835292,26690,2005,Male,South Dakota,9285.7
97,97,313,313,313,313,Less Than High School,Manufacturing,21640876,2815,2005,Male,South Dakota,7687.7
98,98,314,314,314,314,High School Graduate,Manufacturing,89204116,9901,2005,Male,South Dakota,9009.61
99,99,315,315,315,315,Some College,Manufacturing,74380608,7472,2005,Male,South Dakota,9954.58
100,100,316,316,316,316,Advanced Degree,Manufacturing,44886442,3088,2005,Male,South Dakota,14535.76
101,101,317,317,317,317,Unavailable,Manufacturing,17723250,3415,2005,Male,South Dakota,5189.82
102,102,318,318,318,318,All Education Categories,Manufacturing,78904754,12131,2005,Female,South Dakota,6504.39
103,103,319,319,319,319,Less Than High School,Manufacturing,6244407,1096,2005,Female,South Dakota,5697.45
104,104,320,320,320,320,High School Graduate,Manufacturing,29003952,4643,2005,Female,South Dakota,6246.81
105,105,321,321,321,321,Some College,Manufacturing,26043868,3766,2005,Female,South Dakota,6915.53
106,106,322,322,322,322,Advanced Degree,Manufacturing,12514393,1409,2005,Female,South Dakota,8881.76
107,107,323,323,323,323,Unavailable,Manufacturing,5098133,1217,2005,Female,South Dakota,4189.1
108,108,336,336,336,336,All Education Categories,Retail Trade,149268331,23083,2005,Male,South Dakota,6466.59
109,109,337,337,337,337,Less Than High School,Retail Trade,11679011,2065,2005,Male,South Dakota,5655.7
110,110,338,338,338,338,High School Graduate,Retail Trade,50677757,7108,2005,Male,South Dakota,7129.68
111,111,339,339,339,339,Some College,Retail Trade,44101312,5340,2005,Male,South Dakota,8258.67
112,112,340,340,340,340,Advanced Degree,Retail Trade,25691817,2307,2005,Male,South Dakota,11136.46
113,113,341,341,341,341,Unavailable,Retail Trade,17118435,6263,2005,Male,South Dakota,2733.26
114,114,342,342,342,342,All Education Categories,Retail Trade,88578992,25052,2005,Female,South Dakota,3535.81
115,115,343,343,343,343,Less Than High School,Retail Trade,6251603,1833,2005,Female,South Dakota,3410.59
116,116,344,344,344,344,High School Graduate,Retail Trade,30716607,7847,2005,Female,South Dakota,3914.44
117,117,345,345,345,345,Some College,Retail Trade,25716803,6001,2005,Female,South Dakota,4285.42
118,118,346,346,346,346,Advanced Degree,Retail Trade,12235298,2250,2005,Female,South Dakota,5437.91
119,119,347,347,347,347,Unavailable,Retail Trade,13658680,7122,2005,Female,South Dakota,1917.82
120,120,372,372,372,372,All Education Categories,Finance and Insurance,118306234,7126,2005,Male,South Dakota,16602.05
121,121,373,373,373,373,Less Than High School,Finance and Insurance,2140093,225,2005,Male,South Dakota,9511.52
122,122,374,374,374,374,High School Graduate,Finance and Insurance,13395236,1144,2005,Male,South Dakota,11709.12
123,123,375,375,375,375,Some College,Finance and Insurance,25498825,1831,2005,Male,South Dakota,13926.17
124,124,376,376,376,376,Advanced Degree,Finance and Insurance,71960338,3088,2005,Male,South Dakota,23303.22
125,125,377,377,377,377,Unavailable,Finance and Insurance,5311742,838,2005,Male,South Dakota,6338.59
126,126,378,378,378,378,All Education Categories,Finance and Insurance,127103394,15977,2005,Female,South Dakota,7955.4
127,127,379,379,379,379,Less Than High School,Finance and Insurance,2361458,407,2005,Female,South Dakota,5802.11
128,128,380,380,380,380,High School Graduate,Finance and Insurance,25958376,3865,2005,Female,South Dakota,6716.27
129,129,381,381,381,381,Some College,Finance and Insurance,41219567,5334,2005,Female,South Dakota,7727.7
130,130,382,382,382,382,Advanced Degree,Finance and Insurance,47123788,4457,2005,Female,South Dakota,10572.98
131,131,383,383,383,383,Unavailable,Finance and Insurance,10440204,1914,2005,Female,South Dakota,5454.65
132,132,432,432,432,432,All Education Categories,Educational Services,85883784,10453,2005,Male,South Dakota,8216.19
133,133,433,433,433,433,Less Than High School,Educational Services,3302192,598,2005,Male,South Dakota,5522.06
134,134,434,434,434,434,High School Graduate,Educational Services,16206874,2411,2005,Male,South Dakota,6722.05
135,135,435,435,435,435,Some College,Educational Services,22091114,2799,2005,Male,South Dakota,7892.5
136,136,436,436,436,436,Advanced Degree,Educational Services,42308442,4039,2005,Male,South Dakota,10474.98
137,137,437,437,437,437,Unavailable,Educational Services,1975163,606,2005,Male,South Dakota,3259.34
138,138,438,438,438,438,All Education Categories,Educational Services,143733176,22679,2005,Female,South Dakota,6337.72
139,139,439,439,439,439,Less Than High School,Educational Services,3323470,823,2005,Female,South Dakota,4038.24
140,140,440,440,440,440,High School Graduate,Educational Services,27864751,5461,2005,Female,South Dakota,5102.5
141,141,441,441,441,441,Some College,Educational Services,41111535,6840,2005,Female,South Dakota,6010.46
142,142,442,442,442,442,Advanced Degree,Educational Services,67341908,8319,2005,Female,South Dakota,8094.95
143,143,443,443,443,443,Unavailable,Educational Services,4091512,1236,2005,Female,South Dakota,3310.28
144,144,444,444,444,444,All Education Categories,Health Care and Social Assistance,138811992,9463,2005,Male,South Dakota,14668.92
145,145,445,445,445,445,Less Than High School,Health Care and Social Assistance,4061120,586,2005,Male,South Dakota,6930.24
146,146,446,446,446,446,High School Graduate,Health Care and Social Assistance,19539812,2174,2005,Male,South Dakota,8987.95
147,147,447,447,447,447,Some College,Health Care and Social Assistance,33879409,2708,2005,Male,South Dakota,12510.86
148,148,448,448,448,448,Advanced Degree,Health Care and Social Assistance,77699177,2977,2005,Male,South Dakota,26099.82
149,149,449,449,449,449,Unavailable,Health Care and Social Assistance,3632473,1018,2005,Male,South Dakota,3568.24
150,150,450,450,450,450,All Education Categories,Health Care and Social Assistance,284427517,43386,2005,Female,South Dakota,6555.74
151,151,451,451,451,451,Less Than High School,Health Care and Social Assistance,9046626,2011,2005,Female,South Dakota,4498.57
152,152,452,452,452,452,High School Graduate,Health Care and Social Assistance,56566715,10413,2005,Female,South Dakota,5432.32
153,153,453,453,453,453,Some College,Health Care and Social Assistance,110170517,16135,2005,Female,South Dakota,6828.05
154,154,454,454,454,454,Advanced Degree,Health Care and Social Assistance,87965176,9055,2005,Female,South Dakota,9714.54
155,155,455,455,455,455,Unavailable,Health Care and Social Assistance,20678484,5772,2005,Female,South Dakota,3582.55
156,156,468,468,468,468,All Education Categories,Accommodation and Food Services,39163130,12574,2005,Male,South Dakota,3114.61
157,157,469,469,469,469,Less Than High School,Accommodation and Food Services,4366111,1236,2005,Male,South Dakota,3532.45
158,158,470,470,470,470,High School Graduate,Accommodation and Food Services,11315396,2808,2005,Male,South Dakota,4029.7
159,159,471,471,471,471,Some College,Accommodation and Food Services,8746955,1975,2005,Male,South Dakota,4428.84
160,160,472,472,472,472,Advanced Degree,Accommodation and Food Services,3551182,722,2005,Male,South Dakota,4918.53
161,161,473,473,473,473,Unavailable,Accommodation and Food Services,11183486,5834,2005,Male,South Dakota,1916.95
162,162,474,474,474,474,All Education Categories,Accommodation and Food Services,43842081,18939,2005,Female,South Dakota,2314.91
163,163,475,475,475,475,Less Than High School,Accommodation and Food Services,4057265,1610,2005,Female,South Dakota,2520.04
164,164,476,476,476,476,High School Graduate,Accommodation and Food Services,12378720,4453,2005,Female,South Dakota,2779.86
165,165,477,477,477,477,Some College,Accommodation and Food Services,10589832,3517,2005,Female,South Dakota,3011.04
166,166,478,478,478,478,Advanced Degree,Accommodation and Food Services,3860932,1172,2005,Female,South Dakota,3294.31
167,167,479,479,479,479,Unavailable,Accommodation and Food Services,12955332,8188,2005,Female,South Dakota,1582.23
168,168,504,504,504,504,All Education Categories,00,1598054888,170091,2006,Male,South Dakota,9395.29
169,169,505,505,505,505,Less Than High School,00,106204207,15468,2006,Male,South Dakota,6866.06
170,170,506,506,506,506,High School Graduate,00,436026821,51811,2006,Male,South Dakota,8415.72
171,171,507,507,507,507,Some College,00,456699710,45392,2006,Male,South Dakota,10061.24
172,172,508,508,508,508,Advanced Degree,00,494908097,29848,2006,Male,South Dakota,16580.95
173,173,509,509,509,509,Unavailable,00,104216053,27571,2006,Male,South Dakota,3779.92
174,174,510,510,510,510,All Education Categories,00,1111538823,186278,2006,Female,South Dakota,5967.1
175,175,511,511,511,511,Less Than High School,00,47957982,10926,2006,Female,South Dakota,4389.34
176,176,512,512,512,512,High School Graduate,00,269027959,50383,2006,Female,South Dakota,5339.66
177,177,513,513,513,513,Some College,00,377387310,57799,2006,Female,South Dakota,6529.31
178,178,514,514,514,514,Advanced Degree,00,327061537,35632,2006,Female,South Dakota,9178.87
179,179,515,515,515,515,Unavailable,00,90104034,31538,2006,Female,South Dakota,2857.0
180,180,564,564,564,564,All Education Categories,Manufacturing,290024183,27427,2006,Male,South Dakota,10574.4
181,181,565,565,565,565,Less Than High School,Manufacturing,24899764,2902,2006,Male,South Dakota,8580.21
182,182,566,566,566,566,High School Graduate,Manufacturing,101216025,10218,2006,Male,South Dakota,9905.66
183,183,567,567,567,567,Some College,Manufacturing,86272665,7718,2006,Male,South Dakota,11178.11
184,184,568,568,568,568,Advanced Degree,Manufacturing,56578077,3114,2006,Male,South Dakota,18168.94
185,185,569,569,569,569,Unavailable,Manufacturing,21057651,3474,2006,Male,South Dakota,6061.5
186,186,570,570,570,570,All Education Categories,Manufacturing,90490763,12224,2006,Female,South Dakota,7402.71
187,187,571,571,571,571,Less Than High School,Manufacturing,7458062,1137,2006,Female,South Dakota,6559.42
188,188,572,572,572,572,High School Graduate,Manufacturing,32931640,4615,2006,Female,South Dakota,7135.78
189,189,573,573,573,573,Some College,Manufacturing,29885735,3776,2006,Female,South Dakota,7914.65
190,190,574,574,574,574,Advanced Degree,Manufacturing,14050804,1382,2006,Female,South Dakota,10167.01
191,191,575,575,575,575,Unavailable,Manufacturing,6164522,1315,2006,Female,South Dakota,4687.85
192,192,588,588,588,588,All Education Categories,Retail Trade,155696257,22947,2006,Male,South Dakota,6785.04
193,193,589,589,589,589,Less Than High School,Retail Trade,12368731,2089,2006,Male,South Dakota,5920.89
194,194,590,590,590,590,High School Graduate,Retail Trade,52817995,7113,2006,Male,South Dakota,7425.56
195,195,591,591,591,591,Some College,Retail Trade,46081456,5357,2006,Male,South Dakota,8602.1
196,196,592,592,592,592,Advanced Degree,Retail Trade,27322112,2305,2006,Male,South Dakota,11853.41
197,197,593,593,593,593,Unavailable,Retail Trade,17105963,6083,2006,Male,South Dakota,2812.09
198,198,594,594,594,594,All Education Categories,Retail Trade,93554091,25312,2006,Female,South Dakota,3696.04
199,199,595,595,595,595,Less Than High School,Retail Trade,6681418,1900,2006,Female,South Dakota,3516.54
200,200,596,596,596,596,High School Graduate,Retail Trade,32391972,7977,2006,Female,South Dakota,4060.67
201,201,597,597,597,597,Some College,Retail Trade,27446694,6195,2006,Female,South Dakota,4430.46
202,202,598,598,598,598,Advanced Degree,Retail Trade,12853490,2312,2006,Female,South Dakota,5559.47
203,203,599,599,599,599,Unavailable,Retail Trade,14180517,6929,2006,Female,South Dakota,2046.55
204,204,624,624,624,624,All Education Categories,Finance and Insurance,128046347,7508,2006,Male,South Dakota,17054.65
205,205,625,625,625,625,Less Than High School,Finance and Insurance,2550099,262,2006,Male,South Dakota,9733.2
206,206,626,626,626,626,High School Graduate,Finance and Insurance,14932665,1247,2006,Male,South Dakota,11974.87
