,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,936,936,936,936,All Education Categories,Educational Services,584176324,60900,2004,Male,Tennessee,9592.39
1,1,937,937,937,937,Less Than High School,Educational Services,22448717,3717,2004,Male,Tennessee,6039.47
2,2,938,938,938,938,High School Graduate,Educational Services,92967153,12365,2004,Male,Tennessee,7518.57
3,3,939,939,939,939,Some College,Educational Services,140325725,15730,2004,Male,Tennessee,8920.9
4,4,940,940,940,940,Advanced Degree,Educational Services,317980168,26135,2004,Male,Tennessee,12166.83
5,5,941,941,941,941,Unavailable,Educational Services,10454560,2953,2004,Male,Tennessee,3540.32
6,6,942,942,942,942,All Education Categories,Educational Services,1144631612,154961,2004,Female,Tennessee,7386.58
7,7,943,943,943,943,Less Than High School,Educational Services,28338527,6743,2004,Female,Tennessee,4202.66
8,8,944,944,944,944,High School Graduate,Educational Services,199618117,36565,2004,Female,Tennessee,5459.27
9,9,945,945,945,945,Some College,Educational Services,309508585,44395,2004,Female,Tennessee,6971.7
10,10,946,946,946,946,Advanced Degree,Educational Services,576912559,59920,2004,Female,Tennessee,9628.05
11,11,947,947,947,947,Unavailable,Educational Services,30253824,7339,2004,Female,Tennessee,4122.34
12,12,1032,1032,1032,1032,All Education Categories,Accommodation,86523588,12323,2004,Male,Tennessee,7021.31
13,13,1033,1033,1033,1033,Less Than High School,Accommodation,10490382,2060,2004,Male,Tennessee,5092.42
14,14,1034,1034,1034,1034,High School Graduate,Accommodation,23414776,3676,2004,Male,Tennessee,6369.63
15,15,1035,1035,1035,1035,Some College,Accommodation,24564257,2879,2004,Male,Tennessee,8532.22
16,16,1036,1036,1036,1036,Advanced Degree,Accommodation,21731072,1704,2004,Male,Tennessee,12752.98
17,17,1037,1037,1037,1037,Unavailable,Accommodation,6323102,2003,2004,Male,Tennessee,3156.82
18,18,1038,1038,1038,1038,All Education Categories,Accommodation,84950222,18253,2004,Female,Tennessee,4654.04
19,19,1039,1039,1039,1039,Less Than High School,Accommodation,10411968,2981,2004,Female,Tennessee,3492.78
20,20,1040,1040,1040,1040,High School Graduate,Accommodation,23488024,5572,2004,Female,Tennessee,4215.37
21,21,1041,1041,1041,1041,Some College,Accommodation,24111480,4492,2004,Female,Tennessee,5367.65
22,22,1042,1042,1042,1042,Advanced Degree,Accommodation,17802808,2038,2004,Female,Tennessee,8735.43
23,23,1043,1043,1043,1043,Unavailable,Accommodation,9135942,3170,2004,Female,Tennessee,2882.0
24,24,2124,2124,2124,2124,All Education Categories,Educational Services,595616946,61146,2005,Male,Tennessee,9740.9
25,25,2125,2125,2125,2125,Less Than High School,Educational Services,22637706,3735,2005,Male,Tennessee,6060.97
26,26,2126,2126,2126,2126,High School Graduate,Educational Services,94847108,12452,2005,Male,Tennessee,7617.02
27,27,2127,2127,2127,2127,Some College,Educational Services,143605811,15926,2005,Male,Tennessee,9017.07
28,28,2128,2128,2128,2128,Advanced Degree,Educational Services,324079964,26135,2005,Male,Tennessee,12400.23
29,29,2129,2129,2129,2129,Unavailable,Educational Services,10446357,2898,2005,Male,Tennessee,3604.68
30,30,2130,2130,2130,2130,All Education Categories,Educational Services,1161547181,156083,2005,Female,Tennessee,7441.86
31,31,2131,2131,2131,2131,Less Than High School,Educational Services,28869974,6743,2005,Female,Tennessee,4281.47
32,32,2132,2132,2132,2132,High School Graduate,Educational Services,202598767,36619,2005,Female,Tennessee,5532.61
33,33,2133,2133,2133,2133,Some College,Educational Services,317864918,45229,2005,Female,Tennessee,7027.9
34,34,2134,2134,2134,2134,Advanced Degree,Educational Services,582592089,60267,2005,Female,Tennessee,9666.85
35,35,2135,2135,2135,2135,Unavailable,Educational Services,29621433,7226,2005,Female,Tennessee,4099.28
36,36,2220,2220,2220,2220,All Education Categories,Accommodation,93234198,12525,2005,Male,Tennessee,7443.85
37,37,2221,2221,2221,2221,Less Than High School,Accommodation,10799297,2143,2005,Male,Tennessee,5039.34
38,38,2222,2222,2222,2222,High School Graduate,Accommodation,24543030,3767,2005,Male,Tennessee,6515.27
39,39,2223,2223,2223,2223,Some College,Accommodation,26347263,2935,2005,Male,Tennessee,8976.92
40,40,2224,2224,2224,2224,Advanced Degree,Accommodation,25378462,1744,2005,Male,Tennessee,14551.87
41,41,2225,2225,2225,2225,Unavailable,Accommodation,6166147,1936,2005,Male,Tennessee,3184.99
42,42,2226,2226,2226,2226,All Education Categories,Accommodation,88467994,18321,2005,Female,Tennessee,4828.78
43,43,2227,2227,2227,2227,Less Than High School,Accommodation,10705617,2970,2005,Female,Tennessee,3604.58
44,44,2228,2228,2228,2228,High School Graduate,Accommodation,24133405,5613,2005,Female,Tennessee,4299.56
45,45,2229,2229,2229,2229,Some College,Accommodation,25254622,4524,2005,Female,Tennessee,5582.37
46,46,2230,2230,2230,2230,Advanced Degree,Accommodation,19570537,2094,2005,Female,Tennessee,9346.01
47,47,2231,2231,2231,2231,Unavailable,Accommodation,8803813,3120,2005,Female,Tennessee,2821.73
48,48,3312,3312,3312,3312,All Education Categories,Educational Services,626727744,62001,2006,Male,Tennessee,10108.35
49,49,3313,3313,3313,3313,Less Than High School,Educational Services,24345675,3812,2006,Male,Tennessee,6386.59
50,50,3314,3314,3314,3314,High School Graduate,Educational Services,100847879,12713,2006,Male,Tennessee,7932.66
51,51,3315,3315,3315,3315,Some College,Educational Services,153274190,16317,2006,Male,Tennessee,9393.53
52,52,3316,3316,3316,3316,Advanced Degree,Educational Services,337344878,26252,2006,Male,Tennessee,12850.25
53,53,3317,3317,3317,3317,Unavailable,Educational Services,10915122,2908,2006,Male,Tennessee,3753.48
54,54,3318,3318,3318,3318,All Education Categories,Educational Services,1225317010,159564,2006,Female,Tennessee,7679.16
55,55,3319,3319,3319,3319,Less Than High School,Educational Services,31028911,6962,2006,Female,Tennessee,4456.9
56,56,3320,3320,3320,3320,High School Graduate,Educational Services,215095911,37396,2006,Female,Tennessee,5751.84
57,57,3321,3321,3321,3321,Some College,Educational Services,339341995,46742,2006,Female,Tennessee,7259.89
58,58,3322,3322,3322,3322,Advanced Degree,Educational Services,609492052,61239,2006,Female,Tennessee,9952.68
59,59,3323,3323,3323,3323,Unavailable,Educational Services,30358141,7224,2006,Female,Tennessee,4202.4
60,60,3408,3408,3408,3408,All Education Categories,Accommodation,104650803,12885,2006,Male,Tennessee,8121.91
61,61,3409,3409,3409,3409,Less Than High School,Accommodation,12163727,2187,2006,Male,Tennessee,5561.83
62,62,3410,3410,3410,3410,High School Graduate,Accommodation,27239854,3844,2006,Male,Tennessee,7086.33
63,63,3411,3411,3411,3411,Some College,Accommodation,29892071,3032,2006,Male,Tennessee,9858.86
64,64,3412,3412,3412,3412,Advanced Degree,Accommodation,28815731,1845,2006,Male,Tennessee,15618.28
65,65,3413,3413,3413,3413,Unavailable,Accommodation,6539419,1977,2006,Male,Tennessee,3307.75
66,66,3414,3414,3414,3414,All Education Categories,Accommodation,98133461,18827,2006,Female,Tennessee,5212.38
67,67,3415,3415,3415,3415,Less Than High School,Accommodation,11757951,3025,2006,Female,Tennessee,3886.93
68,68,3416,3416,3416,3416,High School Graduate,Accommodation,26460402,5697,2006,Female,Tennessee,4644.62
69,69,3417,3417,3417,3417,Some College,Accommodation,28007626,4701,2006,Female,Tennessee,5957.8
70,70,3418,3418,3418,3418,Advanced Degree,Accommodation,21915258,2200,2006,Female,Tennessee,9961.48
71,71,3419,3419,3419,3419,Unavailable,Accommodation,9992224,3205,2006,Female,Tennessee,3117.7
72,72,4500,4500,4500,4500,All Education Categories,Educational Services,656807072,62449,2007,Male,Tennessee,10517.5
73,73,4501,4501,4501,4501,Less Than High School,Educational Services,26191481,3906,2007,Male,Tennessee,6705.45
74,74,4502,4502,4502,4502,High School Graduate,Educational Services,106955621,13003,2007,Male,Tennessee,8225.46
75,75,4503,4503,4503,4503,Some College,Educational Services,161731342,16565,2007,Male,Tennessee,9763.44
76,76,4504,4504,4504,4504,Advanced Degree,Educational Services,350869073,26051,2007,Male,Tennessee,13468.55
77,77,4505,4505,4505,4505,Unavailable,Educational Services,11059555,2924,2007,Male,Tennessee,3782.34
78,78,4506,4506,4506,4506,All Education Categories,Educational Services,1279238966,160618,2007,Female,Tennessee,7964.48
79,79,4507,4507,4507,4507,Less Than High School,Educational Services,34306486,7171,2007,Female,Tennessee,4784.06
80,80,4508,4508,4508,4508,High School Graduate,Educational Services,227242754,37668,2007,Female,Tennessee,6032.78
81,81,4509,4509,4509,4509,Some College,Educational Services,359429046,47555,2007,Female,Tennessee,7558.18
82,82,4510,4510,4510,4510,Advanced Degree,Educational Services,627492150,61023,2007,Female,Tennessee,10282.88
83,83,4511,4511,4511,4511,Unavailable,Educational Services,30768529,7200,2007,Female,Tennessee,4273.41
84,84,4596,4596,4596,4596,All Education Categories,Accommodation,132889303,13895,2007,Male,Tennessee,9563.82
85,85,4597,4597,4597,4597,Less Than High School,Accommodation,14097671,2387,2007,Male,Tennessee,5906.02
86,86,4598,4598,4598,4598,High School Graduate,Accommodation,32253231,4123,2007,Male,Tennessee,7822.76
87,87,4599,4599,4599,4599,Some College,Accommodation,41298880,3286,2007,Male,Tennessee,12568.13
88,88,4600,4600,4600,4600,Advanced Degree,Accommodation,37968123,2064,2007,Male,Tennessee,18395.41
89,89,4601,4601,4601,4601,Unavailable,Accommodation,7271399,2036,2007,Male,Tennessee,3571.41
90,90,4602,4602,4602,4602,All Education Categories,Accommodation,109724480,19823,2007,Female,Tennessee,5535.21
91,91,4603,4603,4603,4603,Less Than High School,Accommodation,12951548,3203,2007,Female,Tennessee,4043.57
92,92,4604,4604,4604,4604,High School Graduate,Accommodation,28866807,5913,2007,Female,Tennessee,4881.92
93,93,4605,4605,4605,4605,Some College,Accommodation,31894138,5002,2007,Female,Tennessee,6376.28
94,94,4606,4606,4606,4606,Advanced Degree,Accommodation,25429874,2390,2007,Female,Tennessee,10640.11
95,95,4607,4607,4607,4607,Unavailable,Accommodation,10582113,3314,2007,Female,Tennessee,3193.15
96,96,5688,5688,5688,5688,All Education Categories,Educational Services,697985717,64210,2008,Male,Tennessee,10870.36
97,97,5689,5689,5689,5689,Less Than High School,Educational Services,29672329,4202,2008,Male,Tennessee,7061.48
98,98,5690,5690,5690,5690,High School Graduate,Educational Services,116380503,13638,2008,Male,Tennessee,8533.55
99,99,5691,5691,5691,5691,Some College,Educational Services,173819806,17115,2008,Male,Tennessee,10155.99
