,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,56997214493,4615919,2004,Male,Texas,12347.97
1,1,1,1,1,1,Less Than High School,00,5133911183,700842,2004,Male,Texas,7325.35
2,2,2,2,2,2,High School Graduate,00,10635614582,1039475,2004,Male,Texas,10231.72
3,3,3,3,3,3,Some College,00,15929154835,1229286,2004,Male,Texas,12958.05
4,4,4,4,4,4,Advanced Degree,00,22515815026,998578,2004,Male,Texas,22547.88
5,5,5,5,5,5,Unavailable,00,2782718867,647738,2004,Male,Texas,4296.06
6,6,6,6,6,6,All Education Categories,00,32305842851,4391187,2004,Female,Texas,7356.97
7,7,7,7,7,7,Less Than High School,00,2394742592,528443,2004,Female,Texas,4531.7
8,8,8,8,8,8,High School Graduate,00,5958644739,961117,2004,Female,Texas,6199.71
9,9,9,9,9,9,Some College,00,10041317262,1280898,2004,Female,Texas,7839.28
10,10,10,10,10,10,Advanced Degree,00,11516271056,949122,2004,Female,Texas,12133.6
11,11,11,11,11,11,Unavailable,00,2394867203,671607,2004,Female,Texas,3565.88
12,12,60,60,60,60,All Education Categories,Manufacturing,9626793309,652357,2004,Male,Texas,14756.94
13,13,61,61,61,61,Less Than High School,Manufacturing,1008394046,115883,2004,Male,Texas,8701.83
14,14,62,62,62,62,High School Graduate,Manufacturing,2145699232,170258,2004,Male,Texas,12602.63
15,15,63,63,63,63,Some College,Manufacturing,2954300883,188758,2004,Male,Texas,15651.26
16,16,64,64,64,64,Advanced Degree,Manufacturing,3226137602,129722,2004,Male,Texas,24869.63
17,17,65,65,65,65,Unavailable,Manufacturing,292261547,47735,2004,Male,Texas,6122.58
18,18,66,66,66,66,All Education Categories,Manufacturing,2350719263,248216,2004,Female,Texas,9470.46
19,19,67,67,67,67,Less Than High School,Manufacturing,271837978,47214,2004,Female,Texas,5757.57
20,20,68,68,68,68,High School Graduate,Manufacturing,536895420,65961,2004,Female,Texas,8139.59
21,21,69,69,69,69,Some College,Manufacturing,724918512,70874,2004,Female,Texas,10228.27
22,22,70,70,70,70,Advanced Degree,Manufacturing,712659138,44238,2004,Female,Texas,16109.66
23,23,71,71,71,71,Unavailable,Manufacturing,104408214,19928,2004,Female,Texas,5239.27
24,24,84,84,84,84,All Education Categories,Retail Trade,4297132264,547116,2004,Male,Texas,7854.15
25,25,85,85,85,85,Less Than High School,Retail Trade,522537894,81744,2004,Male,Texas,6392.37
26,26,86,86,86,86,High School Graduate,Retail Trade,1058143355,130046,2004,Male,Texas,8136.69
27,27,87,87,87,87,Some College,Retail Trade,1286362466,130842,2004,Male,Texas,9831.42
28,28,88,88,88,88,Advanced Degree,Retail Trade,931224600,61349,2004,Male,Texas,15179.13
29,29,89,89,89,89,Unavailable,Retail Trade,498863948,143134,2004,Male,Texas,3485.29
30,30,90,90,90,90,All Education Categories,Retail Trade,2555668810,540402,2004,Female,Texas,4729.2
31,31,91,91,91,91,Less Than High School,Retail Trade,331233136,78971,2004,Female,Texas,4194.36
32,32,92,92,92,92,High School Graduate,Retail Trade,677186778,136410,2004,Female,Texas,4964.35
33,33,93,93,93,93,Some College,Retail Trade,709832896,124350,2004,Female,Texas,5708.35
34,34,94,94,94,94,Advanced Degree,Retail Trade,434855595,50353,2004,Female,Texas,8636.14
35,35,95,95,95,95,Unavailable,Retail Trade,402560406,150318,2004,Female,Texas,2678.06
36,36,120,120,120,120,All Education Categories,Finance and Insurance,3747450432,140795,2004,Male,Texas,26616.36
37,37,121,121,121,121,Less Than High School,Finance and Insurance,78637701,7417,2004,Male,Texas,10602.36
38,38,122,122,122,122,High School Graduate,Finance and Insurance,292881057,19435,2004,Male,Texas,15069.77
39,39,123,123,123,123,Some College,Finance and Insurance,755866577,36069,2004,Male,Texas,20956.13
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,2521733974,62818,2004,Male,Texas,40143.49
41,41,125,125,125,125,Unavailable,Finance and Insurance,98331124,15055,2004,Male,Texas,6531.46
42,42,126,126,126,126,All Education Categories,Finance and Insurance,2919404251,270980,2004,Female,Texas,10773.5
43,43,127,127,127,127,Less Than High School,Finance and Insurance,92297124,13198,2004,Female,Texas,6993.27
44,44,128,128,128,128,High School Graduate,Finance and Insurance,439181486,51931,2004,Female,Texas,8457.02
45,45,129,129,129,129,Some College,Finance and Insurance,858969411,84908,2004,Female,Texas,10116.47
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,1330646799,85582,2004,Female,Texas,15548.21
47,47,131,131,131,131,Unavailable,Finance and Insurance,198309431,35361,2004,Female,Texas,5608.14
48,48,180,180,180,180,All Education Categories,Educational Services,2744650697,297056,2004,Male,Texas,9239.51
49,49,181,181,181,181,Less Than High School,Educational Services,166715952,27630,2004,Male,Texas,6033.87
50,50,182,182,182,182,High School Graduate,Educational Services,415732836,54375,2004,Male,Texas,7645.66
51,51,183,183,183,183,Some College,Educational Services,719141152,80811,2004,Male,Texas,8899.05
52,52,184,184,184,184,Advanced Degree,Educational Services,1374390269,111029,2004,Male,Texas,12378.66
53,53,185,185,185,185,Unavailable,Educational Services,68670488,23211,2004,Male,Texas,2958.53
54,54,186,186,186,186,All Education Categories,Educational Services,5178086076,711683,2004,Female,Texas,7275.83
55,55,187,187,187,187,Less Than High School,Educational Services,232612393,54349,2004,Female,Texas,4279.98
56,56,188,188,188,188,High School Graduate,Educational Services,858682153,147742,2004,Female,Texas,5812.04
57,57,189,189,189,189,Some College,Educational Services,1539324915,215201,2004,Female,Texas,7152.96
58,58,190,190,190,190,Advanced Degree,Educational Services,2385262054,249459,2004,Female,Texas,9561.74
59,59,191,191,191,191,Unavailable,Educational Services,162204560,44932,2004,Female,Texas,3610.0
60,60,192,192,192,192,All Education Categories,Health Care and Social Assistance,3152820655,219338,2004,Male,Texas,14374.26
61,61,193,193,193,193,Less Than High School,Health Care and Social Assistance,165909783,23997,2004,Male,Texas,6913.77
62,62,194,194,194,194,High School Graduate,Health Care and Social Assistance,392924697,42491,2004,Male,Texas,9247.25
63,63,195,195,195,195,Some College,Health Care and Social Assistance,836702166,66102,2004,Male,Texas,12657.74
64,64,196,196,196,196,Advanced Degree,Health Care and Social Assistance,1661406370,65470,2004,Male,Texas,25376.61
65,65,197,197,197,197,Unavailable,Health Care and Social Assistance,95877638,21277,2004,Male,Texas,4506.16
66,66,198,198,198,198,All Education Categories,Health Care and Social Assistance,6061810620,857392,2004,Female,Texas,7070.06
67,67,199,199,199,199,Less Than High School,Health Care and Social Assistance,438909057,111820,2004,Female,Texas,3925.14
68,68,200,200,200,200,High School Graduate,Health Care and Social Assistance,1051301541,186461,2004,Female,Texas,5638.18
69,69,201,201,201,201,Some College,Health Care and Social Assistance,2224422082,298339,2004,Female,Texas,7456.02
70,70,202,202,202,202,Advanced Degree,Health Care and Social Assistance,1981261211,173065,2004,Female,Texas,11448.08
71,71,203,203,203,203,Unavailable,Health Care and Social Assistance,365916729,87708,2004,Female,Texas,4171.99
72,72,216,216,216,216,All Education Categories,Accommodation and Food Services,1636660881,353876,2004,Male,Texas,4624.96
73,73,217,217,217,217,Less Than High School,Accommodation and Food Services,303845881,67125,2004,Male,Texas,4526.57
74,74,218,218,218,218,High School Graduate,Accommodation and Food Services,347459727,65813,2004,Male,Texas,5279.5
75,75,219,219,219,219,Some College,Accommodation and Food Services,374241964,60204,2004,Male,Texas,6216.23
76,76,220,220,220,220,Advanced Degree,Accommodation and Food Services,254117277,28028,2004,Male,Texas,9066.55
77,77,221,221,221,221,Unavailable,Accommodation and Food Services,356996031,132706,2004,Male,Texas,2690.13
78,78,222,222,222,222,All Education Categories,Accommodation and Food Services,1325767199,390603,2004,Female,Texas,3394.16
79,79,223,223,223,223,Less Than High School,Accommodation and Food Services,242541191,72103,2004,Female,Texas,3363.82
80,80,224,224,224,224,High School Graduate,Accommodation and Food Services,266866152,70865,2004,Female,Texas,3765.84
81,81,225,225,225,225,Some College,Accommodation and Food Services,281070540,64661,2004,Female,Texas,4346.83
82,82,226,226,226,226,Advanced Degree,Accommodation and Food Services,161111665,27655,2004,Female,Texas,5825.77
83,83,227,227,227,227,Unavailable,Accommodation and Food Services,374177650,155320,2004,Female,Texas,2409.08
84,84,252,252,252,252,All Education Categories,00,60974325469,4711947,2005,Male,Texas,12940.37
85,85,253,253,253,253,Less Than High School,00,5445887279,723148,2005,Male,Texas,7530.81
86,86,254,254,254,254,High School Graduate,00,11324169396,1066104,2005,Male,Texas,10622.01
87,87,255,255,255,255,Some College,00,16969107761,1258279,2005,Male,Texas,13485.97
88,88,256,256,256,256,Advanced Degree,00,24393965536,1012080,2005,Male,Texas,24102.8
89,89,257,257,257,257,Unavailable,00,2841195498,652336,2005,Male,Texas,4355.42
90,90,258,258,258,258,All Education Categories,00,33509531908,4493852,2005,Female,Texas,7456.75
91,91,259,259,259,259,Less Than High School,00,2522109827,552244,2005,Female,Texas,4567.02
92,92,260,260,260,260,High School Graduate,00,6168508402,984314,2005,Female,Texas,6266.81
93,93,261,261,261,261,Some College,00,10409523891,1313258,2005,Female,Texas,7926.49
94,94,262,262,262,262,Advanced Degree,00,11991003924,966075,2005,Female,Texas,12412.08
95,95,263,263,263,263,Unavailable,00,2418385864,677962,2005,Female,Texas,3567.14
96,96,312,312,312,312,All Education Categories,Manufacturing,10400410734,661362,2005,Male,Texas,15725.75
97,97,313,313,313,313,Less Than High School,Manufacturing,1063248848,118261,2005,Male,Texas,8990.7
98,98,314,314,314,314,High School Graduate,Manufacturing,2274854346,172427,2005,Male,Texas,13193.14
99,99,315,315,315,315,Some College,Manufacturing,3184358626,190984,2005,Male,Texas,16673.43
100,100,316,316,316,316,Advanced Degree,Manufacturing,3577730656,130966,2005,Male,Texas,27318.01
101,101,317,317,317,317,Unavailable,Manufacturing,300218258,48723,2005,Male,Texas,6161.74
102,102,318,318,318,318,All Education Categories,Manufacturing,2473516965,248272,2005,Female,Texas,9962.93
103,103,319,319,319,319,Less Than High School,Manufacturing,275807438,47239,2005,Female,Texas,5838.55
104,104,320,320,320,320,High School Graduate,Manufacturing,552454231,65557,2005,Female,Texas,8427.08
105,105,321,321,321,321,Some College,Manufacturing,764283621,71185,2005,Female,Texas,10736.58
106,106,322,322,322,322,Advanced Degree,Manufacturing,779634792,44771,2005,Female,Texas,17413.83
107,107,323,323,323,323,Unavailable,Manufacturing,101336882,19520,2005,Female,Texas,5191.44
108,108,336,336,336,336,All Education Categories,Retail Trade,4416275466,552005,2005,Male,Texas,8000.43
109,109,337,337,337,337,Less Than High School,Retail Trade,537193480,83357,2005,Male,Texas,6444.49
110,110,338,338,338,338,High School Graduate,Retail Trade,1079786414,131285,2005,Male,Texas,8224.75
111,111,339,339,339,339,Some College,Retail Trade,1326676528,132160,2005,Male,Texas,10038.41
112,112,340,340,340,340,Advanced Degree,Retail Trade,982047889,62034,2005,Male,Texas,15830.8
113,113,341,341,341,341,Unavailable,Retail Trade,490571155,143169,2005,Male,Texas,3426.52
114,114,342,342,342,342,All Education Categories,Retail Trade,2651428718,554363,2005,Female,Texas,4782.84
115,115,343,343,343,343,Less Than High School,Retail Trade,349184991,82589,2005,Female,Texas,4227.98
116,116,344,344,344,344,High School Graduate,Retail Trade,696715573,139250,2005,Female,Texas,5003.34
117,117,345,345,345,345,Some College,Retail Trade,738616617,127818,2005,Female,Texas,5778.66
118,118,346,346,346,346,Advanced Degree,Retail Trade,461459532,51720,2005,Female,Texas,8922.26
119,119,347,347,347,347,Unavailable,Retail Trade,405452005,152985,2005,Female,Texas,2650.27
120,120,372,372,372,372,All Education Categories,Finance and Insurance,4207394575,147795,2005,Male,Texas,28467.77
121,121,373,373,373,373,Less Than High School,Finance and Insurance,87912077,8269,2005,Male,Texas,10631.52
122,122,374,374,374,374,High School Graduate,Finance and Insurance,326174722,20890,2005,Male,Texas,15613.92
123,123,375,375,375,375,Some College,Finance and Insurance,834767816,38149,2005,Male,Texas,21881.77
124,124,376,376,376,376,Advanced Degree,Finance and Insurance,2857617579,65114,2005,Male,Texas,43886.38
125,125,377,377,377,377,Unavailable,Finance and Insurance,100922381,15373,2005,Male,Texas,6564.91
126,126,378,378,378,378,All Education Categories,Finance and Insurance,3091933804,276642,2005,Female,Texas,11176.66
127,127,379,379,379,379,Less Than High School,Finance and Insurance,101356159,14177,2005,Female,Texas,7149.34
128,128,380,380,380,380,High School Graduate,Finance and Insurance,458964543,53130,2005,Female,Texas,8638.52
129,129,381,381,381,381,Some College,Finance and Insurance,904831432,86784,2005,Female,Texas,10426.25
130,130,382,382,382,382,Advanced Degree,Finance and Insurance,1427963851,87417,2005,Female,Texas,16335.08
131,131,383,383,383,383,Unavailable,Finance and Insurance,198817820,35134,2005,Female,Texas,5658.84
132,132,432,432,432,432,All Education Categories,Educational Services,2847481927,300822,2005,Male,Texas,9465.67
133,133,433,433,433,433,Less Than High School,Educational Services,178232200,28868,2005,Male,Texas,6174.04
134,134,434,434,434,434,High School Graduate,Educational Services,437535451,56003,2005,Male,Texas,7812.71
135,135,435,435,435,435,Some College,Educational Services,753846388,82619,2005,Male,Texas,9124.37
136,136,436,436,436,436,Advanced Degree,Educational Services,1399240528,108439,2005,Male,Texas,12903.48
137,137,437,437,437,437,Unavailable,Educational Services,78627361,24894,2005,Male,Texas,3158.49
138,138,438,438,438,438,All Education Categories,Educational Services,5403500316,728334,2005,Female,Texas,7418.99
139,139,439,439,439,439,Less Than High School,Educational Services,250821074,57233,2005,Female,Texas,4382.46
140,140,440,440,440,440,High School Graduate,Educational Services,897785324,151013,2005,Female,Texas,5945.09
141,141,441,441,441,441,Some College,Educational Services,1619064646,221272,2005,Female,Texas,7317.08
142,142,442,442,442,442,Advanced Degree,Educational Services,2453074180,251229,2005,Female,Texas,9764.3
143,143,443,443,443,443,Unavailable,Educational Services,182755092,47588,2005,Female,Texas,3840.36
144,144,444,444,444,444,All Education Categories,Health Care and Social Assistance,3316358499,227601,2005,Male,Texas,14570.93
145,145,445,445,445,445,Less Than High School,Health Care and Social Assistance,175236812,25574,2005,Male,Texas,6852.15
146,146,446,446,446,446,High School Graduate,Health Care and Social Assistance,412313557,44688,2005,Male,Texas,9226.49
147,147,447,447,447,447,Some College,Health Care and Social Assistance,873867263,68802,2005,Male,Texas,12701.19
148,148,448,448,448,448,Advanced Degree,Health Care and Social Assistance,1760119157,67378,2005,Male,Texas,26123.05
149,149,449,449,449,449,Unavailable,Health Care and Social Assistance,94821710,21159,2005,Male,Texas,4481.39
150,150,450,450,450,450,All Education Categories,Health Care and Social Assistance,6181248538,882388,2005,Female,Texas,7005.14
151,151,451,451,451,451,Less Than High School,Health Care and Social Assistance,457670550,117961,2005,Female,Texas,3879.85
152,152,452,452,452,452,High School Graduate,Health Care and Social Assistance,1076659195,193080,2005,Female,Texas,5576.23
153,153,453,453,453,453,Some College,Health Care and Social Assistance,2263809358,307669,2005,Female,Texas,7357.94
154,154,454,454,454,454,Advanced Degree,Health Care and Social Assistance,2028645830,178195,2005,Female,Texas,11384.41
155,155,455,455,455,455,Unavailable,Health Care and Social Assistance,354463605,85484,2005,Female,Texas,4146.55
156,156,468,468,468,468,All Education Categories,Accommodation and Food Services,1693284028,364442,2005,Male,Texas,4646.24
157,157,469,469,469,469,Less Than High School,Accommodation and Food Services,309762307,69576,2005,Male,Texas,4452.14
158,158,470,470,470,470,High School Graduate,Accommodation and Food Services,360635045,68875,2005,Male,Texas,5236.08
159,159,471,471,471,471,Some College,Accommodation and Food Services,392454296,62973,2005,Male,Texas,6232.1
160,160,472,472,472,472,Advanced Degree,Accommodation and Food Services,273068991,29075,2005,Male,Texas,9391.88
161,161,473,473,473,473,Unavailable,Accommodation and Food Services,357363389,133943,2005,Male,Texas,2668.03
162,162,474,474,474,474,All Education Categories,Accommodation and Food Services,1377332990,405113,2005,Female,Texas,3399.87
163,163,475,475,475,475,Less Than High School,Accommodation and Food Services,251345721,75356,2005,Female,Texas,3335.44
164,164,476,476,476,476,High School Graduate,Accommodation and Food Services,276436338,73540,2005,Female,Texas,3758.99
165,165,477,477,477,477,Some College,Accommodation and Food Services,291528409,67163,2005,Female,Texas,4340.61
166,166,478,478,478,478,Advanced Degree,Accommodation and Food Services,172518253,28852,2005,Female,Texas,5979.42
167,167,479,479,479,479,Unavailable,Accommodation and Food Services,385504269,160202,2005,Female,Texas,2406.36
168,168,504,504,504,504,All Education Categories,00,69180607559,4883521,2006,Male,Texas,14166.13
169,169,505,505,505,505,Less Than High School,00,6374888667,757545,2006,Male,Texas,8415.19
170,170,506,506,506,506,High School Graduate,00,12875998337,1108747,2006,Male,Texas,11613.11
171,171,507,507,507,507,Some College,00,19181654175,1302841,2006,Male,Texas,14722.94
172,172,508,508,508,508,Advanced Degree,00,27457475418,1038387,2006,Male,Texas,26442.43
173,173,509,509,509,509,Unavailable,00,3290590963,676001,2006,Male,Texas,4867.73
174,174,510,510,510,510,All Education Categories,00,37128059231,4638342,2006,Female,Texas,8004.6
175,175,511,511,511,511,Less Than High School,00,2895567202,582717,2006,Female,Texas,4969.08
176,176,512,512,512,512,High School Graduate,00,6870113096,1017716,2006,Female,Texas,6750.52
177,177,513,513,513,513,Some College,00,11544406511,1354977,2006,Female,Texas,8520.0
178,178,514,514,514,514,Advanced Degree,00,13156782189,989666,2006,Female,Texas,13294.16
179,179,515,515,515,515,Unavailable,00,2661190234,693266,2006,Female,Texas,3838.63
180,180,564,564,564,564,All Education Categories,Manufacturing,11892129617,677427,2006,Male,Texas,17554.85
181,181,565,565,565,565,Less Than High School,Manufacturing,1248198883,122479,2006,Male,Texas,10191.13
182,182,566,566,566,566,High School Graduate,Manufacturing,2582106260,176142,2006,Male,Texas,14659.23
183,183,567,567,567,567,Some College,Manufacturing,3591734607,194649,2006,Male,Texas,18452.37
184,184,568,568,568,568,Advanced Degree,Manufacturing,4105947620,131944,2006,Male,Texas,31118.87
185,185,569,569,569,569,Unavailable,Manufacturing,364142246,52214,2006,Male,Texas,6974.03
186,186,570,570,570,570,All Education Categories,Manufacturing,2775562281,252730,2006,Female,Texas,10982.32
187,187,571,571,571,571,Less Than High School,Manufacturing,314883340,48213,2006,Female,Texas,6531.09
188,188,572,572,572,572,High School Graduate,Manufacturing,615116081,66422,2006,Female,Texas,9260.73
