,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2964,2964,2964,2964,2964,All Education Categories,"Colleges, Universities, and Professional Schools",168921047,13445,2004,Male,Utah,12563.86
1,1,2965,2965,2965,2965,2965,Less Than High School,"Colleges, Universities, and Professional Schools",2013210,300,2004,Male,Utah,6710.7
2,2,2966,2966,2966,2966,2966,High School Graduate,"Colleges, Universities, and Professional Schools",11885251,1374,2004,Male,Utah,8650.11
3,3,2967,2967,2967,2967,2967,Some College,"Colleges, Universities, and Professional Schools",30810729,3013,2004,Male,Utah,10225.93
4,4,2968,2968,2968,2968,2968,Advanced Degree,"Colleges, Universities, and Professional Schools",121933762,8107,2004,Male,Utah,15040.55
5,5,2969,2969,2969,2969,2969,Unavailable,"Colleges, Universities, and Professional Schools",2278096,650,2004,Male,Utah,3504.76
6,6,2970,2970,2970,2970,2970,All Education Categories,"Colleges, Universities, and Professional Schools",111513975,13826,2004,Female,Utah,8065.53
7,7,2971,2971,2971,2971,2971,Less Than High School,"Colleges, Universities, and Professional Schools",1462628,302,2004,Female,Utah,4843.14
8,8,2972,2972,2972,2972,2972,High School Graduate,"Colleges, Universities, and Professional Schools",10552168,1759,2004,Female,Utah,5998.96
9,9,2973,2973,2973,2973,2973,Some College,"Colleges, Universities, and Professional Schools",26800715,3743,2004,Female,Utah,7160.22
10,10,2974,2974,2974,2974,2974,Advanced Degree,"Colleges, Universities, and Professional Schools",66727283,6580,2004,Female,Utah,10140.92
11,11,2975,2975,2975,2975,2975,Unavailable,"Colleges, Universities, and Professional Schools",5971182,1442,2004,Female,Utah,4140.9
12,12,6624,6624,6624,6624,6624,All Education Categories,"Colleges, Universities, and Professional Schools",182082863,14034,2005,Male,Utah,12974.41
13,13,6625,6625,6625,6625,6625,Less Than High School,"Colleges, Universities, and Professional Schools",2292974,333,2005,Male,Utah,6885.81
14,14,6626,6626,6626,6626,6626,High School Graduate,"Colleges, Universities, and Professional Schools",12995801,1490,2005,Male,Utah,8722.01
15,15,6627,6627,6627,6627,6627,Some College,"Colleges, Universities, and Professional Schools",33263470,3218,2005,Male,Utah,10336.69
16,16,6628,6628,6628,6628,6628,Advanced Degree,"Colleges, Universities, and Professional Schools",131398032,8409,2005,Male,Utah,15625.88
17,17,6629,6629,6629,6629,6629,Unavailable,"Colleges, Universities, and Professional Schools",2132586,584,2005,Male,Utah,3651.69
18,18,6630,6630,6630,6630,6630,All Education Categories,"Colleges, Universities, and Professional Schools",118709690,14363,2005,Female,Utah,8264.96
19,19,6631,6631,6631,6631,6631,Less Than High School,"Colleges, Universities, and Professional Schools",1628212,326,2005,Female,Utah,4994.52
20,20,6632,6632,6632,6632,6632,High School Graduate,"Colleges, Universities, and Professional Schools",11360890,1887,2005,Female,Utah,6020.61
21,21,6633,6633,6633,6633,6633,Some College,"Colleges, Universities, and Professional Schools",28862464,3963,2005,Female,Utah,7282.98
22,22,6634,6634,6634,6634,6634,Advanced Degree,"Colleges, Universities, and Professional Schools",71450999,6906,2005,Female,Utah,10346.22
23,23,6635,6635,6635,6635,6635,Unavailable,"Colleges, Universities, and Professional Schools",5407125,1281,2005,Female,Utah,4221.02
24,24,10272,10272,10272,10272,10272,All Education Categories,"Colleges, Universities, and Professional Schools",172432673,12881,2006,Male,Utah,13386.59
25,25,10273,10273,10273,10273,10273,Less Than High School,"Colleges, Universities, and Professional Schools",2316985,327,2006,Male,Utah,7085.58
26,26,10274,10274,10274,10274,10274,High School Graduate,"Colleges, Universities, and Professional Schools",12954410,1419,2006,Male,Utah,9129.25
27,27,10275,10275,10275,10275,10275,Some College,"Colleges, Universities, and Professional Schools",32647076,3022,2006,Male,Utah,10803.14
28,28,10276,10276,10276,10276,10276,Advanced Degree,"Colleges, Universities, and Professional Schools",122717072,7631,2006,Male,Utah,16081.39
29,29,10277,10277,10277,10277,10277,Unavailable,"Colleges, Universities, and Professional Schools",1797130,483,2006,Male,Utah,3720.77
