,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,1377018463,142183,2004,Male,Vermont,9684.83
1,1,1,1,1,1,Less Than High School,00,76155937,11287,2004,Male,Vermont,6747.23
2,2,2,2,2,2,High School Graduate,00,347687825,41154,2004,Male,Vermont,8448.46
3,3,3,3,3,3,Some College,00,365811737,35845,2004,Male,Vermont,10205.38
4,4,4,4,4,4,Advanced Degree,00,509918401,33052,2004,Male,Vermont,15427.76
5,5,5,5,5,5,Unavailable,00,77444564,20845,2004,Male,Vermont,3715.26
6,6,6,6,6,6,All Education Categories,00,937494915,148659,2004,Female,Vermont,6306.34
7,7,7,7,7,7,Less Than High School,00,29328458,6829,2004,Female,Vermont,4294.69
8,8,8,8,8,8,High School Graduate,00,197285738,36761,2004,Female,Vermont,5366.71
9,9,9,9,9,9,Some College,00,285182263,43498,2004,Female,Vermont,6556.22
10,10,10,10,10,10,Advanced Degree,00,358301693,38604,2004,Female,Vermont,9281.47
11,11,11,11,11,11,Unavailable,00,67396764,22967,2004,Female,Vermont,2934.5
12,12,60,60,60,60,All Education Categories,Manufacturing,317880030,26157,2004,Male,Vermont,12152.77
13,13,61,61,61,61,Less Than High School,Manufacturing,17919208,2151,2004,Male,Vermont,8330.64
14,14,62,62,62,62,High School Graduate,Manufacturing,96037740,9419,2004,Male,Vermont,10196.17
15,15,63,63,63,63,Some College,Manufacturing,96365788,7568,2004,Male,Vermont,12733.32
16,16,64,64,64,64,Advanced Degree,Manufacturing,96286222,5133,2004,Male,Vermont,18758.27
17,17,65,65,65,65,Unavailable,Manufacturing,11271073,1887,2004,Male,Vermont,5973.01
18,18,66,66,66,66,All Education Categories,Manufacturing,95814393,11379,2004,Female,Vermont,8420.28
19,19,67,67,67,67,Less Than High School,Manufacturing,4225566,717,2004,Female,Vermont,5893.4
20,20,68,68,68,68,High School Graduate,Manufacturing,29243332,4045,2004,Female,Vermont,7229.5
21,21,69,69,69,69,Some College,Manufacturing,31376972,3571,2004,Female,Vermont,8786.61
22,22,70,70,70,70,Advanced Degree,Manufacturing,27058744,2172,2004,Female,Vermont,12457.99
23,23,71,71,71,71,Unavailable,Manufacturing,3909779,874,2004,Female,Vermont,4473.43
24,24,84,84,84,84,All Education Categories,Retail Trade,136079519,19240,2004,Male,Vermont,7072.74
25,25,85,85,85,85,Less Than High School,Retail Trade,10374360,1693,2004,Male,Vermont,6127.8
26,26,86,86,86,86,High School Graduate,Retail Trade,46951836,6023,2004,Male,Vermont,7795.42
27,27,87,87,87,87,Some College,Retail Trade,37479964,4340,2004,Male,Vermont,8635.94
28,28,88,88,88,88,Advanced Degree,Retail Trade,25946653,2228,2004,Male,Vermont,11645.71
29,29,89,89,89,89,Unavailable,Retail Trade,15326706,4956,2004,Male,Vermont,3092.56
30,30,90,90,90,90,All Education Categories,Retail Trade,82362033,19576,2004,Female,Vermont,4207.3
31,31,91,91,91,91,Less Than High School,Retail Trade,4612768,1227,2004,Female,Vermont,3759.39
32,32,92,92,92,92,High School Graduate,Retail Trade,26820585,5831,2004,Female,Vermont,4599.65
33,33,93,93,93,93,Some College,Retail Trade,23145220,4501,2004,Female,Vermont,5142.24
34,34,94,94,94,94,Advanced Degree,Retail Trade,14149131,2197,2004,Female,Vermont,6440.21
35,35,95,95,95,95,Unavailable,Retail Trade,13634329,5821,2004,Female,Vermont,2342.27
36,36,120,120,120,120,All Education Categories,Finance and Insurance,70982437,2897,2004,Male,Vermont,24502.05
37,37,121,121,121,121,Less Than High School,Finance and Insurance,771222,72,2004,Male,Vermont,10711.42
38,38,122,122,122,122,High School Graduate,Finance and Insurance,4728802,366,2004,Male,Vermont,12920.22
39,39,123,123,123,123,Some College,Finance and Insurance,11917759,639,2004,Male,Vermont,18650.64
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,52384899,1620,2004,Male,Vermont,32336.36
