,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,3012,3012,3012,3012,All Education Categories,"Colleges, Universities, and Professional Schools",318078555,24931,2004,Male,Virginia,12758.36
1,1,3013,3013,3013,3013,Less Than High School,"Colleges, Universities, and Professional Schools",7893645,1104,2004,Male,Virginia,7150.04
2,2,3014,3014,3014,3014,High School Graduate,"Colleges, Universities, and Professional Schools",32236453,3649,2004,Male,Virginia,8834.33
3,3,3015,3015,3015,3015,Some College,"Colleges, Universities, and Professional Schools",59323065,5410,2004,Male,Virginia,10965.45
4,4,3016,3016,3016,3016,Advanced Degree,"Colleges, Universities, and Professional Schools",213642943,13212,2004,Male,Virginia,16170.37
5,5,3017,3017,3017,3017,Unavailable,"Colleges, Universities, and Professional Schools",4982449,1555,2004,Male,Virginia,3204.15
6,6,3018,3018,3018,3018,All Education Categories,"Colleges, Universities, and Professional Schools",243100751,29221,2004,Female,Virginia,8319.39
7,7,3019,3019,3019,3019,Less Than High School,"Colleges, Universities, and Professional Schools",5540004,1023,2004,Female,Virginia,5415.45
8,8,3020,3020,3020,3020,High School Graduate,"Colleges, Universities, and Professional Schools",33665313,5204,2004,Female,Virginia,6469.12
9,9,3021,3021,3021,3021,Some College,"Colleges, Universities, and Professional Schools",59430086,7723,2004,Female,Virginia,7695.21
10,10,3022,3022,3022,3022,Advanced Degree,"Colleges, Universities, and Professional Schools",137329373,12794,2004,Female,Virginia,10733.89
11,11,3023,3023,3023,3023,Unavailable,"Colleges, Universities, and Professional Schools",7135974,2476,2004,Female,Virginia,2882.06
12,12,6732,6732,6732,6732,All Education Categories,"Colleges, Universities, and Professional Schools",340628364,24524,2005,Male,Virginia,13889.59
13,13,6733,6733,6733,6733,Less Than High School,"Colleges, Universities, and Professional Schools",8779963,1121,2005,Male,Virginia,7832.26
14,14,6734,6734,6734,6734,High School Graduate,"Colleges, Universities, and Professional Schools",35234376,3646,2005,Male,Virginia,9663.84
15,15,6735,6735,6735,6735,Some College,"Colleges, Universities, and Professional Schools",64271465,5399,2005,Male,Virginia,11904.33
16,16,6736,6736,6736,6736,Advanced Degree,"Colleges, Universities, and Professional Schools",226945514,12844,2005,Male,Virginia,17669.38
17,17,6737,6737,6737,6737,Unavailable,"Colleges, Universities, and Professional Schools",5397046,1514,2005,Male,Virginia,3564.76
18,18,6738,6738,6738,6738,All Education Categories,"Colleges, Universities, and Professional Schools",270521452,28787,2005,Female,Virginia,9397.35
19,19,6739,6739,6739,6739,Less Than High School,"Colleges, Universities, and Professional Schools",6134941,1028,2005,Female,Virginia,5967.84
20,20,6740,6740,6740,6740,High School Graduate,"Colleges, Universities, and Professional Schools",36820794,5166,2005,Female,Virginia,7127.52
21,21,6741,6741,6741,6741,Some College,"Colleges, Universities, and Professional Schools",66070198,7671,2005,Female,Virginia,8612.98
22,22,6742,6742,6742,6742,Advanced Degree,"Colleges, Universities, and Professional Schools",153715070,12487,2005,Female,Virginia,12310.01
23,23,6743,6743,6743,6743,Unavailable,"Colleges, Universities, and Professional Schools",7780448,2436,2005,Female,Virginia,3193.94
24,24,10452,10452,10452,10452,All Education Categories,"Colleges, Universities, and Professional Schools",389400412,28939,2006,Male,Virginia,13455.9
25,25,10453,10453,10453,10453,Less Than High School,"Colleges, Universities, and Professional Schools",10406357,1365,2006,Male,Virginia,7623.7
26,26,10454,10454,10454,10454,High School Graduate,"Colleges, Universities, and Professional Schools",39925320,4193,2006,Male,Virginia,9521.9
27,27,10455,10455,10455,10455,Some College,"Colleges, Universities, and Professional Schools",73321214,6263,2006,Male,Virginia,11707.04
28,28,10456,10456,10456,10456,Advanced Degree,"Colleges, Universities, and Professional Schools",258800378,15040,2006,Male,Virginia,17207.47
29,29,10457,10457,10457,10457,Unavailable,"Colleges, Universities, and Professional Schools",6947142,2078,2006,Male,Virginia,3343.19
30,30,10458,10458,10458,10458,All Education Categories,"Colleges, Universities, and Professional Schools",312781440,34085,2006,Female,Virginia,9176.51
31,31,10459,10459,10459,10459,Less Than High School,"Colleges, Universities, and Professional Schools",7288353,1220,2006,Female,Virginia,5974.06
32,32,10460,10460,10460,10460,High School Graduate,"Colleges, Universities, and Professional Schools",41354110,5820,2006,Female,Virginia,7105.52
33,33,10461,10461,10461,10461,Some College,"Colleges, Universities, and Professional Schools",75462343,8891,2006,Female,Virginia,8487.5
