,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,924,924,924,924,All Education Categories,Educational Services,760393911,75774,2004,Male,Washington,10035.02
1,1,925,925,925,925,Less Than High School,Educational Services,18801883,2926,2004,Male,Washington,6425.8
2,2,926,926,926,926,High School Graduate,Educational Services,93636083,11840,2004,Male,Washington,7908.45
3,3,927,927,927,927,Some College,Educational Services,179101193,19472,2004,Male,Washington,9197.88
4,4,928,928,928,928,Advanced Degree,Educational Services,457748162,37835,2004,Male,Washington,12098.54
5,5,929,929,929,929,Unavailable,Educational Services,11106590,3701,2004,Male,Washington,3000.97
6,6,930,930,930,930,All Education Categories,Educational Services,1193672351,161745,2004,Female,Washington,7379.96
7,7,931,931,931,931,Less Than High School,Educational Services,21583225,4994,2004,Female,Washington,4321.83
8,8,932,932,932,932,High School Graduate,Educational Services,164680977,30532,2004,Female,Washington,5393.72
9,9,933,933,933,933,Some College,Educational Services,321152807,48535,2004,Female,Washington,6616.93
10,10,934,934,934,934,Advanced Degree,Educational Services,661832861,70434,2004,Female,Washington,9396.5
11,11,935,935,935,935,Unavailable,Educational Services,24422481,7250,2004,Female,Washington,3368.62
12,12,1020,1020,1020,1020,All Education Categories,Accommodation,58107915,10743,2004,Male,Washington,5408.91
13,13,1021,1021,1021,1021,Less Than High School,Accommodation,7542331,1622,2004,Male,Washington,4650.02
14,14,1022,1022,1022,1022,High School Graduate,Accommodation,14349934,2692,2004,Male,Washington,5330.58
15,15,1023,1023,1023,1023,Some College,Accommodation,15784729,2619,2004,Male,Washington,6027.01
16,16,1024,1024,1024,1024,Advanced Degree,Accommodation,14015335,1814,2004,Male,Washington,7726.2
17,17,1025,1025,1025,1025,Unavailable,Accommodation,6415586,1996,2004,Male,Washington,3214.22
18,18,1026,1026,1026,1026,All Education Categories,Accommodation,63363375,14642,2004,Female,Washington,4327.51
19,19,1027,1027,1027,1027,Less Than High School,Accommodation,7868480,2150,2004,Female,Washington,3659.76
20,20,1028,1028,1028,1028,High School Graduate,Accommodation,15142237,3688,2004,Female,Washington,4105.81
21,21,1029,1029,1029,1029,Some College,Accommodation,17159507,3576,2004,Female,Washington,4798.52
22,22,1030,1030,1030,1030,Advanced Degree,Accommodation,13913027,2217,2004,Female,Washington,6275.61
23,23,1031,1031,1031,1031,Unavailable,Accommodation,9280124,3011,2004,Female,Washington,3082.07
24,24,2100,2100,2100,2100,All Education Categories,Educational Services,787891530,76640,2005,Male,Washington,10280.42
25,25,2101,2101,2101,2101,Less Than High School,Educational Services,19945885,3006,2005,Male,Washington,6635.36
26,26,2102,2102,2102,2102,High School Graduate,Educational Services,97952697,12115,2005,Male,Washington,8085.24
27,27,2103,2103,2103,2103,Some College,Educational Services,187873937,19952,2005,Male,Washington,9416.3
28,28,2104,2104,2104,2104,Advanced Degree,Educational Services,471214737,38124,2005,Male,Washington,12360.06
29,29,2105,2105,2105,2105,Unavailable,Educational Services,10904275,3443,2005,Male,Washington,3167.09
30,30,2106,2106,2106,2106,All Education Categories,Educational Services,1242839639,164813,2005,Female,Washington,7540.91
31,31,2107,2107,2107,2107,Less Than High School,Educational Services,23288356,5211,2005,Female,Washington,4469.08
32,32,2108,2108,2108,2108,High School Graduate,Educational Services,172582582,31158,2005,Female,Washington,5538.95
33,33,2109,2109,2109,2109,Some College,Educational Services,337224846,49740,2005,Female,Washington,6779.75
34,34,2110,2110,2110,2110,Advanced Degree,Educational Services,684971639,71573,2005,Female,Washington,9570.25
35,35,2111,2111,2111,2111,Unavailable,Educational Services,24772217,7131,2005,Female,Washington,3473.88
36,36,2196,2196,2196,2196,All Education Categories,Accommodation,61482100,10693,2005,Male,Washington,5749.75
37,37,2197,2197,2197,2197,Less Than High School,Accommodation,7876416,1647,2005,Male,Washington,4782.28
38,38,2198,2198,2198,2198,High School Graduate,Accommodation,14837251,2692,2005,Male,Washington,5511.61
39,39,2199,2199,2199,2199,Some College,Accommodation,16740322,2641,2005,Male,Washington,6338.63
40,40,2200,2200,2200,2200,Advanced Degree,Accommodation,15681611,1818,2005,Male,Washington,8625.75
41,41,2201,2201,2201,2201,Unavailable,Accommodation,6346501,1896,2005,Male,Washington,3347.31
42,42,2202,2202,2202,2202,All Education Categories,Accommodation,67589973,15072,2005,Female,Washington,4484.47
43,43,2203,2203,2203,2203,Less Than High School,Accommodation,8328117,2248,2005,Female,Washington,3704.68
44,44,2204,2204,2204,2204,High School Graduate,Accommodation,16054453,3782,2005,Female,Washington,4244.96
45,45,2205,2205,2205,2205,Some College,Accommodation,18376550,3703,2005,Female,Washington,4962.61
46,46,2206,2206,2206,2206,Advanced Degree,Accommodation,15355002,2317,2005,Female,Washington,6627.1
47,47,2207,2207,2207,2207,Unavailable,Accommodation,9475852,3021,2005,Female,Washington,3136.66
48,48,3276,3276,3276,3276,All Education Categories,Educational Services,815921327,77121,2006,Male,Washington,10579.76
49,49,3277,3277,3277,3277,Less Than High School,Educational Services,21587450,3132,2006,Male,Washington,6892.54
50,50,3278,3278,3278,3278,High School Graduate,Educational Services,103474487,12396,2006,Male,Washington,8347.41
51,51,3279,3279,3279,3279,Some College,Educational Services,196006621,20166,2006,Male,Washington,9719.66
52,52,3280,3280,3280,3280,Advanced Degree,Educational Services,483971211,37958,2006,Male,Washington,12750.18
53,53,3281,3281,3281,3281,Unavailable,Educational Services,10881557,3468,2006,Male,Washington,3137.7
54,54,3282,3282,3282,3282,All Education Categories,Educational Services,1299782040,166005,2006,Female,Washington,7829.78
55,55,3283,3283,3283,3283,Less Than High School,Educational Services,25495556,5394,2006,Female,Washington,4726.65
56,56,3284,3284,3284,3284,High School Graduate,Educational Services,181525354,31397,2006,Female,Washington,5781.61
57,57,3285,3285,3285,3285,Some College,Educational Services,355010322,50344,2006,Female,Washington,7051.69
58,58,3286,3286,3286,3286,Advanced Degree,Educational Services,712761305,72017,2006,Female,Washington,9897.13
59,59,3287,3287,3287,3287,Unavailable,Educational Services,24989503,6853,2006,Female,Washington,3646.51
60,60,3372,3372,3372,3372,All Education Categories,Accommodation,72125632,11244,2006,Male,Washington,6414.59
61,61,3373,3373,3373,3373,Less Than High School,Accommodation,9155399,1725,2006,Male,Washington,5307.48
62,62,3374,3374,3374,3374,High School Graduate,Accommodation,17343027,2798,2006,Male,Washington,6198.37
63,63,3375,3375,3375,3375,Some College,Accommodation,19710006,2774,2006,Male,Washington,7105.27
64,64,3376,3376,3376,3376,Advanced Degree,Accommodation,18394649,1909,2006,Male,Washington,9635.75
65,65,3377,3377,3377,3377,Unavailable,Accommodation,7522551,2037,2006,Male,Washington,3692.96
66,66,3378,3378,3378,3378,All Education Categories,Accommodation,77377166,15768,2006,Female,Washington,4907.23
67,67,3379,3379,3379,3379,Less Than High School,Accommodation,9836893,2386,2006,Female,Washington,4122.75
68,68,3380,3380,3380,3380,High School Graduate,Accommodation,18232966,3910,2006,Female,Washington,4663.16
69,69,3381,3381,3381,3381,Some College,Accommodation,21134844,3914,2006,Female,Washington,5399.81
