,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,2964,2964,2964,All Education Categories,"Colleges, Universities, and Professional Schools",323045199,23624,2004,Male,Wisconsin,13674.45
1,1,2965,2965,2965,Less Than High School,"Colleges, Universities, and Professional Schools",4934386,652,2004,Male,Wisconsin,7568.08
2,2,2966,2966,2966,High School Graduate,"Colleges, Universities, and Professional Schools",27993061,3068,2004,Male,Wisconsin,9124.21
3,3,2967,2967,2967,Some College,"Colleges, Universities, and Professional Schools",59064863,5142,2004,Male,Wisconsin,11486.75
4,4,2968,2968,2968,Advanced Degree,"Colleges, Universities, and Professional Schools",227563185,13678,2004,Male,Wisconsin,16637.17
5,5,2969,2969,2969,Unavailable,"Colleges, Universities, and Professional Schools",3489704,1085,2004,Male,Wisconsin,3216.32
6,6,2970,2970,2970,All Education Categories,"Colleges, Universities, and Professional Schools",247597131,26735,2004,Female,Wisconsin,9261.16
7,7,2971,2971,2971,Less Than High School,"Colleges, Universities, and Professional Schools",3549192,615,2004,Female,Wisconsin,5771.04
8,8,2972,2972,2972,High School Graduate,"Colleges, Universities, and Professional Schools",30845677,4512,2004,Female,Wisconsin,6836.36
9,9,2973,2973,2973,Some College,"Colleges, Universities, and Professional Schools",61269852,7498,2004,Female,Wisconsin,8171.49
10,10,2974,2974,2974,Advanced Degree,"Colleges, Universities, and Professional Schools",146919048,12724,2004,Female,Wisconsin,11546.61
11,11,2975,2975,2975,Unavailable,"Colleges, Universities, and Professional Schools",5013362,1386,2004,Female,Wisconsin,3617.14
12,12,6624,6624,6624,All Education Categories,"Colleges, Universities, and Professional Schools",339638935,23735,2005,Male,Wisconsin,14309.62
13,13,6625,6625,6625,Less Than High School,"Colleges, Universities, and Professional Schools",5414300,661,2005,Male,Wisconsin,8191.07
14,14,6626,6626,6626,High School Graduate,"Colleges, Universities, and Professional Schools",30574298,3101,2005,Male,Wisconsin,9859.5
15,15,6627,6627,6627,Some College,"Colleges, Universities, and Professional Schools",63619367,5210,2005,Male,Wisconsin,12211.01
16,16,6628,6628,6628,Advanced Degree,"Colleges, Universities, and Professional Schools",236525598,13677,2005,Male,Wisconsin,17293.68
17,17,6629,6629,6629,Unavailable,"Colleges, Universities, and Professional Schools",3505371,1084,2005,Male,Wisconsin,3233.74
18,18,6630,6630,6630,All Education Categories,"Colleges, Universities, and Professional Schools",264654015,27079,2005,Female,Wisconsin,9773.4
19,19,6631,6631,6631,Less Than High School,"Colleges, Universities, and Professional Schools",3943877,633,2005,Female,Wisconsin,6230.45
20,20,6632,6632,6632,High School Graduate,"Colleges, Universities, and Professional Schools",33058578,4490,2005,Female,Wisconsin,7362.71
21,21,6633,6633,6633,Some College,"Colleges, Universities, and Professional Schools",66202308,7626,2005,Female,Wisconsin,8681.13
22,22,6634,6634,6634,Advanced Degree,"Colleges, Universities, and Professional Schools",156573241,12925,2005,Female,Wisconsin,12113.98
23,23,6635,6635,6635,Unavailable,"Colleges, Universities, and Professional Schools",4876011,1406,2005,Female,Wisconsin,3468.0
24,24,10284,10284,10284,All Education Categories,"Colleges, Universities, and Professional Schools",416561720,24263,2006,Male,Wisconsin,17168.6
25,25,10285,10285,10285,Less Than High School,"Colleges, Universities, and Professional Schools",6815449,712,2006,Male,Wisconsin,9572.26
26,26,10286,10286,10286,High School Graduate,"Colleges, Universities, and Professional Schools",36329559,3185,2006,Male,Wisconsin,11406.45
27,27,10287,10287,10287,Some College,"Colleges, Universities, and Professional Schools",77200016,5360,2006,Male,Wisconsin,14402.99
28,28,10288,10288,10288,Advanced Degree,"Colleges, Universities, and Professional Schools",292444019,13945,2006,Male,Wisconsin,20971.25
29,29,10289,10289,10289,Unavailable,"Colleges, Universities, and Professional Schools",3772678,1061,2006,Male,Wisconsin,3555.78
30,30,10290,10290,10290,All Education Categories,"Colleges, Universities, and Professional Schools",322352184,27516,2006,Female,Wisconsin,11715.08
31,31,10291,10291,10291,Less Than High School,"Colleges, Universities, and Professional Schools",4728021,658,2006,Female,Wisconsin,7185.44
32,32,10292,10292,10292,High School Graduate,"Colleges, Universities, and Professional Schools",38411856,4543,2006,Female,Wisconsin,8455.17
33,33,10293,10293,10293,Some College,"Colleges, Universities, and Professional Schools",79194423,7757,2006,Female,Wisconsin,10209.41
34,34,10294,10294,10294,Advanced Degree,"Colleges, Universities, and Professional Schools",194571075,13179,2006,Female,Wisconsin,14763.72
35,35,10295,10295,10295,Unavailable,"Colleges, Universities, and Professional Schools",5446808,1378,2006,Female,Wisconsin,3952.69
36,36,13944,13944,13944,All Education Categories,"Colleges, Universities, and Professional Schools",432376707,24319,2007,Male,Wisconsin,17779.38
37,37,13945,13945,13945,Less Than High School,"Colleges, Universities, and Professional Schools",7579754,745,2007,Male,Wisconsin,10174.17
38,38,13946,13946,13946,High School Graduate,"Colleges, Universities, and Professional Schools",38926725,3264,2007,Male,Wisconsin,11926.08
39,39,13947,13947,13947,Some College,"Colleges, Universities, and Professional Schools",81301321,5446,2007,Male,Wisconsin,14928.63
40,40,13948,13948,13948,Advanced Degree,"Colleges, Universities, and Professional Schools",300632218,13829,2007,Male,Wisconsin,21739.26
41,41,13949,13949,13949,Unavailable,"Colleges, Universities, and Professional Schools",3936689,1037,2007,Male,Wisconsin,3796.23
42,42,13950,13950,13950,All Education Categories,"Colleges, Universities, and Professional Schools",341777570,27932,2007,Female,Wisconsin,12236.06
43,43,13951,13951,13951,Less Than High School,"Colleges, Universities, and Professional Schools",5362619,703,2007,Female,Wisconsin,7628.19
44,44,13952,13952,13952,High School Graduate,"Colleges, Universities, and Professional Schools",41171492,4609,2007,Female,Wisconsin,8932.85
