,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,education,industry,Payroll,Emp,year,sex,state,Average_pay
0,0,0,0,0,0,All Education Categories,00,1186241848,119938,2004,Male,Wyoming,9890.46
1,1,1,1,1,1,Less Than High School,00,85147406,11004,2004,Male,Wyoming,7737.86
2,2,2,2,2,2,High School Graduate,00,337519820,35099,2004,Male,Wyoming,9616.22
3,3,3,3,3,3,Some College,00,357500791,32819,2004,Male,Wyoming,10893.1
4,4,4,4,4,4,Advanced Degree,00,321184097,21866,2004,Male,Wyoming,14688.74
5,5,5,5,5,5,Unavailable,00,84889733,19151,2004,Male,Wyoming,4432.65
6,6,6,6,6,6,All Education Categories,00,624671949,112156,2004,Female,Wyoming,5569.67
7,7,7,7,7,7,Less Than High School,00,30187307,7305,2004,Female,Wyoming,4132.42
8,8,8,8,8,8,High School Graduate,00,151360410,30136,2004,Female,Wyoming,5022.58
9,9,9,9,9,9,Some College,00,209013406,34499,2004,Female,Wyoming,6058.54
10,10,10,10,10,10,Advanced Degree,00,181658917,21685,2004,Female,Wyoming,8377.17
11,11,11,11,11,11,Unavailable,00,52451908,18531,2004,Female,Wyoming,2830.5
12,12,60,60,60,60,All Education Categories,Manufacturing,79032172,7154,2004,Male,Wyoming,11047.27
13,13,61,61,61,61,Less Than High School,Manufacturing,5793616,704,2004,Male,Wyoming,8229.57
14,14,62,62,62,62,High School Graduate,Manufacturing,26145243,2482,2004,Male,Wyoming,10533.94
15,15,63,63,63,63,Some College,Manufacturing,25897595,2142,2004,Male,Wyoming,12090.38
16,16,64,64,64,64,Advanced Degree,Manufacturing,16716387,1028,2004,Male,Wyoming,16261.08
17,17,65,65,65,65,Unavailable,Manufacturing,4479330,798,2004,Male,Wyoming,5613.2
18,18,66,66,66,66,All Education Categories,Manufacturing,13153939,2227,2004,Female,Wyoming,5906.57
19,19,67,67,67,67,Less Than High School,Manufacturing,1015385,208,2004,Female,Wyoming,4881.66
20,20,68,68,68,68,High School Graduate,Manufacturing,4372726,776,2004,Female,Wyoming,5634.96
21,21,69,69,69,69,Some College,Manufacturing,4407964,673,2004,Female,Wyoming,6549.72
22,22,70,70,70,70,Advanced Degree,Manufacturing,2459349,293,2004,Female,Wyoming,8393.68
23,23,71,71,71,71,Unavailable,Manufacturing,898515,277,2004,Female,Wyoming,3243.74
24,24,84,84,84,84,All Education Categories,Retail Trade,86805461,12909,2004,Male,Wyoming,6724.41
25,25,85,85,85,85,Less Than High School,Retail Trade,7413775,1254,2004,Male,Wyoming,5912.1
26,26,86,86,86,86,High School Graduate,Retail Trade,27872790,3847,2004,Male,Wyoming,7245.33
27,27,87,87,87,87,Some College,Retail Trade,25671928,3076,2004,Male,Wyoming,8345.88
28,28,88,88,88,88,Advanced Degree,Retail Trade,14461817,1282,2004,Male,Wyoming,11280.67
29,29,89,89,89,89,Unavailable,Retail Trade,11385150,3450,2004,Male,Wyoming,3300.04
30,30,90,90,90,90,All Education Categories,Retail Trade,64663674,15958,2004,Female,Wyoming,4052.12
31,31,91,91,91,91,Less Than High School,Retail Trade,5543390,1455,2004,Female,Wyoming,3809.89
32,32,92,92,92,92,High School Graduate,Retail Trade,22694037,5278,2004,Female,Wyoming,4299.74
33,33,93,93,93,93,Some College,Retail Trade,19018760,4064,2004,Female,Wyoming,4679.81
34,34,94,94,94,94,Advanced Degree,Retail Trade,7606367,1347,2004,Female,Wyoming,5646.89
35,35,95,95,95,95,Unavailable,Retail Trade,9801121,3814,2004,Female,Wyoming,2569.77
36,36,120,120,120,120,All Education Categories,Finance and Insurance,32376588,1704,2004,Male,Wyoming,19000.35
37,37,121,121,121,121,Less Than High School,Finance and Insurance,608466,63,2004,Male,Wyoming,9658.19
38,38,122,122,122,122,High School Graduate,Finance and Insurance,3530384,268,2004,Male,Wyoming,13173.07
39,39,123,123,123,123,Some College,Finance and Insurance,7189704,432,2004,Male,Wyoming,16642.83
40,40,124,124,124,124,Advanced Degree,Finance and Insurance,20391447,815,2004,Male,Wyoming,25020.18
41,41,125,125,125,125,Unavailable,Finance and Insurance,656587,126,2004,Male,Wyoming,5211.01
42,42,126,126,126,126,All Education Categories,Finance and Insurance,36556236,5041,2004,Female,Wyoming,7251.78
43,43,127,127,127,127,Less Than High School,Finance and Insurance,845505,159,2004,Female,Wyoming,5317.64
44,44,128,128,128,128,High School Graduate,Finance and Insurance,7996910,1269,2004,Female,Wyoming,6301.74
45,45,129,129,129,129,Some College,Finance and Insurance,12113312,1690,2004,Female,Wyoming,7167.64
46,46,130,130,130,130,Advanced Degree,Finance and Insurance,12818868,1282,2004,Female,Wyoming,9999.12
47,47,131,131,131,131,Unavailable,Finance and Insurance,2781641,641,2004,Female,Wyoming,4339.53
48,48,180,180,180,180,All Education Categories,Educational Services,75913159,9438,2004,Male,Wyoming,8043.35
49,49,181,181,181,181,Less Than High School,Educational Services,2467685,415,2004,Male,Wyoming,5946.23
50,50,182,182,182,182,High School Graduate,Educational Services,13443239,1831,2004,Male,Wyoming,7342.02
51,51,183,183,183,183,Some College,Educational Services,19713728,2376,2004,Male,Wyoming,8297.02
52,52,184,184,184,184,Advanced Degree,Educational Services,38283358,3590,2004,Male,Wyoming,10663.89
53,53,185,185,185,185,Unavailable,Educational Services,2005149,1225,2004,Male,Wyoming,1636.86
54,54,186,186,186,186,All Education Categories,Educational Services,112667480,18854,2004,Female,Wyoming,5975.79
55,55,187,187,187,187,Less Than High School,Educational Services,2549491,673,2004,Female,Wyoming,3788.25
56,56,188,188,188,188,High School Graduate,Educational Services,21235846,4388,2004,Female,Wyoming,4839.53
57,57,189,189,189,189,Some College,Educational Services,32612005,5649,2004,Female,Wyoming,5773.06
58,58,190,190,190,190,Advanced Degree,Educational Services,53328043,6498,2004,Female,Wyoming,8206.84
59,59,191,191,191,191,Unavailable,Educational Services,2942094,1645,2004,Female,Wyoming,1788.51
60,60,192,192,192,192,All Education Categories,Health Care and Social Assistance,67168823,5360,2004,Male,Wyoming,12531.5
61,61,193,193,193,193,Less Than High School,Health Care and Social Assistance,2568060,390,2004,Male,Wyoming,6584.77
62,62,194,194,194,194,High School Graduate,Health Care and Social Assistance,10534637,1234,2004,Male,Wyoming,8536.98
63,63,195,195,195,195,Some College,Health Care and Social Assistance,17048338,1543,2004,Male,Wyoming,11048.83
64,64,196,196,196,196,Advanced Degree,Health Care and Social Assistance,34755826,1598,2004,Male,Wyoming,21749.58
65,65,197,197,197,197,Unavailable,Health Care and Social Assistance,2261962,596,2004,Male,Wyoming,3795.24
66,66,198,198,198,198,All Education Categories,Health Care and Social Assistance,142370566,21994,2004,Female,Wyoming,6473.15
67,67,199,199,199,199,Less Than High School,Health Care and Social Assistance,5493546,1171,2004,Female,Wyoming,4691.33
68,68,200,200,200,200,High School Graduate,Health Care and Social Assistance,29912387,5390,2004,Female,Wyoming,5549.61
69,69,201,201,201,201,Some College,Health Care and Social Assistance,55117634,8193,2004,Female,Wyoming,6727.41
70,70,202,202,202,202,Advanced Degree,Health Care and Social Assistance,41575080,4520,2004,Female,Wyoming,9198.03
71,71,203,203,203,203,Unavailable,Health Care and Social Assistance,10271918,2720,2004,Female,Wyoming,3776.44
72,72,216,216,216,216,All Education Categories,Accommodation and Food Services,46087028,11025,2004,Male,Wyoming,4180.23
73,73,217,217,217,217,Less Than High School,Accommodation and Food Services,5904335,1374,2004,Male,Wyoming,4297.19
74,74,218,218,218,218,High School Graduate,Accommodation and Food Services,12169844,2547,2004,Male,Wyoming,4778.11
75,75,219,219,219,219,Some College,Accommodation and Food Services,10472671,1967,2004,Male,Wyoming,5324.18
76,76,220,220,220,220,Advanced Degree,Accommodation and Food Services,6290261,878,2004,Male,Wyoming,7164.31
77,77,221,221,221,221,Unavailable,Accommodation and Food Services,11249916,4259,2004,Male,Wyoming,2641.45
78,78,222,222,222,222,All Education Categories,Accommodation and Food Services,43892052,14764,2004,Female,Wyoming,2972.91
79,79,223,223,223,223,Less Than High School,Accommodation and Food Services,4877326,1571,2004,Female,Wyoming,3104.6
80,80,224,224,224,224,High School Graduate,Accommodation and Food Services,11628562,3633,2004,Female,Wyoming,3200.82
81,81,225,225,225,225,Some College,Accommodation and Food Services,10654262,2998,2004,Female,Wyoming,3553.79
82,82,226,226,226,226,Advanced Degree,Accommodation and Food Services,5342765,1174,2004,Female,Wyoming,4550.91
83,83,227,227,227,227,Unavailable,Accommodation and Food Services,11389137,5388,2004,Female,Wyoming,2113.8
84,84,252,252,252,252,All Education Categories,00,1253165928,122158,2005,Male,Wyoming,10258.57
85,85,253,253,253,253,Less Than High School,00,92075310,11481,2005,Male,Wyoming,8019.8
86,86,254,254,254,254,High School Graduate,00,359641605,36094,2005,Male,Wyoming,9964.03
87,87,255,255,255,255,Some College,00,379335882,33618,2005,Male,Wyoming,11283.71
88,88,256,256,256,256,Advanced Degree,00,331141181,22022,2005,Male,Wyoming,15036.84
89,89,257,257,257,257,Unavailable,00,90971949,18943,2005,Male,Wyoming,4802.4
