,Unnamed: 0,rate,state,county,id,name
0,0,446,1,1,01001,"Autauga, AL"
1,1,2887,1,3,01003,"Baldwin, AL"
2,2,130,1,5,01005,"Barbour, AL"
3,3,547,1,7,01007,"Bibb, AL"
4,4,299,1,9,01009,"Blount, AL"
5,5,46,1,11,01011,"Bullock, AL"
6,6,144,1,13,01013,"Butler, AL"
7,7,812,1,15,01015,"Calhoun, AL"
8,8,181,1,17,01017,"Chambers, AL"
9,9,82,1,19,01019,"Cherokee, AL"
10,10,547,1,21,01021,"Chilton, AL"
11,11,157,1,23,01023,"Choctaw, AL"
12,12,176,1,25,01025,"Clarke, AL"
13,13,66,1,27,01027,"Clay, AL"
14,14,273,1,29,01029,"Cleburne, AL"
15,15,374,1,31,01031,"Coffee, AL"
16,16,1481,1,33,01033,"Colbert, AL"
17,17,90,1,35,01035,"Conecuh, AL"
18,18,25,1,37,01037,"Coosa, AL"
19,19,468,1,39,01039,"Covington, AL"
20,20,146,1,41,01041,"Crenshaw, AL"
21,21,1159,1,43,01043,"Cullman, AL"
22,22,710,1,45,01045,"Dale, AL"
23,23,286,1,47,01047,"Dallas, AL"
24,24,659,1,49,01049,"DeKalb, AL"
25,25,630,1,51,01051,"Elmore, AL"
26,26,433,1,53,01053,"Escambia, AL"
27,27,1086,1,55,01055,"Etowah, AL"
28,28,126,1,57,01057,"Fayette, AL"
29,29,215,1,59,01059,"Franklin, AL"
30,30,146,1,61,01061,"Geneva, AL"
31,31,32,1,63,01063,"Greene, AL"
32,32,178,1,65,01065,"Hale, AL"
33,33,227,1,67,01067,"Henry, AL"
34,34,2157,1,69,01069,"Houston, AL"
35,35,416,1,71,01071,"Jackson, AL"
36,36,16361,1,73,01073,"Jefferson, AL"
37,37,186,1,75,01075,"Lamar, AL"
38,38,1070,1,77,01077,"Lauderdale, AL"
39,39,219,1,79,01079,"Lawrence, AL"
40,40,1855,1,81,01081,"Lee, AL"
41,41,1596,1,83,01083,"Limestone, AL"
42,42,155,1,85,01085,"Lowndes, AL"
43,43,73,1,87,01087,"Macon, AL"
44,44,4604,1,89,01089,"Madison, AL"
45,45,269,1,91,01091,"Marengo, AL"
46,46,153,1,93,01093,"Marion, AL"
47,47,873,1,95,01095,"Marshall, AL"
48,48,9439,1,97,01097,"Mobile, AL"
49,49,67,1,99,01099,"Monroe, AL"
50,50,4369,1,101,01101,"Montgomery, AL"
51,51,3362,1,103,01103,"Morgan, AL"
52,52,41,1,105,01105,"Perry, AL"
53,53,70,1,107,01107,"Pickens, AL"
54,54,493,1,109,01109,"Pike, AL"
55,55,114,1,111,01111,"Randolph, AL"
56,56,591,1,113,01113,"Russell, AL"
57,57,1109,1,115,01115,"St. Clair, AL"
58,58,4620,1,117,01117,"Shelby, AL"
59,59,62,1,119,01119,"Sumter, AL"
60,60,914,1,121,01121,"Talladega, AL"
61,61,415,1,123,01123,"Tallapoosa, AL"
62,62,4222,1,125,01125,"Tuscaloosa, AL"
63,63,458,1,127,01127,"Walker, AL"
64,64,212,1,129,01129,"Washington, AL"
65,65,86,1,131,01131,"Wilcox, AL"
66,66,133,1,133,01133,"Winston, AL"
67,67,0,2,13,02013,"Aleutians East, AK"
68,68,25,2,16,02016,"Aleutians West, AK"
69,69,7440,2,20,02020,"Anchorage, AK"
70,70,59,2,50,02050,"Bethel, AK"
71,71,27,2,60,02060,"Bristol Bay, AK"
72,72,18,2,68,02068,"Denali, AK"
73,73,14,2,70,02070,"Dillingham, AK"
74,74,2031,2,90,02090,"Fairbanks North Star, AK"
75,75,69,2,100,02100,"Haines, AK"
76,76,24,2,105,02105,"Hoonah-Angoon, AK"
77,77,531,2,110,02110,"Juneau, AK"
78,78,708,2,122,02122,"Kenai Peninsula, AK"
79,79,265,2,130,02130,"Ketchikan Gateway, AK"
80,80,145,2,150,02150,"Kodiak Island, AK"
81,81,9,2,164,02164,"Lake and Peninsula, AK"
82,82,1380,2,170,02170,"Matanuska-Susitna, AK"
