,rate,state,county,id,name
0,749,1,001,01001,"Autauga, AL"
1,3262,1,003,01003,"Baldwin, AL"
2,766,1,005,01005,"Barbour, AL"
3,385,1,007,01007,"Bibb, AL"
4,533,1,009,01009,"Blount, AL"
5,325,1,011,01011,"Bullock, AL"
6,358,1,013,01013,"Butler, AL"
7,1987,1,015,01015,"Calhoun, AL"
8,537,1,017,01017,"Chambers, AL"
9,226,1,019,01019,"Cherokee, AL"
10,608,1,021,01021,"Chilton, AL"
11,125,1,023,01023,"Choctaw, AL"
12,600,1,025,01025,"Clarke, AL"
13,172,1,027,01027,"Clay, AL"
14,227,1,029,01029,"Cleburne, AL"
15,707,1,031,01031,"Coffee, AL"
16,991,1,033,01033,"Colbert, AL"
17,272,1,035,01035,"Conecuh, AL"
18,135,1,037,01037,"Coosa, AL"
19,580,1,039,01039,"Covington, AL"
20,210,1,041,01041,"Crenshaw, AL"
21,1288,1,043,01043,"Cullman, AL"
22,557,1,045,01045,"Dale, AL"
23,832,1,047,01047,"Dallas, AL"
24,999,1,049,01049,"DeKalb, AL"
25,1533,1,051,01051,"Elmore, AL"
26,1383,1,053,01053,"Escambia, AL"
27,1735,1,055,01055,"Etowah, AL"
28,212,1,057,01057,"Fayette, AL"
29,483,1,059,01059,"Franklin, AL"
30,350,1,061,01061,"Geneva, AL"
31,172,1,063,01063,"Greene, AL"
32,248,1,065,01065,"Hale, AL"
33,259,1,067,01067,"Henry, AL"
34,1928,1,069,01069,"Houston, AL"
35,826,1,071,01071,"Jackson, AL"
36,13872,1,073,01073,"Jefferson, AL"
37,211,1,075,01075,"Lamar, AL"
38,1272,1,077,01077,"Lauderdale, AL"
39,457,1,079,01079,"Lawrence, AL"
40,1468,1,081,01081,"Lee, AL"
41,899,1,083,01083,"Limestone, AL"
42,174,1,085,01085,"Lowndes, AL"
43,343,1,087,01087,"Macon, AL"
44,4704,1,089,01089,"Madison, AL"
45,351,1,091,01091,"Marengo, AL"
46,430,1,093,01093,"Marion, AL"
47,1279,1,095,01095,"Marshall, AL"
48,5950,1,097,01097,"Mobile, AL"
49,342,1,099,01099,"Monroe, AL"
50,18799,1,101,01101,"Montgomery, AL"
51,1761,1,103,01103,"Morgan, AL"
52,279,1,105,01105,"Perry, AL"
53,325,1,107,01107,"Pickens, AL"
54,814,1,109,01109,"Pike, AL"
55,297,1,111,01111,"Randolph, AL"
56,719,1,113,01113,"Russell, AL"
57,953,1,115,01115,"St. Clair, AL"
58,2476,1,117,01117,"Shelby, AL"
59,274,1,119,01119,"Sumter, AL"
60,1124,1,121,01121,"Talladega, AL"
61,946,1,123,01123,"Tallapoosa, AL"
62,3089,1,125,01125,"Tuscaloosa, AL"
63,981,1,127,01127,"Walker, AL"
64,208,1,129,01129,"Washington, AL"
65,259,1,131,01131,"Wilcox, AL"
66,343,1,133,01133,"Winston, AL"
67,140,2,013,02013,"Aleutians East, AK"
68,337,2,016,02016,"Aleutians West, AK"
69,10697,2,020,02020,"Anchorage, AK"
70,1301,2,050,02050,"Bethel, AK"
71,188,2,060,02060,"Bristol Bay, AK"
72,32,2,068,02068,"Denali, AK"
73,347,2,070,02070,"Dillingham, AK"
74,2718,2,090,02090,"Fairbanks North Star, AK"
75,83,2,100,02100,"Haines, AK"
76,134,2,105,02105,"Hoonah-Angoon, AK"
77,4841,2,110,02110,"Juneau, AK"
78,1571,2,122,02122,"Kenai Peninsula, AK"
79,2502,2,130,02130,"Ketchikan Gateway, AK"
80,538,2,150,02150,"Kodiak Island, AK"
81,166,2,164,02164,"Lake and Peninsula, AK"
82,2144,2,170,02170,"Matanuska-Susitna, AK"
83,718,2,180,02180,"Nome, AK"
84,1300,2,185,02185,"North Slope, AK"
85,500,2,188,02188,"Northwest Arctic, AK"
86,217,2,195,02195,"Petersburg, AK"
87,497,2,198,02198,"Prince of Wales-Hyder, AK"
88,378,2,220,02220,"Sitka, AK"
89,0,2,230,02230,"Skagway, AK"
90,114,2,240,02240,"Southeast Fairbanks, AK"
91,513,2,261,02261,"Valdez-Cordova, AK"
92,120,2,275,02275,"Wrangell, AK"
93,57,2,282,02282,"Yakutat, AK"
94,515,2,290,02290,"Yukon-Koyukuk, AK"
95,5139,4,001,04001,"Apache, AZ"
96,2237,4,003,04003,"Cochise, AZ"
