,Place,Year_2009,Year_2008,Year_2007,Year_2006,Year_2005,Year_2004,Year_2003,Year_2002,Year_2001,Year_2000,Estimates Base,Census,incress_2001,incress_2002,incress_2003,incress_2004,incress_2005,incress_2006,incress_2007,incress_2008,incress_2009
5,Alabama,4708708,4677464,4637904,4597688,4545049,4512190,4490591,4472420,4464034,4451849,4447382,4447100,0.0027370649813145053,0.0018785699212864417,0.004062901069219796,0.004809834607516026,0.00728227313122896,0.011581613311539656,0.008747005016434347,0.008529715147187178,0.00667968796766795
6,Alaska,698473,688125,682297,677325,669488,661569,650884,642691,633316,627499,626931,626932,0.009270134295034734,0.014803036714689034,0.01274796130644431,0.016416135594053624,0.011970028825413525,0.01170596037569008,0.007340641494112871,0.008541734757737467,0.01503796548592189
7,Arizona,6595778,6499377,6362241,6192100,5974834,5759425,5591206,5452108,5304417,5166697,5130607,5130632,0.026655327378400553,0.027843022145506283,0.025512700775553235,0.030086353462920164,0.037401129453026996,0.03636352072710305,0.027477107927843542,0.021554669180246393,0.014832344700115104
8,Arkansas,2889450,2867764,2842194,2815097,2776221,2746161,2722291,2704732,2691068,2678288,2673386,2673400,0.004771704910002211,0.005077537988634995,0.006491955580072258,0.00876834989352718,0.010946189972110157,0.014003207957867907,0.00962560082299118,0.008996570958914134,0.007561989061861436
9,California,36961664,36580371,36226122,35979208,35795255,35558419,35251107,34876194,34485623,33994571,33871648,33871648,0.014445012410952326,0.011325618214871744,0.010749825511350236,0.00871779714605842,0.006660476102719865,0.005139033092514636,0.006862685804534663,0.009778827554326682,0.010423431736107871
10,Colorado,5024748,4935213,4842259,4753044,4660780,4599681,4548775,4504265,4433068,4328070,4302015,4301261,0.024259773987019617,0.016060434895201245,0.009881745412403577,0.011191144868673434,0.013283312473191075,0.019795828166100954,0.018770076607748633,0.0191964122530414,0.018142074111087
11,Connecticut,3518288,3502932,3488633,3485162,3477416,3474610,3467673,3448382,3428433,3411726,3405607,3405565,0.004896934865226575,0.00581869326307383,0.005594217809975809,0.002000476976923718,0.00080757264844112,0.002227516063651861,0.0009959364873139327,0.004098740108231505,0.004383756236204414
12,Delaware,885122,876211,864896,853022,839906,826639,814905,804131,794620,786411,783557,783600,0.010438562024183284,0.0119692431602527,0.013398314453739502,0.014399224449475705,0.016049327457330224,0.015616033222765405,0.013919922346668667,0.013082497780079918,0.010169924824043523
13,District of Columbia,599657,590074,586409,583978,582049,579796,577777,579585,578042,571744,572055,572059,0.01101541948844238,0.002669356205950433,-0.0031194734163237487,0.0034944277809604743,0.0038858495056882077,0.0033141539629824982,0.0041628280517416755,0.006249904077188447,0.016240335957862912
14,Florida,18537969,18423878,18277888,18088505,17783868,17375259,16981183,16680309,16353869,16047118,15982839,15982378,0.019115644316942144,0.01996102573647863,0.018037675441144405,0.023206628183678368,0.02351671419689341,0.017129962952941395,0.010469798360892733,0.007987246666573293,0.006192561631161474
15,Georgia,9829211,9697838,9533761,9330086,9097428,8913676,8735259,8585535,8419594,8230161,8186781,8186453,0.02301692518530318,0.019708907579154056,0.017439099601830287,0.02042492386316193,0.02061461511502101,0.02557404136641697,0.021829916680296407,0.017210102078287888,0.013546627609164022
16,Hawaii,1295178,1287481,1276832,1275599,1266117,1252782,1239298,1228069,1218305,1211566,1211538,1211537,0.005562222776142612,0.008014413467891866,0.009143623037467765,0.010880353232233088,0.01064431002361145,0.00748903932259025,0.000966604708846589,0.008340173178617077,0.005978340651240678
17,Idaho,1545801,1527506,1499245,1464413,1425862,1391718,1364109,1342149,1321170,1299551,1293955,1293953,0.016635745730640812,0.015879107155021686,0.016361819738344996,0.020239584959852914,0.024533705822587622,0.02703697833310657,0.023785639706831337,0.018850154577804163,0.011977039697389077
18,Illinois,12910409,12842954,12779417,12718011,12674452,12645295,12597981,12558229,12507833,12437645,12419658,12419293,0.0056431904914475365,0.004029155170204143,0.003165414486389761,0.0037556811682760913,0.0023057587822189994,0.0034367560822353505,0.004828270709940415,0.00497182304951783,0.005252296317498295
19,Indiana,6423113,6388309,6346113,6301700,6253120,6214454,6181789,6149007,6124967,6091649,6080520,6080485,0.005469454986654681,0.00392491910568661,0.005331267308689029,0.005284069061561305,0.006221946449358222,0.007768921754260273,0.007047780757573353,0.006649109462753027,0.005448077104598416
20,Iowa,3007856,2993987,2978719,2964391,2949450,2941358,2932799,2929264,2929424,2928184,2926380,2926324,0.000423470656215593,-5.461824577118232e-05,0.0012067877801386286,0.0029183725171755717,0.0027511102014783646,0.005065690213429622,0.004833370496671998,0.005125693292989369,0.004632284642518488
21,Kansas,2818747,2797375,2775586,2755700,2741771,2730765,2721955,2712598,2701456,2692810,2688811,2688418,0.003210772390179775,0.004124442522846939,0.0034494606277819273,0.003236644250180477,0.004030372441422092,0.005080292993105551,0.007216315273796132,0.007850234148752732,0.007640019661289602
22,Kentucky,4314113,4287931,4256278,4219374,4182293,4147970,4118627,4091330,4069191,4048903,4042288,4041769,0.00501073994610392,0.005440639183562531,0.0066719135342297,0.007124461622768947,0.00827465000952273,0.008866188954241131,0.008746321136737345,0.0074367792705269725,0.00610597511946904
